Date,HOMB
2010-01-04,4.078549861907959
2010-01-05,4.080199241638184
2010-01-06,4.055451393127441
2010-01-07,4.096698760986328
2010-01-08,4.1016459465026855
2010-01-11,4.1263957023620605
2010-01-12,4.0999979972839355
2010-01-13,4.1148457527160645
2010-01-14,4.111546039581299
2010-01-15,4.165992259979248
2010-01-19,4.177542209625244
2010-01-20,4.165992259979248
2010-01-21,4.156094551086426
2010-01-22,4.1263957023620605
2010-01-25,4.035650730133057
2010-01-26,3.984504461288452
2010-01-27,4.151142597198486
2010-01-28,4.0752482414245605
2010-01-29,4.055451393127441
2010-02-01,3.803013801574707
2010-02-02,3.8310656547546387
2010-02-03,3.8723108768463135
2010-02-04,3.921808958053589
2010-02-05,4.055451393127441
2010-02-08,3.8917081356048584
2010-02-09,3.895016670227051
2010-02-10,3.9611761569976807
2010-02-11,3.9959089756011963
2010-02-12,3.908250570297241
2010-02-16,3.9032881259918213
2010-02-17,3.883439302444458
2010-02-18,3.9099042415618896
2010-02-19,3.9677915573120117
2010-02-22,3.9710984230041504
2010-02-23,3.95621395111084
2010-02-24,4.06537389755249
2010-02-25,4.000868797302246
2010-02-26,4.0157551765441895
2010-03-01,4.133183002471924
2010-03-02,4.2473063468933105
2010-03-03,4.283692836761475
2010-03-04,4.267154216766357
2010-03-05,4.321732044219971
2010-03-08,4.263845443725586
2010-03-09,4.301887035369873
2010-03-10,4.295269966125488
2010-03-11,4.3250412940979
2010-03-12,4.29857873916626
2010-03-15,4.29857873916626
2010-03-16,4.3399271965026855
2010-03-17,4.498704433441162
2010-03-18,4.425932884216309
2010-03-19,4.4639716148376465
2010-03-22,4.468933582305908
2010-03-23,4.483819484710693
2010-03-24,4.432546138763428
2010-03-25,4.430893898010254
2010-03-26,4.419316291809082
2010-03-29,4.432546138763428
2010-03-30,4.429239273071289
2010-03-31,4.37300443649292
2010-04-01,4.430893898010254
2010-04-05,4.487127780914307
2010-04-06,4.586361408233643
2010-04-07,4.573132038116455
2010-04-08,4.597940444946289
2010-04-09,4.548323631286621
2010-04-12,4.596286296844482
2010-04-13,4.584710121154785
2010-04-14,4.715369701385498
2010-04-15,4.779873371124268
2010-04-16,4.753410816192627
2010-04-19,4.705447196960449
2010-04-20,4.67236852645874
2010-04-21,4.834451675415039
2010-04-22,4.867530345916748
2010-04-23,4.837760925292969
2010-04-26,4.733562469482422
2010-04-27,4.6690592765808105
2010-04-28,4.698830604553223
2010-04-29,4.771602153778076
2010-04-30,4.650866508483887
2010-05-03,4.635982036590576
2010-05-04,4.548323631286621
2010-05-05,4.493741035461426
2010-05-06,4.3630828857421875
2010-05-07,4.240690231323242
2010-05-10,4.444601535797119
2010-05-11,4.5523600578308105
2010-05-12,4.7249369621276855
2010-05-13,4.677523612976074
2010-05-14,4.624641418457031
2010-05-17,4.595463275909424
2010-05-18,4.504281520843506
2010-05-19,4.46781063079834
2010-05-20,4.340157985687256
