Date,HIFS
2010-01-04,23.784290313720703
2010-01-05,23.73759651184082
2010-01-06,25.473155975341797
2010-01-07,25.828269958496094
2010-01-08,25.84405517578125
2010-01-11,24.668245315551758
2010-01-12,24.06850814819336
2010-01-13,24.06850814819336
2010-01-14,25.84405517578125
2010-01-15,25.84405517578125
2010-01-19,25.244321823120117
2010-01-20,25.244321823120117
2010-01-21,25.220640182495117
2010-01-22,25.252212524414062
2010-01-25,25.252212524414062
2010-01-26,25.252212524414062
2010-01-27,25.275869369506836
2010-01-28,25.84405517578125
2010-01-29,25.84405517578125
2010-02-01,24.668245315551758
2010-02-02,25.378461837768555
2010-02-03,26.041337966918945
2010-02-04,26.041337966918945
2010-02-05,25.670446395874023
2010-02-08,25.962425231933594
2010-02-09,25.962425231933594
2010-02-10,25.962425231933594
2010-02-11,26.712093353271484
2010-02-12,25.87562370300293
2010-02-16,25.64676856994629
2010-02-17,25.954540252685547
2010-02-18,25.954540252685547
2010-02-19,25.954540252685547
2010-02-22,25.804601669311523
2010-02-23,25.804601669311523
2010-02-24,25.804601669311523
2010-02-25,25.84405517578125
2010-02-26,25.804601669311523
2010-03-01,25.7651424407959
2010-03-02,25.7651424407959
2010-03-03,25.7651424407959
2010-03-04,25.1653995513916
2010-03-05,26.435901641845703
2010-03-08,26.428007125854492
2010-03-09,26.428007125854492
2010-03-10,26.428007125854492
2010-03-11,26.428007125854492
2010-03-12,26.428007125854492
2010-03-15,25.64676856994629
2010-03-16,25.252212524414062
2010-03-17,25.252212524414062
2010-03-18,25.252212524414062
2010-03-19,25.623098373413086
2010-03-22,26.041337966918945
2010-03-23,26.041337966918945
2010-03-24,26.159713745117188
2010-03-25,25.18907356262207
2010-03-26,26.325420379638672
2010-03-29,25.962425231933594
2010-03-30,27.382863998413086
2010-03-31,27.359188079833984
2010-04-01,27.130338668823242
2010-04-05,27.422317504882812
2010-04-06,26.86992073059082
2010-04-07,26.901710510253906
2010-04-08,26.901710510253906
2010-04-09,27.219501495361328
2010-04-12,27.012935638427734
2010-04-13,27.23539924621582
2010-04-14,27.807445526123047
2010-04-15,27.521406173706055
2010-04-16,28.20467758178711
2010-04-19,28.601930618286133
2010-04-20,28.64165687561035
2010-04-21,28.601930618286133
2010-04-22,28.80055046081543
2010-04-23,28.61782455444336
2010-04-26,28.64165687561035
2010-04-27,28.601930618286133
2010-04-28,28.601930618286133
2010-04-29,28.601930618286133
2010-04-30,28.609872817993164
2010-05-03,28.649600982666016
2010-05-04,28.649600982666016
2010-05-05,28.864120483398438
2010-05-06,28.721115112304688
2010-05-07,28.562204360961914
2010-05-10,28.887950897216797
2010-05-11,28.681379318237305
2010-05-12,28.681379318237305
2010-05-13,28.681379318237305
2010-05-14,29.054790496826172
2010-05-17,28.61782455444336
2010-05-18,29.285192489624023
2010-05-19,29.285192489624023
2010-05-20,30.055866241455078
2010-05-21,29.10247039794922
2010-05-24,29.10247039794922
2010-05-25,29.166032791137695
2010-05-26,29.20576286315918
2010-05-27,29.20576286315918
2010-05-28,29.976409912109375
2010-06-01,29.968463897705078
2010-06-02,29.968463897705078
2010-06-03,30.190927505493164
2010-06-04,29.920806884765625
2010-06-07,29.39643096923828
2010-06-08,29.39643096923828
2010-06-09,29.39643096923828
2010-06-10,29.39643096923828
2010-06-11,29.39643096923828
2010-06-14,29.046850204467773
2010-06-15,29.158077239990234
2010-06-16,29.158077239990234
2010-06-17,29.158077239990234
2010-06-18,30.190927505493164
2010-06-21,30.190927505493164
2010-06-22,30.190927505493164
2010-06-23,30.190927505493164
2010-06-24,30.190927505493164
2010-06-25,30.13531494140625
2010-06-28,30.190927505493164
2010-06-29,29.22957992553711
2010-06-30,29.340808868408203
2010-07-01,29.475866317749023
2010-07-02,29.475866317749023
2010-07-06,28.721115112304688
2010-07-07,28.905019760131836
2010-07-08,28.905019760131836
2010-07-09,28.905019760131836
2010-07-12,30.224323272705078
2010-07-13,29.704601287841797
2010-07-14,29.34477424621582
2010-07-15,29.34477424621582
2010-07-16,29.55267906188965
2010-07-19,29.904495239257812
2010-07-20,29.984437942504883
2010-07-21,29.816545486450195
2010-07-22,29.816545486450195
2010-07-23,30.784034729003906
2010-07-26,30.784034729003906
2010-07-27,29.360774993896484
2010-07-28,29.360774993896484
2010-07-29,29.360774993896484
2010-07-30,29.360774993896484
2010-08-02,29.3048095703125
2010-08-03,29.3048095703125
2010-08-04,29.816545486450195
2010-08-05,29.816545486450195
2010-08-06,29.816545486450195
2010-08-09,29.816545486450195
2010-08-10,30.600122451782227
2010-08-11,30.616125106811523
2010-08-12,30.616125106811523
2010-08-13,30.616125106811523
2010-08-16,29.624629974365234
2010-08-17,29.896495819091797
2010-08-18,29.624629974365234
2010-08-19,30.70407485961914
2010-08-20,28.057449340820312
2010-08-23,28.057449340820312
2010-08-24,29.58466148376465
2010-08-25,28.825044631958008
2010-08-26,30.76004981994629
2010-08-27,29.82452964782715
2010-08-30,30.776031494140625
2010-08-31,30.384235382080078
2010-09-01,30.33626937866211
2010-09-02,30.33626937866211
2010-09-03,30.33626937866211
2010-09-07,30.33626937866211
2010-09-08,30.33626937866211
2010-09-09,30.584135055541992
2010-09-10,30.584135055541992
2010-09-13,29.712602615356445
2010-09-14,29.712602615356445
2010-09-15,29.984437942504883
2010-09-16,29.984437942504883
2010-09-17,31.183834075927734
2010-09-20,31.583616256713867
2010-09-21,32.5671272277832
2010-09-22,32.78300857543945
2010-09-23,31.999404907226562
2010-09-24,31.183834075927734
2010-09-27,31.68756866455078
2010-09-28,30.824016571044922
