Date,TGNA
2010-01-04,5.419668197631836
2010-01-05,5.733907222747803
2010-01-06,5.800990104675293
2010-01-07,5.959874153137207
2010-01-08,5.917501926422119
2010-01-11,6.090509414672852
2010-01-12,5.790397644042969
2010-01-13,5.808050155639648
2010-01-14,5.72684383392334
2010-01-15,5.68447732925415
2010-01-19,5.758619785308838
2010-01-20,5.635043621063232
2010-01-21,5.546775817871094
2010-01-22,5.444385528564453
2010-01-25,5.663292407989502
2010-01-26,5.592676639556885
2010-01-27,5.698597431182861
2010-01-28,5.733907222747803
2010-01-29,5.7021284103393555
2010-02-01,5.303157329559326
2010-02-02,5.324340343475342
2010-02-03,5.158395767211914
2010-02-04,4.8229756355285645
2010-02-05,4.777079105377197
2010-02-08,4.830037593841553
2010-02-09,4.932430744171143
2010-02-10,4.911243915557861
2010-02-11,5.01716947555542
2010-02-12,5.045411586761475
2010-02-16,5.2254815101623535
2010-02-17,5.278440475463867
2010-02-18,5.39142370223999
2010-02-19,5.416139602661133
2010-02-22,5.281973361968994
2010-02-23,5.2254815101623535
2010-02-24,5.29609489440918
2010-02-25,5.4090776443481445
2010-02-26,5.34905481338501
2010-03-01,5.62445068359375
2010-03-02,5.631512641906738
2010-03-03,5.688148498535156
2010-03-04,5.688148498535156
2010-03-05,5.758939743041992
2010-03-08,5.720005035400391
2010-03-09,5.684607982635498
2010-03-10,5.691686630249023
2010-03-11,5.766017436981201
2010-03-12,5.627974510192871
2010-03-15,5.684607982635498
2010-03-16,5.8120341300964355
2010-03-17,5.939462184906006
2010-03-18,5.804954528808594
2010-03-19,5.684607982635498
2010-03-22,5.8120341300964355
2010-03-23,5.918223857879639
2010-03-24,5.858048915863037
2010-03-25,5.8403496742248535
2010-03-26,5.854509353637695
2010-03-29,5.918223857879639
2010-03-30,5.967776775360107
2010-03-31,5.8474297523498535
2010-04-01,5.911141872406006
2010-04-05,6.102280616760254
2010-04-06,6.137679100036621
2010-04-07,6.201390266418457
2010-04-08,6.296961784362793
2010-04-09,6.296961784362793
2010-04-12,6.4102253913879395
2010-04-13,6.279261589050293
2010-04-14,6.364211559295654
2010-04-15,6.4208455085754395
2010-04-16,6.3854475021362305
2010-04-19,6.3040385246276855
2010-04-20,6.52349328994751
2010-04-21,6.519954204559326
2010-04-22,6.470400333404541
2010-04-23,6.470400333404541
2010-04-26,6.6084442138671875
2010-04-27,6.215548038482666
2010-04-28,6.1589155197143555
2010-04-29,6.1943135261535645
2010-04-30,6.024412631988525
2010-05-03,6.119978904724121
2010-05-04,5.868668556213379
