Date,EFSC
2010-01-04,6.158092975616455
2010-01-05,5.865583896636963
2010-01-06,5.888675689697266
2010-01-07,5.94256067276001
2010-01-08,6.0888142585754395
2010-01-11,6.227372169494629
2010-01-12,6.196579933166504
2010-01-13,6.158092975616455
2010-01-14,7.097202301025391
2010-01-15,7.104900360107422
2010-01-19,7.482081413269043
2010-01-20,7.151082992553711
2010-01-21,7.166479587554932
2010-01-22,7.1202921867370605
2010-01-25,7.051015853881836
2010-01-26,6.743110179901123
2010-01-27,6.927854061126709
2010-01-28,7.012526035308838
2010-01-29,7.189571857452393
2010-02-01,7.166479587554932
2010-02-02,7.012526035308838
2010-02-03,6.927854061126709
2010-02-04,6.7046217918396
2010-02-05,6.7046217918396
2010-02-08,6.473693370819092
2010-02-09,6.650739669799805
2010-02-10,6.573765277862549
2010-02-11,6.535275936126709
2010-02-12,6.435207843780518
2010-02-16,6.812389850616455
2010-02-17,7.0048298835754395
2010-02-18,7.027925491333008
2010-02-19,7.074106693267822
2010-02-22,7.1202921867370605
2010-02-23,7.189571857452393
2010-02-24,7.104900360107422
2010-02-25,6.843178749084473
2010-02-26,6.596854209899902
2010-03-01,6.935549736022949
2010-03-02,7.181875705718994
2010-03-03,7.166479587554932
2010-03-04,7.097202301025391
2010-03-05,7.089504718780518
2010-03-08,7.035618782043457
2010-03-09,7.0048298835754395
2010-03-10,7.235755920410156
2010-03-11,7.284526348114014
2010-03-12,7.1838908195495605
2010-03-15,7.253563404083252
2010-03-16,7.640626907348633
2010-03-17,7.942534923553467
2010-03-18,7.795452117919922
2010-03-19,8.314118385314941
2010-03-22,8.499906539916992
2010-03-23,8.468938827514648
2010-03-24,8.608280181884766
2010-03-25,8.801813125610352
2010-03-26,8.747628211975098
2010-03-29,8.763108253479004
2010-03-30,8.616028785705566
2010-03-31,8.561837196350098
2010-04-01,8.708922386169434
2010-04-05,8.81729507446289
2010-04-06,8.685698509216309
2010-04-07,8.461199760437012
2010-04-08,8.453459739685059
2010-04-09,8.51539134979248
2010-04-12,8.476680755615234
2010-04-13,8.35282039642334
2010-04-14,8.51539134979248
2010-04-15,8.569579124450684
2010-04-16,8.51539134979248
2010-04-19,8.5231294631958
2010-04-20,8.437975883483887
2010-04-21,8.468938827514648
2010-04-22,8.368307113647461
2010-04-23,8.275409698486328
2010-04-26,8.2908935546875
2010-04-27,8.1051025390625
2010-04-28,8.228961944580078
2010-04-29,8.422493934631348
2010-04-30,8.136069297790527
2010-05-03,8.453459739685059
2010-05-04,8.383784294128418
2010-05-05,8.2908935546875
2010-05-06,7.950276851654053
2010-05-07,7.749004364013672
2010-05-10,7.934798240661621
2010-05-11,8.569579124450684
2010-05-12,8.840522766113281
2010-05-13,8.639251708984375
2010-05-14,8.414752960205078
2010-05-17,8.492169380187988
2010-05-18,8.182514190673828
2010-05-19,7.988982677459717
2010-05-20,7.315492630004883
2010-05-21,7.392905235290527
2010-05-24,7.300008296966553
2010-05-25,7.245820045471191
2010-05-26,7.578697681427002
2010-05-27,7.996724605560303
2010-05-28,7.787710666656494
2010-06-01,7.230339527130127
2010-06-02,7.733523845672607
2010-06-03,7.694813251495361
2010-06-04,7.4470930099487305
2010-06-07,7.199373722076416
2010-06-08,7.145186424255371
2010-06-09,7.060032367706299
2010-06-10,7.292269706726074
2010-06-11,7.539991855621338
2010-06-14,7.503408432006836
2010-06-15,7.627943992614746
2010-06-16,7.589025497436523
2010-06-17,7.604590892791748
2010-06-18,7.877020835876465
2010-06-21,7.729130744934082
2010-06-22,7.596811294555664
2010-06-23,7.66686487197876
2010-06-24,7.830321788787842
2010-06-25,8.266205787658691
2010-06-28,8.35181999206543
2010-06-29,7.954853534698486
2010-06-30,7.503408432006836
2010-07-01,7.52675724029541
2010-07-02,7.635725498199463
2010-07-06,7.184279441833496
2010-07-07,7.66686487197876
2010-07-08,7.550109386444092
2010-07-09,7.627943992614746
2010-07-12,7.565676212310791
2010-07-13,8.048261642456055
2010-07-14,7.970423698425293
2010-07-15,7.612377166748047
2010-07-16,7.277683734893799
2010-07-19,7.262115478515625
2010-07-20,7.3788676261901855
2010-07-21,7.153142929077148
2010-07-22,7.417787075042725
2010-07-23,7.9315056800842285
2010-07-26,8.180582046508789
2010-07-27,8.421874046325684
2010-07-28,7.915938854217529
2010-07-29,7.768052101135254
2010-07-30,7.970423698425293
2010-08-02,7.9937744140625
2010-08-03,7.869235515594482
2010-08-04,7.908154010772705
2010-08-05,7.9003729820251465
2010-08-06,7.705785274505615
2010-08-09,7.962638854980469
2010-08-10,7.612377166748047
2010-08-11,7.129791736602783
2010-08-12,7.013038635253906
2010-08-13,6.958555221557617
2010-08-16,6.989688873291016
2010-08-17,7.192062854766846
2010-08-18,7.083089351654053
2010-08-19,6.538239002227783
2010-08-20,6.507106304168701
2010-08-23,6.226894378662109
2010-08-24,6.195760726928711
2010-08-25,6.7250471115112305
2010-08-26,6.507106304168701
2010-08-27,6.841799259185791
2010-08-30,6.3125152587890625
2010-08-31,6.296948432922363
2010-09-01,6.623859882354736
2010-09-02,6.616076946258545
2010-09-03,6.600506782531738
2010-09-07,6.335864543914795
2010-09-08,6.468186855316162
2010-09-09,6.413703441619873
2010-09-10,6.390350818634033
2010-09-13,6.612057685852051
2010-09-14,6.447539806365967
2010-09-15,6.533716201782227
2010-09-16,6.5180463790893555
2010-09-17,6.478878021240234
2010-09-20,6.643394470214844
2010-09-21,6.698235034942627
2010-09-22,6.682566165924072
2010-09-23,6.5650529861450195
2010-09-24,6.745239734649658
2010-09-27,6.5650529861450195
