Date,OVV
2010-01-04,116.00472259521484
2010-01-05,117.36153411865234
2010-01-06,118.78614044189453
2010-01-07,118.14167785644531
2010-01-08,118.6844253540039
2010-01-11,116.95448303222656
2010-01-12,116.00472259521484
2010-01-13,119.36276245117188
2010-01-14,118.75224304199219
2010-01-15,116.98843383789062
2010-01-19,117.42936706542969
2010-01-20,114.61406707763672
2010-01-21,110.06885528564453
2010-01-22,109.32257080078125
2010-01-25,110.17058563232422
2010-01-26,107.9658203125
2010-01-27,106.74474334716797
2010-01-28,105.08268737792969
2010-01-29,103.75982666015625
2010-02-01,107.18570709228516
2010-02-02,109.69569396972656
2010-02-03,109.4582748413086
2010-02-04,104.26858520507812
2010-02-05,103.28495025634766
2010-02-08,102.87789916992188
2010-02-09,104.06504821777344
2010-02-10,103.92937469482422
2010-02-11,106.84647369384766
2010-02-12,108.23722076416016
2010-02-16,112.51106262207031
2010-02-17,112.00227355957031
2010-02-18,113.76603698730469
2010-02-19,113.52864837646484
2010-02-22,110.2723388671875
2010-02-23,108.40680694580078
2010-02-24,109.42438507080078
2010-02-25,110.03490447998047
2010-02-26,111.18815612792969
2010-03-01,114.95323181152344
2010-03-02,116.58141326904297
2010-03-03,115.52986145019531
2010-03-04,114.74969482421875
2010-03-05,116.1744155883789
2010-03-08,115.93693542480469
2010-03-09,115.49598693847656
2010-03-10,116.14043426513672
2010-03-11,115.52633666992188
2010-03-12,114.26386260986328
2010-03-15,113.44505310058594
2010-03-16,112.96739959716797
2010-03-17,110.37435150146484
2010-03-18,108.12248229980469
2010-03-19,105.22242736816406
2010-03-22,103.89179992675781
2010-03-23,105.66600036621094
2010-03-24,102.69759368896484
2010-03-25,101.77642059326172
2010-03-26,100.54814910888672
2010-03-29,103.51646423339844
2010-03-30,104.60828399658203
2010-03-31,105.87068939208984
2010-04-01,108.39546966552734
2010-04-05,112.42145538330078
2010-04-06,111.94380187988281
2010-04-07,109.72610473632812
2010-04-08,109.55548858642578
2010-04-09,109.76019287109375
2010-04-12,109.38491821289062
2010-04-13,109.99903869628906
2010-04-14,108.56604766845703
2010-04-15,108.56604766845703
2010-04-16,106.24604034423828
2010-04-19,105.76831817626953
2010-04-20,108.32720184326172
2010-04-21,108.12248229980469
2010-04-22,108.56604766845703
2010-04-23,111.46615600585938
2010-04-26,112.5920639038086
2010-04-27,109.69197845458984
2010-04-28,110.51083374023438
2010-04-29,111.84143829345703
2010-04-30,112.83090209960938
2010-05-03,113.17210388183594
2010-05-04,111.02257537841797
2010-05-05,107.78129577636719
2010-05-06,103.41411590576172
2010-05-07,103.31175994873047
2010-05-10,107.23542785644531
2010-05-11,108.12248229980469
2010-05-12,110.74966430664062
2010-05-13,111.56855773925781
2010-05-14,109.24846649169922
2010-05-17,107.26956939697266
2010-05-18,106.3824462890625
2010-05-19,105.9389419555664
2010-05-20,100.4798812866211
2010-05-21,102.731689453125
2010-05-24,100.61638641357422
2010-05-25,100.37757873535156
2010-05-26,99.83162689208984
2010-05-27,105.25652313232422
2010-05-28,105.25652313232422
2010-06-01,104.06238555908203
