Date,BELFB
2010-01-04,17.830204010009766
2010-01-05,17.507476806640625
2010-01-06,17.09601593017578
2010-01-07,16.853986740112305
2010-01-08,16.773298263549805
2010-01-11,16.644214630126953
2010-01-12,16.652284622192383
2010-01-13,17.696590423583984
2010-01-14,17.809926986694336
2010-01-15,17.55087661743164
2010-01-19,18.36850929260254
2010-01-20,17.283727645874023
2010-01-21,16.47418212890625
2010-01-22,15.850831031799316
2010-01-25,16.045127868652344
2010-01-26,15.810359954833984
2010-01-27,16.62799644470215
2010-01-28,15.964164733886719
2010-01-29,15.357014656066895
2010-02-01,16.0532169342041
2010-02-02,15.454161643981934
2010-02-03,15.065583229064941
2010-02-04,14.41794204711914
2010-02-05,14.766048431396484
2010-02-08,14.28841495513916
2010-02-09,15.276056289672852
2010-02-10,15.348916053771973
2010-02-11,14.944140434265137
2010-02-12,15.575583457946777
2010-02-16,16.328468322753906
2010-02-17,17.024667739868164
2010-02-18,17.00849151611328
2010-02-19,16.854665756225586
2010-02-22,17.955642700195312
2010-02-23,17.340394973754883
2010-02-24,17.947547912597656
2010-02-25,18.182310104370117
2010-02-26,18.40088653564453
2010-03-01,18.870431900024414
2010-03-02,19.032337188720703
2010-03-03,18.870431900024414
2010-03-04,18.55470085144043
2010-03-05,19.36425018310547
2010-03-08,19.26710319519043
2010-03-09,19.08900260925293
2010-03-10,19.218528747558594
2010-03-11,18.489938735961914
2010-03-12,18.408992767333984
2010-03-15,18.093263626098633
2010-03-16,18.659950256347656
2010-03-17,19.016145706176758
2010-03-18,18.999958038330078
2010-03-19,18.44947052001953
2010-03-22,19.016145706176758
2010-03-23,18.619478225708008
2010-03-24,17.842308044433594
2010-03-25,17.388961791992188
2010-03-26,16.854665756225586
2010-03-29,16.69275665283203
2010-03-30,16.441797256469727
2010-03-31,16.31226921081543
2010-04-01,16.91133689880371
2010-04-05,17.388961791992188
2010-04-06,17.388961791992188
2010-04-07,17.680395126342773
2010-04-08,18.190412521362305
2010-04-09,18.133737564086914
2010-04-12,18.271366119384766
2010-04-13,18.303852081298828
2010-04-14,18.596195220947266
2010-04-15,18.51498794555664
2010-04-16,18.182037353515625
2010-04-19,18.352575302124023
2010-04-20,18.929140090942383
2010-04-21,18.7829647064209
2010-04-22,18.904769897460938
2010-04-23,18.994094848632812
2010-04-26,18.985980987548828
2010-04-27,18.774843215942383
2010-04-28,19.06718635559082
2010-04-29,20.187828063964844
2010-04-30,19.01845932006836
2010-05-03,20.066017150878906
2010-05-04,19.513824462890625
2010-05-05,19.197113037109375
2010-05-06,18.62867546081543
2010-05-07,17.678560256958008
2010-05-10,18.247005462646484
2010-05-11,18.23887825012207
2010-05-12,18.49062156677246
2010-05-13,18.393171310424805
2010-05-14,17.897815704345703
2010-05-17,17.94654083251953
2010-05-18,17.337495803833008
2010-05-19,16.850255966186523
2010-05-20,15.81893253326416
2010-05-21,15.753976821899414
2010-05-24,14.933793067932129
2010-05-25,14.284148216247559
2010-05-26,14.170462608337402
2010-05-27,14.738903045654297
2010-05-28,14.308511734008789
2010-06-01,13.520812034606934
2010-06-02,13.845630645751953
2010-06-03,14.31662654876709
2010-06-04,13.520812034606934
2010-06-07,13.399001121520996
2010-06-08,13.390878677368164
2010-06-09,13.561413764953613
2010-06-10,13.983685493469238
2010-06-11,14.235424995422363
2010-06-14,13.731947898864746
2010-06-15,14.828227043151855
2010-06-16,14.584609985351562
2010-06-17,15.437275886535645
2010-06-18,16.038206100463867
2010-06-21,15.339827537536621
2010-06-22,15.169301986694336
2010-06-23,15.071845054626465
2010-06-24,14.763256072998047
2010-06-25,14.950033187866211
2010-06-28,14.893190383911133
2010-06-29,13.634499549865723
2010-06-30,13.407121658325195
2010-07-01,13.650738716125488
2010-07-02,13.79691219329834
2010-07-06,13.29343032836914
2010-07-07,13.683222770690918
2010-07-08,13.910601615905762
2010-07-09,13.78066635131836
2010-07-12,13.577654838562012
2010-07-13,14.955804824829102
2010-07-14,14.817171096801758
2010-07-15,14.784555435180664
2010-07-16,14.376819610595703
2010-07-19,14.572534561157227
2010-07-20,14.80902099609375
2010-07-21,14.417595863342285
2010-07-22,14.833487510681152
2010-07-23,15.926223754882812
2010-07-26,16.651996612548828
2010-07-27,16.758005142211914
2010-07-28,16.90479278564453
2010-07-29,16.847707748413086
2010-07-30,19.228899002075195
2010-08-02,18.60098648071289
2010-08-03,18.38080406188965
2010-08-04,18.853776931762695
2010-08-05,18.658065795898438
2010-08-06,19.122879028320312
2010-08-09,19.54692840576172
2010-08-10,18.902706146240234
2010-08-11,17.899677276611328
2010-08-12,17.58979034423828
2010-08-13,16.448122024536133
2010-08-16,16.586759567260742
2010-08-17,16.847707748413086
2010-08-18,16.43181610107422
2010-08-19,15.44509506225586
2010-08-20,14.678544044494629
2010-08-23,14.515449523925781
2010-08-24,14.458367347717285
2010-08-25,14.923182487487793
2010-08-26,14.3523588180542
2010-08-27,15.224908828735352
2010-08-30,14.898725509643555
2010-08-31,15.110748291015625
2010-09-01,15.632650375366211
2010-09-02,15.542951583862305
2010-09-03,16.032230377197266
2010-09-07,15.363546371459961
2010-09-08,15.127056121826172
2010-09-09,15.27384090423584
2010-09-10,15.608189582824707
2010-09-13,16.268720626831055
2010-09-14,16.301345825195312
2010-09-15,16.513364791870117
2010-09-16,15.869141578674316
2010-09-17,16.236103057861328
2010-09-20,17.899677276611328
2010-09-21,17.45931053161621
2010-09-22,17.13313102722168
2010-09-23,16.448122024536133
2010-09-24,17.149431228637695
2010-09-27,17.247289657592773
2010-09-28,16.978187561035156
