Date,UI
2011-10-14,16.013330459594727
2011-10-17,17.019887924194336
2011-10-18,17.385906219482422
2011-10-19,16.150588989257812
2011-10-20,16.36104965209961
2011-10-21,17.898324966430664
2011-10-24,18.51140785217285
2011-10-25,17.742780685424805
2011-10-26,17.422508239746094
2011-10-27,17.495712280273438
2011-10-28,18.657817840576172
2011-10-31,19.20684814453125
2011-11-01,18.721872329711914
2011-11-02,18.98724365234375
2011-11-03,18.456512451171875
2011-11-04,17.63296890258789
2011-11-07,17.257801055908203
2011-11-08,17.12054443359375
2011-11-09,17.12969207763672
2011-11-10,17.019887924194336
2011-11-11,17.806821823120117
2011-11-14,18.035587310791016
2011-11-15,18.163692474365234
2011-11-16,18.346708297729492
2011-11-17,20.140195846557617
2011-11-18,20.460460662841797
2011-11-21,18.731019973754883
2011-11-22,18.795080184936523
2011-11-23,17.998985290527344
2011-11-25,17.715320587158203
2011-11-28,17.724470138549805
2011-11-29,17.27609634399414
2011-11-30,18.08133888244629
2011-12-01,18.291797637939453
2011-12-02,18.52971839904785
2011-12-05,18.23689842224121
2011-12-06,17.843427658081055
2011-12-07,18.154542922973633
2011-12-08,18.401607513427734
2011-12-09,18.429059982299805
2011-12-12,18.172849655151367
2011-12-13,19.051288604736328
2011-12-14,19.243450164794922
2011-12-15,18.804224014282227
2011-12-16,19.124494552612305
2011-12-19,18.795080184936523
2011-12-20,18.191150665283203
2011-12-21,17.715320587158203
2011-12-22,17.57806396484375
2011-12-23,17.623815536499023
2011-12-27,17.239498138427734
2011-12-28,16.864322662353516
2011-12-29,16.9832820892334
2011-12-30,16.681318283081055
2012-01-03,16.919227600097656
2012-01-04,16.699615478515625
2012-01-05,15.958433151245117
2012-01-06,16.745372772216797
2012-01-09,17.678720474243164
2012-01-10,18.227746963500977
2012-01-11,19.371559143066406
2012-01-12,19.957185745239258
2012-01-13,20.487916946411133
2012-01-17,19.80162811279297
2012-01-18,19.344104766845703
2012-01-19,18.328407287597656
2012-01-20,18.337554931640625
2012-01-23,18.291797637939453
2012-01-24,18.264347076416016
2012-01-25,18.429059982299805
2012-01-26,19.215999603271484
2012-01-27,20.643474578857422
2012-01-30,22.345462799072266
2012-01-31,22.21735954284668
2012-02-01,22.05264663696289
2012-02-02,23.352022171020508
2012-02-03,22.876184463500977
2012-02-06,21.741533279418945
2012-02-07,21.274852752685547
2012-02-08,21.467016220092773
2012-02-09,22.720632553100586
2012-02-10,22.793838500976562
2012-02-13,22.57422637939453
2012-02-14,22.235652923583984
2012-02-15,21.302309036254883
2012-02-16,22.07094383239746
2012-02-17,22.885337829589844
2012-02-21,22.876184463500977
2012-02-22,23.196456909179688
2012-02-23,24.504974365234375
2012-02-24,25.01740264892578
2012-02-27,26.17951011657715
2012-02-28,25.438322067260742
2012-02-29,24.04744529724121
2012-03-01,22.89449119567871
2012-03-02,23.782087326049805
2012-03-05,23.0408992767334
2012-03-06,21.567678451538086
2012-03-07,22.53762435913086
2012-03-08,22.976848602294922
2012-03-09,23.333717346191406
2012-03-12,23.965097427368164
2012-03-13,24.31281280517578
2012-03-14,24.706287384033203
