Date,EFC
2010-10-08,3.652773380279541
2010-10-11,3.652773380279541
2010-10-12,3.736743927001953
2010-10-13,3.7619361877441406
2010-10-14,3.7535364627838135
2010-10-15,3.755216360092163
2010-10-18,3.7619361877441406
2010-10-19,3.7300262451171875
2010-10-20,3.7333858013153076
2010-10-21,3.7350635528564453
2010-10-22,3.7283453941345215
2010-10-25,3.6695685386657715
2010-10-26,3.6863596439361572
2010-10-27,3.679643154144287
2010-10-28,3.6863596439361572
2010-10-29,3.6997969150543213
2010-11-01,3.713233232498169
2010-11-02,3.693079948425293
2010-11-03,3.684680223464966
2010-11-04,3.7199490070343018
2010-11-05,3.709874391555786
2010-11-08,3.6830031871795654
2010-11-09,3.6729273796081543
2010-11-10,3.652773380279541
2010-11-11,3.677964687347412
2010-11-12,3.677964687347412
2010-11-15,3.6897218227386475
2010-11-16,3.711552858352661
2010-11-17,3.709874391555786
2010-11-18,3.703155279159546
2010-11-19,3.7535364627838135
2010-11-22,3.7535364627838135
2010-11-23,3.7619361877441406
2010-11-24,3.7888071537017822
2010-11-26,3.7938458919525146
2010-11-29,3.873934745788574
2010-11-30,3.8826401233673096
2010-12-01,3.8826401233673096
2010-12-02,3.8809010982513428
2010-12-03,3.8809010982513428
2010-12-06,3.9000513553619385
2010-12-07,3.8304076194763184
2010-12-08,3.8304076194763184
2010-12-09,3.8565256595611572
2010-12-10,3.873934745788574
2010-12-13,3.8721935749053955
2010-12-14,3.865230083465576
2010-12-15,3.8617477416992188
2010-12-16,3.8721935749053955
2010-12-17,3.8217034339904785
2010-12-20,3.865230083465576
2010-12-21,3.8721935749053955
2010-12-22,3.8721935749053955
2010-12-23,3.865230083465576
2010-12-27,3.8826401233673096
2010-12-28,3.873934745788574
2010-12-29,3.879157781600952
2010-12-30,3.873934745788574
2010-12-31,3.8721935749053955
2011-01-03,3.8634893894195557
2011-01-04,3.8634893894195557
2011-01-05,3.8565256595611572
2011-01-06,3.8565256595611572
2011-01-07,3.879157781600952
2011-01-10,3.8721935749053955
2011-01-11,3.8687124252319336
2011-01-12,3.8617477416992188
2011-01-13,3.8861236572265625
2011-01-14,3.873934745788574
2011-01-18,3.873934745788574
2011-01-19,3.9348721504211426
2011-01-20,3.9017927646636963
2011-01-21,3.8826401233673096
2011-01-24,3.873934745788574
2011-01-25,3.8896052837371826
2011-01-26,3.8600075244903564
2011-01-27,3.866971492767334
2011-01-28,3.865230083465576
2011-01-31,3.866971492767334
2011-02-01,3.865230083465576
2011-02-02,3.8304076194763184
2011-02-03,3.917461395263672
2011-02-04,3.9087588787078857
2011-02-07,3.9348721504211426
2011-02-08,3.9435789585113525
2011-02-09,3.969696283340454
2011-02-10,3.9627301692962646
2011-02-11,4.166439056396484
2011-02-14,4.237824440002441
2011-02-15,4.236082077026367
2011-02-16,4.243046760559082
2011-02-17,4.2047438621521
2011-02-18,4.220412731170654
2011-02-22,4.194297790527344
2011-02-23,4.178626537322998
2011-02-24,4.178626537322998
2011-02-25,4.235716342926025
2011-02-28,4.3388471603393555
2011-03-01,4.294649124145508
2011-03-02,4.289124488830566
2011-03-03,4.307540416717529
2011-03-04,4.281759738922119
2011-03-07,4.325957775115967
2011-03-08,4.327798843383789
2011-03-09,4.320432186126709
2011-03-10,4.314906597137451
2011-03-11,4.313065052032471
2011-03-14,4.2964911460876465
2011-03-15,4.276230812072754
2011-03-16,4.263341903686523
2011-03-17,4.2430830001831055
2011-03-18,4.285442352294922
2011-03-21,4.235716342926025
2011-03-22,4.213617324829102
2011-03-23,4.226508617401123
2011-03-24,4.22282600402832
2011-03-25,4.252292156219482
2011-03-28,4.26149845123291
2011-03-29,4.235716342926025
2011-03-30,4.237558841705322
2011-03-31,4.244926929473877
2011-04-01,4.22282600402832
2011-04-04,4.2117767333984375
2011-04-05,4.139951705932617
2011-04-06,4.154686450958252
2011-04-07,4.189676761627197
2011-04-08,4.130744934082031
2011-04-11,4.106803894042969
2011-04-12,4.088387489318848
2011-04-13,4.086546421051025
2011-04-14,4.136269569396973
2011-04-15,4.213617324829102
2011-04-18,4.134430885314941
2011-04-19,4.167576789855957
2011-04-20,4.143635272979736
2011-04-21,4.171259880065918
2011-04-25,4.2283501625061035
2011-04-26,4.2338762283325195
2011-04-27,4.209935665130615
2011-04-28,4.263341903686523
2011-04-29,4.1878342628479
2011-05-02,4.182310581207275
2011-05-03,4.185992240905762
2011-05-04,4.167576789855957
2011-05-05,4.163897514343262
2011-05-06,4.191517353057861
2011-05-09,4.2338762283325195
2011-05-10,4.180469989776611
2011-05-11,4.151003360748291
2011-05-12,4.125218868255615
2011-05-13,4.099438190460205
2011-05-16,4.044189929962158
2011-05-17,4.040505409240723
2011-05-18,4.02393102645874
2011-05-19,4.016565799713135
2011-05-20,4.062605857849121
2011-05-23,4.046030521392822
2011-05-24,4.075496196746826
2011-05-25,4.093913555145264
2011-05-26,4.086546421051025
2011-05-27,4.112803936004639
2011-05-31,4.120303630828857
2011-06-01,4.118427276611328
2011-06-02,4.114678859710693
2011-06-03,4.144684314727783
2011-06-06,4.131556510925293
2011-06-07,4.140933513641357
2011-06-08,4.129680633544922
2011-06-09,4.131556510925293
2011-06-10,4.155937671661377
2011-06-13,4.043411731719971
2011-06-14,4.007777214050293
2011-06-15,3.9402637481689453
2011-06-16,3.9608919620513916
2011-06-17,3.9665184020996094
2011-06-20,3.936511516571045
2011-06-21,3.9327614307403564
2011-06-22,3.934638261795044
2011-06-23,3.9458892345428467
2011-06-24,3.9177587032318115
2011-06-27,3.9083805084228516
