Date,NRC
2013-05-23,15.852470397949219
2013-05-24,15.852470397949219
2013-05-28,15.900026321411133
2013-05-29,14.441597938537598
2013-05-30,13.268521308898926
2013-05-31,12.95939826965332
2013-06-03,12.285664558410645
2013-06-04,10.526041030883789
2013-06-05,9.876089096069336
2013-06-06,10.201066017150879
2013-06-07,10.851016998291016
2013-06-10,11.231476783752441
2013-06-11,10.851016998291016
2013-06-12,11.207696914672852
2013-06-13,11.437559127807617
2013-06-14,11.36622142791748
2013-06-17,10.747974395751953
2013-06-18,12.261887550354004
2013-06-19,13.205106735229492
2013-06-20,14.584274291992188
2013-06-21,13.355706214904785
2013-06-24,12.753311157226562
2013-06-25,12.800872802734375
2013-06-26,13.260591506958008
2013-06-27,13.728240966796875
2013-06-28,14.267224311828613
2013-07-01,13.617268562316895
2013-07-02,13.316073417663574
2013-07-03,13.308152198791504
2013-07-05,13.67275619506836
2013-07-08,13.411190032958984
2013-07-09,13.538013458251953
2013-07-10,13.561789512634277
2013-07-11,13.617268562316895
2013-07-12,13.5855712890625
2013-07-15,13.934322357177734
2013-07-16,14.116622924804688
2013-07-17,14.267224311828613
2013-07-18,14.29100227355957
2013-07-19,14.346485137939453
2013-07-22,14.180036544799805
2013-07-23,14.338561058044434
2013-07-24,14.251371383666992
2013-07-25,14.235519409179688
2013-07-26,14.227592468261719
2013-07-29,14.187960624694824
2013-07-30,14.267224311828613
2013-07-31,14.251371383666992
2013-08-01,14.25930118560791
2013-08-02,13.958101272583008
2013-08-05,14.108695030212402
2013-08-06,14.433676719665527
2013-08-07,14.24344539642334
2013-08-08,13.902617454528809
2013-08-09,14.069068908691406
2013-08-12,13.799575805664062
2013-08-13,13.878837585449219
2013-08-14,13.759944915771484
2013-08-15,13.569716453552246
2013-08-16,12.935619354248047
2013-08-19,12.864279747009277
2013-08-20,12.967321395874023
2013-08-21,12.943544387817383
2013-08-22,13.284371376037598
2013-08-23,13.16547679901123
2013-08-26,13.181330680847168
2013-08-27,13.078287124633789
2013-08-28,12.999025344848633
2013-08-29,13.10999584197998
2013-08-30,12.991098403930664
