Date,BRSL
2010-01-04,10.152186393737793
2010-01-05,9.899415969848633
2010-01-06,9.729177474975586
2010-01-07,9.992270469665527
2010-01-08,9.925204277038574
2010-01-11,10.208930015563965
2010-01-12,10.090282440185547
2010-01-13,10.126391410827637
2010-01-14,10.528768539428711
2010-01-15,10.466861724853516
2010-01-19,10.533927917480469
2010-01-20,10.477181434631348
2010-01-21,10.42043685913086
2010-01-22,10.647418022155762
2010-01-25,10.3069429397583
2010-01-26,10.286309242248535
2010-01-27,9.822032928466797
2010-01-28,9.713701248168945
2010-01-29,9.46092700958252
2010-02-01,9.713701248168945
2010-02-02,9.79624080657959
2010-02-03,9.672430992126465
2010-02-04,9.192680358886719
2010-02-05,9.02244758605957
2010-02-08,9.063715934753418
2010-02-09,9.089512825012207
2010-02-10,9.135937690734863
2010-02-11,9.445454597473145
2010-02-12,9.326805114746094
2010-02-16,9.558944702148438
2010-02-17,9.373231887817383
2010-02-18,9.16172981262207
2010-02-19,9.295852661132812
2010-02-22,9.275219917297363
2010-02-23,9.02244758605957
2010-02-24,9.063715934753418
2010-02-25,9.04308032989502
2010-02-26,9.053394317626953
2010-03-01,9.177206039428711
2010-03-02,8.986332893371582
2010-03-03,9.182363510131836
2010-03-04,8.85737133026123
2010-03-05,8.821261405944824
2010-03-08,8.914114952087402
2010-03-09,8.76451587677002
2010-03-10,8.702611923217773
2010-03-11,8.754196166992188
2010-03-12,8.80079174041748
2010-03-15,8.604069709777832
2010-03-16,8.754195213317871
2010-03-17,8.821495056152344
2010-03-18,8.754195213317871
2010-03-19,8.80079174041748
2010-03-22,9.24600601196289
2010-03-23,9.26153564453125
2010-03-24,9.214943885803223
2010-03-25,9.13211441040039
2010-03-26,9.194236755371094
2010-03-29,9.54626750946045
2010-03-30,9.520383834838867
2010-03-31,9.551447868347168
2010-04-01,9.618744850158691
2010-04-05,10.079490661621094
2010-04-06,10.198562622070312
2010-04-07,10.048429489135742
2010-04-08,10.343514442443848
2010-04-09,10.296928405761719
2010-04-12,10.214096069335938
2010-04-13,10.115731239318848
2010-04-14,10.095026969909668
2010-04-15,10.136438369750977
2010-04-16,9.898299217224121
2010-04-19,9.774055480957031
2010-04-20,9.991484642028809
2010-04-21,10.069137573242188
2010-04-22,10.146795272827148
2010-04-23,10.964747428894043
2010-04-26,10.84567642211914
2010-04-27,10.643779754638672
2010-04-28,10.73178768157959
2010-04-29,11.125229835510254
2010-04-30,10.912979125976562
2010-05-03,11.244298934936523
2010-05-04,10.726608276367188
2010-05-05,10.747322082519531
2010-05-06,10.524710655212402
2010-05-07,10.338342666625977
2010-05-10,10.964747428894043
2010-05-11,10.918159484863281
2010-05-12,11.057931900024414
2010-05-13,10.918159484863281
2010-05-14,10.861212730407715
2010-05-17,10.773204803466797
2010-05-18,10.700725555419922
2010-05-19,10.560948371887207
2010-05-20,9.924184799194336
2010-05-21,9.996664047241211
2010-05-24,9.82064437866211
