Date,GENI
2020-10-05,10.0
2020-10-06,9.899999618530273
2020-10-07,9.920000076293945
2020-10-08,9.920000076293945
2020-10-09,9.895000457763672
2020-10-12,9.859999656677246
2020-10-13,9.899999618530273
2020-10-14,9.869999885559082
2020-10-15,9.850000381469727
2020-10-16,9.880000114440918
2020-10-19,9.944999694824219
2020-10-20,9.970000267028809
2020-10-21,10.140000343322754
2020-10-22,10.079999923706055
2020-10-23,10.029999732971191
2020-10-26,10.0
2020-10-27,10.260000228881836
2020-10-28,10.270000457763672
2020-10-29,10.100000381469727
2020-10-30,10.050000190734863
2020-11-02,10.109999656677246
2020-11-03,10.100000381469727
2020-11-04,10.09000015258789
2020-11-05,10.25
2020-11-06,10.359999656677246
2020-11-09,10.300000190734863
2020-11-10,10.199999809265137
2020-11-11,10.170000076293945
2020-11-12,10.109999656677246
2020-11-13,10.109999656677246
2020-11-16,10.149999618530273
2020-11-17,10.210000038146973
2020-11-18,10.279999732971191
2020-11-19,10.199999809265137
2020-11-20,10.479999542236328
2020-11-23,10.5
2020-11-24,10.489999771118164
2020-11-25,10.899999618530273
2020-11-27,11.010000228881836
2020-11-30,11.050000190734863
2020-12-01,10.899999618530273
2020-12-02,10.75
2020-12-03,11.0
2020-12-04,11.15999984741211
2020-12-07,11.399999618530273
2020-12-08,11.600000381469727
2020-12-09,13.800000190734863
2020-12-10,13.449999809265137
2020-12-11,12.979999542236328
2020-12-14,13.100000381469727
2020-12-15,13.0
2020-12-16,13.0
2020-12-17,14.279999732971191
2020-12-18,15.300000190734863
2020-12-21,16.450000762939453
2020-12-22,15.899999618530273
2020-12-23,16.579999923706055
2020-12-24,16.610000610351562
2020-12-28,16.43000030517578
2020-12-29,16.639999389648438
2020-12-30,17.170000076293945
2020-12-31,17.59000015258789
2021-01-04,16.59000015258789
2021-01-05,15.890000343322754
2021-01-06,16.15999984741211
2021-01-07,15.949999809265137
2021-01-08,16.0
2021-01-11,15.619999885559082
2021-01-12,17.0
2021-01-13,15.920000076293945
2021-01-14,16.450000762939453
2021-01-15,17.440000534057617
2021-01-19,16.739999771118164
2021-01-20,20.440000534057617
2021-01-21,20.6200008392334
2021-01-22,20.1200008392334
2021-01-25,18.149999618530273
2021-01-26,19.3799991607666
2021-01-27,17.93000030517578
2021-01-28,19.139999389648438
2021-01-29,20.75
2021-02-01,21.43000030517578
2021-02-02,19.709999084472656
2021-02-03,19.350000381469727
2021-02-04,20.719999313354492
2021-02-05,20.780000686645508
2021-02-08,20.450000762939453
2021-02-09,20.700000762939453
2021-02-10,19.6299991607666
2021-02-11,18.56999969482422
2021-02-12,18.579999923706055
2021-02-16,18.420000076293945
2021-02-17,19.15999984741211
2021-02-18,19.899999618530273
2021-02-19,20.209999084472656
2021-02-22,20.270000457763672
2021-02-23,18.540000915527344
2021-02-24,18.5
2021-02-25,18.200000762939453
2021-02-26,19.040000915527344
