Date,ACHC
2010-01-04,4.599999904632568
2010-01-05,4.599999904632568
2010-01-06,4.239999771118164
2010-01-07,4.480000019073486
2010-01-08,4.559999942779541
2010-01-11,4.480000019073486
2010-01-12,4.519999980926514
2010-01-13,4.599999904632568
2010-01-14,4.71999979019165
2010-01-15,4.679999828338623
2010-01-19,4.599999904632568
2010-01-20,4.760000228881836
2010-01-21,4.679999828338623
2010-01-22,4.800000190734863
2010-01-25,4.960000038146973
2010-01-26,4.960000038146973
2010-01-27,4.880000114440918
2010-01-28,4.880000114440918
2010-01-29,4.880000114440918
2010-02-01,5.199999809265137
2010-02-02,5.28000020980835
2010-02-03,5.320000171661377
2010-02-04,5.119999885559082
2010-02-05,4.920000076293945
2010-02-08,4.840000152587891
2010-02-09,5.159999847412109
2010-02-10,5.119999885559082
2010-02-11,5.360000133514404
2010-02-12,5.440000057220459
2010-02-16,5.239999771118164
2010-02-17,5.28000020980835
2010-02-18,5.119999885559082
2010-02-19,5.199999809265137
2010-02-22,5.079999923706055
2010-02-23,4.880000114440918
2010-02-24,5.119999885559082
2010-02-25,5.039999961853027
2010-02-26,4.960000038146973
2010-03-01,5.039999961853027
2010-03-02,5.119999885559082
2010-03-03,5.559999942779541
2010-03-04,5.480000019073486
2010-03-05,5.519999980926514
2010-03-08,5.599999904632568
2010-03-09,5.400000095367432
2010-03-10,5.559999942779541
2010-03-11,5.960000038146973
2010-03-12,5.800000190734863
2010-03-15,6.199999809265137
2010-03-16,6.079999923706055
2010-03-17,6.079999923706055
2010-03-18,5.71999979019165
2010-03-19,5.159999847412109
2010-03-22,5.239999771118164
2010-03-23,5.159999847412109
2010-03-24,5.159999847412109
2010-03-25,5.480000019073486
2010-03-26,5.320000171661377
2010-03-29,5.360000133514404
2010-03-30,5.119999885559082
2010-03-31,5.119999885559082
2010-04-01,5.0
2010-04-05,4.880000114440918
2010-04-06,5.119999885559082
2010-04-07,5.28000020980835
2010-04-08,5.159999847412109
2010-04-09,5.079999923706055
2010-04-12,5.119999885559082
2010-04-13,5.159999847412109
2010-04-14,5.0
2010-04-15,4.880000114440918
2010-04-16,5.0
2010-04-19,5.079999923706055
2010-04-20,5.119999885559082
2010-04-21,5.119999885559082
2010-04-22,4.960000038146973
2010-04-23,4.760000228881836
2010-04-26,4.800000190734863
2010-04-27,4.800000190734863
2010-04-28,4.880000114440918
2010-04-29,5.0
2010-04-30,5.079999923706055
2010-05-03,4.960000038146973
2010-05-04,5.0
2010-05-05,5.0
2010-05-06,5.079999923706055
2010-05-07,5.079999923706055
2010-05-10,5.159999847412109
2010-05-11,5.079999923706055
2010-05-12,5.400000095367432
2010-05-13,4.960000038146973
2010-05-14,4.840000152587891
2010-05-17,5.0
2010-05-18,5.360000133514404
2010-05-19,5.0
2010-05-20,5.079999923706055
2010-05-21,5.039999961853027
2010-05-24,5.0
2010-05-25,4.960000038146973
2010-05-26,5.0
2010-05-27,4.960000038146973
2010-05-28,4.679999828338623
2010-06-01,4.71999979019165
2010-06-02,4.71999979019165
2010-06-03,4.800000190734863
2010-06-04,4.760000228881836
2010-06-07,4.599999904632568
2010-06-08,4.199999809265137
2010-06-09,4.159999847412109
2010-06-10,4.239999771118164
2010-06-11,3.9200000762939453
2010-06-14,4.599999904632568
2010-06-15,4.71999979019165
2010-06-16,4.519999980926514
2010-06-17,4.199999809265137
2010-06-18,4.400000095367432
2010-06-21,4.400000095367432
2010-06-22,4.320000171661377
2010-06-23,4.519999980926514
2010-06-24,4.519999980926514
2010-06-25,4.480000019073486
2010-06-28,4.760000228881836
2010-06-29,4.559999942779541
2010-06-30,4.599999904632568
2010-07-01,4.440000057220459
2010-07-02,4.679999828338623
2010-07-06,4.360000133514404
2010-07-07,4.199999809265137
2010-07-08,4.159999847412109
2010-07-09,4.199999809265137
2010-07-12,4.28000020980835
2010-07-13,4.28000020980835
2010-07-14,4.28000020980835
2010-07-15,4.28000020980835
