Date,KNX
2010-01-04,15.154438972473145
2010-01-05,15.391229629516602
2010-01-06,15.225470542907715
2010-01-07,15.20179271697998
2010-01-08,15.872697830200195
2010-01-11,16.20420265197754
2010-01-12,16.085805892944336
2010-01-13,16.18840980529785
2010-01-14,16.346267700195312
2010-01-15,16.14894676208496
2010-01-19,15.817440032958984
2010-01-20,15.635904312133789
2010-01-21,15.38332462310791
2010-01-22,14.878183364868164
2010-01-25,14.728219032287598
2010-01-26,15.067606925964355
2010-01-27,15.288620948791504
2010-01-28,14.475647926330566
2010-01-29,14.286212921142578
2010-02-01,14.52299976348877
2010-02-02,14.420393943786621
2010-02-03,14.665075302124023
2010-02-04,14.230961799621582
2010-02-05,14.317788124084473
2010-02-08,14.096781730651855
2010-02-09,14.396714210510254
2010-02-10,14.23885440826416
2010-02-11,14.23885440826416
2010-02-12,14.159921646118164
2010-02-16,14.23885440826416
2010-02-17,14.546683311462402
2010-02-18,14.601933479309082
2010-02-19,14.933436393737793
2010-02-22,15.154438972473145
2010-02-23,15.193902969360352
2010-02-24,15.34386157989502
2010-02-25,15.45436954498291
2010-02-26,15.588544845581055
2010-03-01,15.580657005310059
2010-03-02,15.746407508850098
2010-03-03,15.627713203430176
2010-03-04,15.540669441223145
2010-03-05,15.825529098510742
2010-03-08,15.928400993347168
2010-03-09,16.426902770996094
2010-03-10,16.529769897460938
2010-03-11,16.60097885131836
2010-03-12,16.205341339111328
2010-03-15,16.363603591918945
2010-03-16,16.727590560913086
2010-03-17,16.442733764648438
2010-03-18,16.347776412963867
2010-03-19,16.055004119873047
2010-03-22,16.205341339111328
2010-03-23,16.244909286499023
2010-03-24,16.04709243774414
2010-03-25,15.967961311340332
2010-03-26,16.015438079833984
2010-03-29,16.118305206298828
2010-03-30,16.118305206298828
2010-03-31,16.68802833557129
2010-04-01,16.41107749938965
2010-04-05,16.577238082885742
2010-04-06,16.498117446899414
2010-04-07,16.41107749938965
2010-04-08,16.498117446899414
2010-04-09,16.41898536682129
2010-04-12,16.18951988220215
2010-04-13,16.3873348236084
2010-04-14,16.60097885131836
2010-04-15,16.870019912719727
2010-04-16,16.86210823059082
2010-04-19,16.885841369628906
2010-04-20,16.585159301757812
2010-04-21,17.09949493408203
2010-04-22,17.43183135986328
2010-04-23,17.384355545043945
2010-04-26,17.305225372314453
2010-04-27,16.89375877380371
2010-04-28,16.806711196899414
2010-04-29,17.1865291595459
2010-04-30,16.84627914428711
