Date,MCBS
2019-09-05,12.733012199401855
2019-09-06,14.18487548828125
2019-09-09,14.18487548828125
2019-09-10,13.350471496582031
2019-09-11,13.467287063598633
2019-09-12,14.118124961853027
2019-09-13,13.350471496582031
2019-09-16,13.350471496582031
2019-09-17,13.350471496582031
2019-09-18,12.749701499938965
2019-09-19,12.749701499938965
2019-09-20,12.933270454406738
2019-09-23,12.933270454406738
2019-09-24,12.933270454406738
2019-09-25,12.933270454406738
2019-09-26,13.141870498657227
2019-09-27,12.933270454406738
2019-09-30,12.933270454406738
2019-10-01,12.933270454406738
2019-10-02,12.933270454406738
2019-10-03,11.25611686706543
2019-10-04,11.181020736694336
2019-10-07,11.181020736694336
2019-10-08,11.100082397460938
2019-10-09,11.164332389831543
2019-10-10,11.274473190307617
2019-10-11,11.25611686706543
2019-10-14,11.23942756652832
2019-10-15,11.247769355773926
2019-10-16,11.181020736694336
2019-10-17,11.264461517333984
2019-10-18,11.206053733825684
2019-10-21,11.414653778076172
2019-10-22,11.58987808227539
2019-10-23,11.639942169189453
2019-10-24,11.890263557434082
2019-10-25,12.09886360168457
2019-10-28,12.182306289672852
2019-10-29,12.140586853027344
2019-10-30,12.140586853027344
2019-10-31,12.224662780761719
2019-11-01,12.132180213928223
2019-11-04,12.157400131225586
2019-11-05,12.182621955871582
2019-11-06,12.132180213928223
2019-11-07,12.106955528259277
2019-11-08,12.157400131225586
2019-11-11,12.106955528259277
2019-11-12,12.098546981811523
2019-11-13,12.056509017944336
2019-11-14,12.02287769317627
2019-11-15,12.064915657043457
2019-11-18,12.085936546325684
2019-11-19,11.980840682983398
2019-11-20,12.132180213928223
2019-11-21,12.098546981811523
2019-11-22,11.888357162475586
2019-11-25,12.064915657043457
2019-11-26,12.064915657043457
2019-11-27,12.056509017944336
2019-11-29,12.02287769317627
2019-12-02,12.569371223449707
2019-12-03,12.813193321228027
2019-12-04,13.368095397949219
2019-12-05,13.906183242797852
2019-12-06,13.939814567565918
2019-12-09,13.645546913146973
2019-12-10,13.864144325256348
2019-12-11,14.049111366271973
2019-12-12,14.200444221496582
2019-12-13,14.29293155670166
2019-12-16,14.32656192779541
2019-12-17,14.250894546508789
2019-12-18,13.359684944152832
2019-12-19,13.14108943939209
2019-12-20,14.662866592407227
2019-12-23,14.620829582214355
2019-12-24,14.671272277832031
2019-12-26,14.688085556030273
2019-12-27,14.7133150100708
2019-12-30,14.839425086975098
2019-12-31,14.721722602844238
2020-01-02,14.83102035522461
2020-01-03,14.906683921813965
2020-01-06,14.906683921813965
2020-01-07,14.93191146850586
2020-01-08,15.024395942687988
2020-01-09,15.200952529907227
2020-01-10,15.234585762023926
2020-01-13,15.709609985351562
2020-01-14,15.890377044677734
2020-01-15,15.242989540100098
2020-01-16,15.915599822998047
2020-01-17,15.722232818603516
2020-01-21,15.713817596435547
2020-01-22,15.377513885498047
2020-01-23,15.469995498657227
2020-01-24,15.015987396240234
2020-01-27,15.066431999206543
2020-01-28,14.688085556030273
2020-01-29,14.469491958618164
2020-01-30,14.444108009338379
2020-01-31,13.597939491271973
2020-02-03,13.90256118774414
2020-02-04,13.91102123260498
2020-02-05,13.87717056274414
2020-02-06,13.327163696289062
2020-02-07,13.115623474121094
2020-02-10,13.157930374145508
2020-02-11,13.1240816116333
2020-02-12,12.98023509979248
2020-02-13,13.09023666381836
2020-02-14,12.692538261413574
2020-02-18,12.387916564941406
2020-02-19,12.117140769958496
2020-02-20,12.024063110351562
2020-02-21,12.396378517150879
2020-02-24,12.370993614196777
2020-02-25,12.387916564941406
2020-02-26,12.464070320129395
2020-02-27,12.320223808288574
2020-02-28,11.897138595581055
2020-03-02,12.692538261413574
2020-03-03,11.78713607788086
2020-03-04,12.117140769958496
2020-03-05,11.86329174041748
2020-03-06,11.35558795928955
2020-03-09,10.162491798400879
2020-03-10,10.830964088439941
2020-03-11,9.959412574768066
2020-03-12,9.417863845825195
