Date,WGS
2020-11-04,323.3999938964844
2020-11-05,323.3999938964844
2020-11-06,323.3999938964844
2020-11-09,323.3999938964844
2020-11-10,323.3999938964844
2020-11-11,323.3999938964844
2020-11-12,339.8999938964844
2020-11-13,337.5899963378906
2020-11-16,327.69000244140625
2020-11-17,327.69000244140625
2020-11-18,327.69000244140625
2020-11-19,327.3599853515625
2020-11-20,330.6600036621094
2020-11-23,330.6600036621094
2020-11-24,332.30999755859375
2020-11-25,334.95001220703125
2020-11-27,334.2900085449219
2020-11-30,338.0849914550781
2020-12-01,341.5830078125
2020-12-02,351.9779968261719
2020-12-03,336.6000061035156
2020-12-04,338.25
2020-12-07,346.5
2020-12-08,341.54998779296875
2020-12-09,346.5
2020-12-10,344.1570129394531
2020-12-11,348.4800109863281
2020-12-14,354.0899963378906
2020-12-15,349.79998779296875
2020-12-16,352.44000244140625
2020-12-17,351.7799987792969
2020-12-18,358.04998779296875
2020-12-21,372.8999938964844
2020-12-22,371.9100036621094
2020-12-23,378.510009765625
2020-12-24,382.4700012207031
2020-12-28,375.8699951171875
2020-12-29,366.29998779296875
2020-12-30,365.30999755859375
2020-12-31,364.32000732421875
2021-01-04,354.75
2021-01-05,361.3500061035156
2021-01-06,359.3699951171875
2021-01-07,369.6000061035156
2021-01-08,374.54998779296875
2021-01-11,380.1600036621094
2021-01-12,387.0899963378906
2021-01-13,402.2699890136719
2021-01-14,400.95001220703125
2021-01-15,391.3800048828125
2021-01-19,384.45001220703125
2021-01-20,393.0299987792969
2021-01-21,396.3299865722656
2021-01-22,404.25
2021-01-25,412.1700134277344
2021-01-26,428.3399963378906
2021-01-27,411.17999267578125
2021-01-28,415.1400146484375
2021-01-29,412.8299865722656
2021-02-01,420.0899963378906
2021-02-02,433.6199951171875
2021-02-03,448.1400146484375
2021-02-04,453.75
2021-02-05,455.7300109863281
2021-02-08,470.9100036621094
2021-02-09,512.1599731445312
2021-02-10,729.2999877929688
2021-02-11,737.5499877929688
2021-02-12,851.72998046875
2021-02-16,808.1699829101562
2021-02-17,768.239990234375
2021-02-18,788.7000122070312
2021-02-19,762.2999877929688
2021-02-22,709.1699829101562
2021-02-23,645.47998046875
2021-02-24,663.2999877929688
2021-02-25,635.5800170898438
2021-02-26,660.3300170898438
2021-03-01,692.3400268554688
2021-03-02,651.75
2021-03-03,600.27001953125
2021-03-04,528.3300170898438
2021-03-05,541.530029296875
2021-03-08,498.6300048828125
2021-03-09,531.2999877929688
2021-03-10,552.75
2021-03-11,568.5900268554688
2021-03-12,569.9099731445312
2021-03-15,593.6699829101562
2021-03-16,559.6799926757812
2021-03-17,549.4500122070312
2021-03-18,516.4500122070312
2021-03-19,520.0800170898438
2021-03-22,551.760009765625
2021-03-23,509.5199890136719
2021-03-24,456.7200012207031
2021-03-25,474.5400085449219
2021-03-26,466.2900085449219
2021-03-29,451.1099853515625
2021-03-30,449.7900085449219
2021-03-31,491.3699951171875
2021-04-01,552.75
2021-04-05,515.1300048828125
2021-04-06,515.1300048828125
2021-04-07,502.5899963378906
2021-04-08,509.19000244140625
2021-04-09,495.0
2021-04-12,481.1400146484375
2021-04-13,474.2099914550781
2021-04-14,461.3399963378906
2021-04-15,447.1499938964844
2021-04-16,460.0199890136719
2021-04-19,456.3900146484375
2021-04-20,444.17999267578125
2021-04-21,468.92999267578125
2021-04-22,460.3500061035156
2021-04-23,469.9200134277344
2021-04-26,468.92999267578125
2021-04-27,456.7200012207031
2021-04-28,448.79998779296875
2021-04-29,460.0199890136719
2021-04-30,447.1499938964844
2021-05-03,435.92999267578125
2021-05-04,427.0199890136719
2021-05-05,415.4700012207031
2021-05-06,385.44000244140625
2021-05-07,398.30999755859375
2021-05-10,364.6499938964844
2021-05-11,354.75
2021-05-12,366.6300048828125
2021-05-13,363.989990234375
2021-05-14,367.2900085449219
2021-05-17,359.70001220703125
2021-05-18,380.82000732421875
2021-05-19,378.8399963378906
2021-05-20,390.7200012207031
2021-05-21,389.7300109863281
2021-05-24,395.6700134277344
