Date,CAG
2010-01-04,10.608826637268066
2010-01-05,10.65473747253418
2010-01-06,10.618011474609375
2010-01-07,10.65014362335205
2010-01-08,10.567513465881348
2010-01-11,10.746546745300293
2010-01-12,10.861313819885254
2010-01-13,10.930171966552734
2010-01-14,10.847540855407715
2010-01-15,10.677688598632812
2010-01-19,10.801631927490234
2010-01-20,10.801631927490234
2010-01-21,10.72818660736084
2010-01-22,10.622598648071289
2010-01-25,10.62719440460205
2010-01-26,10.595056533813477
2010-01-27,10.627474784851074
2010-01-28,10.59505558013916
2010-01-29,10.530226707458496
2010-02-01,10.622845649719238
2010-02-02,10.692302703857422
2010-02-03,10.627474784851074
2010-02-04,10.321843147277832
2010-02-05,10.571904182434082
2010-02-08,10.49781322479248
2010-02-09,10.627474784851074
2010-02-10,10.692302703857422
2010-02-11,10.78491497039795
2010-02-12,10.835855484008789
2010-02-16,11.076651573181152
2010-02-17,11.12758731842041
2010-02-18,11.234098434448242
2010-02-19,11.410058975219727
2010-02-22,11.391539573669434
2010-02-23,11.2850341796875
2010-02-24,11.359127044677734
2010-02-25,11.349865913391113
2010-02-26,11.32670783996582
2010-03-01,11.433219909667969
2010-03-02,11.530457496643066
2010-03-03,11.52583122253418
2010-03-04,11.530457496643066
2010-03-05,11.711057662963867
2010-03-08,11.68790340423584
2010-03-09,11.68790340423584
2010-03-10,11.678642272949219
2010-03-11,11.748102188110352
2010-03-12,11.748102188110352
2010-03-15,11.808304786682129
2010-03-16,11.854615211486816
2010-03-17,11.928702354431152
2010-03-18,11.975006103515625
2010-03-19,11.965744018554688
2010-03-22,12.095404624938965
2010-03-23,12.169500350952148
2010-03-24,12.086151123046875
2010-03-25,11.548982620239258
2010-03-26,11.410058975219727
2010-03-29,11.590658187866211
2010-03-30,11.558244705200195
2010-03-31,11.609183311462402
2010-04-01,11.68327522277832
2010-04-05,11.678642272949219
2010-04-06,11.58603286743164
2010-04-07,11.664750099182129
2010-04-08,11.64159870147705
2010-04-09,11.68327522277832
2010-04-12,11.57677173614502
2010-04-13,11.604549407958984
2010-04-14,11.692536354064941
2010-04-15,11.590658187866211
2010-04-16,11.521200180053711
2010-04-19,11.507305145263672
2010-04-20,11.544353485107422
2010-04-21,11.599923133850098
2010-04-22,11.572136878967285
2010-04-23,11.535094261169434
2010-04-26,11.493412971496582
2010-04-27,11.317448616027832
2010-04-28,11.443511962890625
2010-04-29,11.51821231842041
2010-04-30,11.424836158752441
2010-05-03,11.550897598266602
2010-05-04,11.424836158752441
2010-05-05,11.438838958740234
2010-05-06,11.116686820983887
2010-05-07,11.00930404663086
2010-05-10,11.373470306396484
2010-05-11,11.373470306396484
2010-05-12,11.550897598266602
2010-05-13,11.546223640441895
2010-05-14,11.378145217895508
2010-05-17,11.429502487182617
2010-05-18,11.429502487182617
2010-05-19,11.592912673950195
2010-05-20,11.392149925231934
2010-05-21,11.560235977172852
2010-05-24,11.410828590393066
2010-05-25,11.252084732055664
2010-05-26,11.140026092529297
2010-05-27,11.34079647064209
2010-05-28,11.289435386657715
2010-06-01,11.21473217010498
2010-06-02,11.466856002807617
2010-06-03,11.555564880371094
2010-06-04,11.303443908691406
2010-06-07,11.205392837524414
2010-06-08,11.410828590393066
2010-06-09,11.429502487182617
2010-06-10,11.653611183166504
2010-06-11,11.61625862121582
2010-06-14,11.630267143249512
2010-06-15,11.714306831359863
2010-06-16,11.723638534545898
2010-06-17,11.779670715332031
2010-06-18,11.658280372619629
2010-06-21,11.644271850585938
2010-06-22,11.527551651000977
2010-06-23,11.527551651000977
2010-06-24,11.303443908691406
2010-06-25,11.168042182922363
2010-06-28,11.205392837524414
2010-06-29,11.023305892944336
2010-06-30,10.887911796569824
2010-07-01,10.864563941955566
2010-07-02,10.81320571899414
2010-07-06,10.859890937805176
2010-07-07,11.041984558105469
2010-07-08,11.22407341003418
2010-07-09,11.163374900817871
2010-07-12,11.154033660888672
2010-07-13,11.210061073303223
2010-07-14,11.252084732055664
2010-07-15,11.252084732055664
2010-07-16,11.046653747558594
2010-07-19,11.098007202148438
2010-07-20,11.158702850341797
2010-07-21,11.046653747558594
2010-07-22,11.10734748840332
2010-07-23,11.172711372375488
2010-07-26,11.233407974243164
2010-07-27,11.266090393066406
2010-07-28,11.19546890258789
2010-07-29,10.98361587524414
2010-07-30,11.054234504699707
2010-08-02,11.068359375
2010-08-03,10.762341499328613
2010-08-04,10.74821949005127
2010-08-05,10.696430206298828
2010-08-06,10.45632266998291
2010-08-09,10.380997657775879
2010-08-10,10.432785034179688
2010-08-11,10.169140815734863
2010-08-12,10.126768112182617
2010-08-13,10.178557395935059
2010-08-16,10.169140815734863
2010-08-17,10.2680082321167
2010-08-18,10.413954734802246
2010-08-19,10.235051155090332
2010-08-20,10.09852409362793
2010-08-23,10.117351531982422
2010-08-24,10.05614948272705
2010-08-25,10.169140815734863
2010-08-26,10.117351531982422
2010-08-27,10.235051155090332
2010-08-30,10.103229522705078
2010-08-31,10.16443157196045
2010-09-01,10.362165451049805
2010-09-02,10.338627815246582
2010-09-03,10.35274887084961
2010-09-07,10.305672645568848
2010-09-08,10.319795608520508
2010-09-09,10.277421951293945
2010-09-10,10.333918571472168
2010-09-13,10.28683853149414
2010-09-14,10.338627815246582
2010-09-15,10.503402709960938
2010-09-16,10.385705947875977
2010-09-17,10.399828910827637
2010-09-20,10.53165054321289
2010-09-21,10.155014991760254
2010-09-22,10.084397315979004
2010-09-23,10.150307655334473
2010-09-24,10.253883361816406
2010-09-27,10.253883361816406
2010-09-28,10.348043441772461
