Date,BKH
2010-01-04,15.06766128540039
2010-01-05,14.647403717041016
2010-01-06,14.703446388244629
2010-01-07,14.725857734680176
2010-01-08,14.7987060546875
2010-01-11,14.944390296936035
2010-01-12,14.860337257385254
2010-01-13,15.03964614868164
2010-01-14,14.983619689941406
2010-01-15,15.062067031860352
2010-01-19,15.190948486328125
2010-01-20,15.06766128540039
2010-01-21,14.877150535583496
2010-01-22,14.66982364654541
2010-01-25,14.692239761352539
2010-01-26,14.720257759094238
2010-01-27,14.731459617614746
2010-01-28,14.837925910949707
2010-01-29,14.557750701904297
2010-02-01,14.630595207214355
2010-02-02,14.983619689941406
2010-02-03,14.843536376953125
2010-02-04,14.58016586303711
2010-02-05,14.653014183044434
2010-02-08,14.664217948913574
2010-02-09,14.776288986206055
2010-02-10,14.69107723236084
2010-02-11,14.838781356811523
2010-02-12,14.781974792480469
2010-02-16,15.185321807861328
2010-02-17,15.287575721740723
2010-02-18,15.435283660888672
2010-02-19,15.84432315826416
2010-02-22,15.986331939697266
2010-02-23,15.92385196685791
2010-02-24,15.935209274291992
2010-02-25,15.918172836303711
2010-02-26,15.832955360412598
2010-03-01,16.00906753540039
2010-03-02,16.17382049560547
2010-03-03,16.202224731445312
2010-03-04,16.25902557373047
2010-03-05,16.213579177856445
2010-03-08,16.287431716918945
2010-03-09,16.327199935913086
2010-03-10,16.423778533935547
2010-03-11,16.65669822692871
2010-03-12,16.526039123535156
2010-03-15,16.401058197021484
2010-03-16,16.594209671020508
2010-03-17,16.76464080810547
2010-03-18,16.753278732299805
2010-03-19,16.719194412231445
2010-03-22,16.832807540893555
2010-03-23,17.04300880432129
2010-03-24,17.116859436035156
2010-03-25,16.98619842529297
2010-03-26,17.06572723388672
2010-03-29,17.270238876342773
2010-03-30,17.434995651245117
2010-03-31,17.241840362548828
2010-04-01,17.525888442993164
2010-04-05,17.71904182434082
2010-04-06,18.093990325927734
2010-04-07,18.003093719482422
2010-04-08,17.980371475219727
2010-04-09,18.10536003112793
2010-04-12,18.037185668945312
2010-04-13,17.97469139099121
2010-04-14,18.025821685791016
2010-04-15,18.04286766052246
2010-04-16,18.08831787109375
2010-04-19,17.781532287597656
2010-04-20,18.065584182739258
2010-04-21,18.04286766052246
2010-04-22,18.162166595458984
2010-04-23,18.548473358154297
2010-04-26,18.6109619140625
2010-04-27,18.525753021240234
2010-04-28,18.52007293701172
2010-04-29,18.804113388061523
2010-04-30,18.6848201751709
2010-05-03,19.377906799316406
2010-05-04,18.8950138092041
2010-05-05,18.60528564453125
2010-05-06,17.75313377380371
2010-05-07,16.690786361694336
2010-05-10,17.440683364868164
2010-05-11,17.599748611450195
2010-05-12,17.809940338134766
2010-05-13,17.90084457397461
2010-05-14,17.67672348022461
2010-05-17,17.785907745361328
2010-05-18,17.469833374023438
2010-05-19,17.389387130737305
2010-05-20,16.65955924987793
2010-05-21,16.665306091308594
