Date,CDP
2010-01-04,18.30937957763672
2010-01-05,18.583032608032227
2010-01-06,18.699588775634766
2010-01-07,18.613441467285156
2010-01-08,18.52729034423828
2010-01-11,18.628639221191406
2010-01-12,18.38539695739746
2010-01-13,18.927631378173828
2010-01-14,19.059398651123047
2010-01-15,19.170881271362305
2010-01-19,19.718181610107422
2010-01-20,19.682708740234375
2010-01-21,19.35838508605957
2010-01-22,18.952974319458008
2010-01-25,19.064449310302734
2010-01-26,18.6691837310791
2010-01-27,18.598234176635742
2010-01-28,18.380329132080078
2010-01-29,18.086402893066406
2010-02-01,18.268836975097656
2010-02-02,18.278972625732422
2010-02-03,18.132015228271484
2010-02-04,17.407344818115234
2010-02-05,17.64045524597168
2010-02-08,16.966463088989258
2010-02-09,16.804292678833008
2010-02-10,16.941116333007812
2010-02-11,17.46815299987793
2010-02-12,17.848230361938477
2010-02-16,18.294172286987305
2010-02-17,18.44620704650879
2010-02-18,18.613441467285156
2010-02-19,18.75026512145996
2010-02-22,18.871891021728516
2010-02-23,18.66411781311035
2010-02-24,18.785743713378906
2010-02-25,18.765474319458008
2010-02-26,18.66411781311035
2010-03-01,18.91749382019043
2010-03-02,18.983383178710938
2010-03-03,18.968177795410156
2010-03-04,19.175941467285156
2010-03-05,19.58135986328125
2010-03-08,19.67763900756836
2010-03-09,19.88034439086914
2010-03-10,19.925954818725586
2010-03-11,20.118528366088867
2010-03-12,20.240154266357422
2010-03-15,20.088119506835938
2010-03-16,20.518875122070312
2010-03-17,20.797597885131836
2010-03-18,20.807729721069336
2010-03-19,20.711444854736328
2010-03-22,20.980026245117188
2010-03-23,20.827987670898438
2010-03-24,21.268884658813477
2010-03-25,21.050975799560547
2010-03-26,21.005367279052734
2010-03-29,20.99155616760254
2010-03-30,21.0375919342041
2010-03-31,20.53110122680664
2010-04-01,20.81760025024414
2010-04-05,21.226896286010742
2010-04-06,21.426427841186523
2010-04-07,20.986431121826172
2010-04-08,21.155263900756836
2010-04-09,21.27294158935547
2010-04-12,21.196197509765625
2010-04-13,21.59526252746582
2010-04-14,21.74361801147461
2010-04-15,21.25247573852539
2010-04-16,20.843183517456055
2010-04-19,20.827842712402344
2010-04-20,21.370145797729492
2010-04-21,21.74361801147461
2010-04-22,21.861305236816406
2010-04-23,22.091522216796875
2010-04-26,22.096630096435547
2010-04-27,21.313871383666992
2010-04-28,21.354795455932617
2010-04-29,21.257587432861328
2010-04-30,20.694814682006836
2010-05-03,21.06317901611328
2010-05-04,20.469707489013672
2010-05-05,20.336687088012695
2010-05-06,19.927391052246094
2010-05-07,19.70228385925293
2010-05-10,20.9250431060791
2010-05-11,21.129684448242188
2010-05-12,21.359920501708984
2010-05-13,21.11945915222168
2010-05-14,20.37250328063965
