Date,STGW
2010-01-04,4.258460998535156
2010-01-05,4.24829626083374
2010-01-06,4.278787612915039
2010-01-07,4.294032096862793
2010-01-08,4.395666599273682
2010-01-11,4.421075820922852
2010-01-12,4.395666599273682
2010-01-13,4.395666599273682
2010-01-14,4.349931240081787
2010-01-15,4.426156520843506
2010-01-19,4.461728572845459
2010-01-20,4.349931240081787
2010-01-21,4.344849109649658
2010-01-22,4.24829626083374
2010-01-25,4.395666599273682
2010-01-26,4.37025785446167
2010-01-27,4.3550124168396
2010-01-28,4.400747299194336
2010-01-29,4.212725639343262
2010-02-01,4.314359188079834
2010-02-02,4.390585899353027
2010-02-03,4.421075820922852
2010-02-04,4.3397674560546875
2010-02-05,4.38550329208374
2010-02-08,4.344849109649658
2010-02-09,4.461728572845459
2010-02-10,4.507991313934326
2010-02-11,4.410325527191162
2010-02-12,4.497708797454834
2010-02-16,4.523410797119141
2010-02-17,4.487430095672607
2010-02-18,4.549112796783447
2010-02-19,4.6210761070251465
2010-02-22,4.626217365264893
2010-02-23,4.651917457580566
2010-02-24,4.687899112701416
2010-02-25,4.754722595214844
2010-02-26,4.806124687194824
2010-03-01,4.878087043762207
2010-03-02,5.063137054443359
2010-03-03,5.124820232391357
2010-03-04,5.201923847198486
2010-03-05,5.217344760894775
2010-03-08,5.350990295410156
2010-03-09,5.561740875244141
2010-03-10,5.602862358093262
2010-03-11,5.695387363433838
2010-03-12,5.679965019226074
2010-03-15,5.643984317779541
2010-03-16,5.649123668670654
2010-03-17,5.623422622680664
2010-03-18,5.479496479034424
2010-03-19,5.500057697296143
2010-03-22,5.623422622680664
2010-03-23,5.618283271789551
2010-03-24,5.608001708984375
2010-03-25,5.602862358093262
2010-03-26,5.525759220123291
2010-03-29,5.433234691619873
2010-03-30,5.2738871574401855
2010-03-31,5.3201494216918945
2010-04-01,5.500057697296143
2010-04-05,5.489776611328125
2010-04-06,5.479496479034424
2010-04-07,5.479496479034424
2010-04-08,5.407533168792725
2010-04-09,5.602862358093262
2010-04-12,5.726228713989258
2010-04-13,5.705667972564697
2010-04-14,5.808472156524658
2010-04-15,5.865015029907227
2010-04-16,5.870153903961182
2010-04-19,5.885575771331787
2010-04-20,6.096325397491455
2010-04-21,6.204270839691162
2010-04-22,6.312215805053711
2010-04-23,6.45100212097168
2010-04-26,6.558946132659912
2010-04-27,6.538386344909668
2010-04-28,6.584648132324219
2010-04-29,6.620628833770752
2010-04-30,6.646330833435059
2010-05-03,6.677173614501953
2010-05-04,6.558946132659912
2010-05-05,6.600069999694824
2010-05-06,6.630909442901611
2010-05-07,6.044922351837158
2010-05-10,6.183709621429443
2010-05-11,6.168288230895996
2010-05-12,6.32249641418457
2010-05-13,6.1785688400268555
2010-05-14,6.122025966644287
2010-05-17,6.116885662078857
2010-05-18,5.972959041595459
2010-05-19,5.911277770996094
2010-05-20,5.587442398071289
2010-05-21,5.705667972564697
2010-05-24,5.597722053527832
2010-05-25,5.602862358093262
2010-05-26,5.890715599060059
2010-05-27,6.1785688400268555
2010-05-28,6.2608113288879395
2010-06-01,6.291654109954834
2010-06-02,6.291654109954834
2010-06-03,6.219690799713135
2010-06-04,6.05006217956543
2010-06-07,5.911277770996094
2010-06-08,6.096325397491455
