Date,GCI
2014-02-04,6.152287006378174
2014-02-05,7.20110559463501
2014-02-06,8.13859748840332
2014-02-07,8.203049659729004
2014-02-10,8.302659034729004
2014-02-11,8.085865020751953
2014-02-12,7.997973918914795
2014-02-13,7.423760890960693
2014-02-14,7.499932289123535
2014-02-18,7.218683242797852
2014-02-19,7.107357978820801
2014-02-20,7.14837121963501
2014-02-21,7.060482978820801
2014-02-24,6.990170001983643
2014-02-25,7.376885414123535
2014-02-26,7.675710678100586
2014-02-27,7.792898178100586
2014-02-28,8.437421798706055
2014-03-03,8.619061470031738
2014-03-04,8.759686470031738
2014-03-05,8.636639595031738
2014-03-06,8.525311470031738
2014-03-07,8.537032127380371
2014-03-10,8.777264595031738
2014-03-11,8.220627784729004
2014-03-12,8.23234748840332
2014-03-13,8.308517456054688
2014-03-14,8.02140998840332
2014-03-17,8.320239067077637
2014-03-18,8.671795845031738
2014-03-19,8.695233345031738
2014-03-20,8.759686470031738
2014-03-21,8.835856437683105
2014-03-24,8.794840812683105
2014-03-25,8.753827095031738
2014-03-26,8.706952095031738
2014-03-27,8.730389595031738
2014-03-28,8.783121109008789
2014-03-31,8.800701141357422
2014-04-01,9.199136734008789
2014-04-02,9.169837951660156
2014-04-03,9.11710262298584
2014-04-04,8.958901405334473
2014-04-07,8.847575187683105
2014-04-08,8.912027359008789
2014-04-09,8.953042030334473
2014-04-10,8.953042030334473
2014-04-11,8.747966766357422
2014-04-14,8.648360252380371
2014-04-15,8.747966766357422
2014-04-16,8.788981437683105
2014-04-17,8.683515548706055
2014-04-21,8.730389595031738
2014-04-22,8.730389595031738
2014-04-23,8.607343673706055
2014-04-24,8.630780220031738
2014-04-25,8.449140548706055
2014-04-28,8.396408081054688
2014-04-29,8.19133186340332
2014-04-30,8.361251831054688
2014-05-01,8.156172752380371
2014-05-02,8.18547248840332
2014-05-05,8.22648811340332
2014-05-06,8.179612159729004
2014-05-07,7.997973918914795
2014-05-08,7.980396270751953
2014-05-09,7.91008186340332
2014-05-12,8.06828498840332
2014-05-13,8.173754692077637
2014-05-14,8.144455909729004
2014-05-15,8.03898811340332
2014-05-16,7.992115020751953
2014-05-19,7.915943622589111
2014-05-20,7.91008186340332
2014-05-21,7.962818622589111
2014-05-22,7.968676567077637
2014-05-23,7.968676567077637
2014-05-27,8.062426567077637
2014-05-28,8.18547248840332
2014-05-29,8.18547248840332
2014-05-30,8.18547248840332
2014-06-02,8.18547248840332
2014-06-03,8.23234748840332
2014-06-04,8.214770317077637
2014-06-05,8.478437423706055
2014-06-06,8.554609298706055
2014-06-09,8.572187423706055
2014-06-10,8.548749923706055
2014-06-11,8.496015548706055
2014-06-12,8.443283081054688
2014-06-13,8.343672752380371
2014-06-16,8.26164436340332
2014-06-17,8.220627784729004
2014-06-18,8.179612159729004
2014-06-19,8.091723442077637
2014-06-20,8.080002784729004
2014-06-23,7.8573503494262695
2014-06-24,7.710867881774902
2014-06-25,7.933521270751953
2014-06-26,7.986256122589111
2014-06-27,8.00383472442627
2014-06-30,8.267501831054688
2014-07-01,8.290939331054688
2014-07-02,8.290939331054688
2014-07-03,8.331954002380371
2014-07-07,8.349534034729004
2014-07-08,8.372969627380371
2014-07-09,8.378829002380371
2014-07-10,8.355392456054688
2014-07-11,8.490158081054688
2014-07-14,8.777264595031738
2014-07-15,8.560469627380371
2014-07-16,8.507735252380371
2014-07-17,8.490158081054688
2014-07-18,8.613203048706055
2014-07-21,8.607343673706055
2014-07-22,8.472577095031738
2014-07-23,8.525311470031738
2014-07-24,8.437421798706055
2014-07-25,8.384687423706055
2014-07-28,8.337813377380371
2014-07-29,8.408127784729004
2014-07-30,8.296798706054688
2014-07-31,8.824138641357422
2014-08-01,8.642499923706055
2014-08-04,8.976480484008789
2014-08-05,9.064369201660156
2014-08-06,9.029213905334473
2014-08-07,8.777264595031738
2014-08-08,8.7712984085083
2014-08-11,9.111406326293945
2014-08-12,8.980137825012207
2014-08-13,8.950303077697754
2014-08-14,8.9682035446167
2014-08-15,9.165109634399414
2014-08-18,9.815497398376465
2014-08-19,10.006439208984375
2014-08-20,9.755829811096191
2014-08-21,9.654393196105957
2014-08-22,9.83936595916748
2014-08-25,10.191412925720215
2014-08-26,10.215280532836914
2014-08-27,10.412185668945312
2014-08-28,10.38235092163086
2014-08-29,10.42411994934082
2014-09-02,10.585226058959961
2014-09-03,10.57328987121582
2014-09-04,10.442017555236816
2014-09-05,10.549424171447754
2014-09-08,10.483787536621094
2014-09-09,10.304783821105957
2014-09-10,10.346549987792969
2014-09-11,10.364452362060547
2014-09-12,10.322680473327637
2014-09-15,10.125775337219238
2014-09-16,10.125775337219238
2014-09-17,10.000473022460938
2014-09-18,9.636492729187012
2014-09-19,9.785663604736328
2014-09-22,9.869200706481934
2014-09-23,9.767765045166016
2014-09-24,9.952737808227539
2014-09-25,10.048206329345703
2014-09-26,10.066108703613281
2014-09-29,10.286882400512695
2014-09-30,9.922901153564453
2014-10-01,9.690194129943848
2014-10-02,9.696161270141602
2014-10-03,10.024338722229004
2014-10-06,9.905001640319824
2014-10-07,10.066108703613281
2014-10-08,10.227210998535156
2014-10-09,9.928869247436523
2014-10-10,9.815497398376465
2014-10-13,10.089974403381348
2014-10-14,10.430087089538574
2014-10-15,10.304783821105957
2014-10-16,9.982569694519043
2014-10-17,9.845332145690918
2014-10-20,9.731963157653809
2014-10-21,9.720029830932617
2014-10-22,9.612626075744629
2014-10-23,10.078039169311523
2014-10-24,10.155611038208008
2014-10-27,10.042240142822266
2014-10-28,10.394285202026367
