Date,DAKT
2010-01-04,6.007667541503906
2010-01-05,5.880655765533447
2010-01-06,5.8425517082214355
2010-01-07,5.880655765533447
2010-01-08,6.071174144744873
2010-01-11,5.937811374664307
2010-01-12,5.556775093078613
2010-01-13,5.620280742645264
2010-01-14,5.620280742645264
2010-01-15,5.353556156158447
2010-01-19,5.347204685211182
2010-01-20,5.258296012878418
2010-01-21,5.2900495529174805
2010-01-22,5.188439846038818
2010-01-25,5.15033483505249
2010-01-26,5.124934196472168
2010-01-27,5.182089328765869
2010-01-28,5.067777633666992
2010-01-29,4.959819316864014
2010-02-01,4.9090118408203125
2010-02-02,4.902662754058838
2010-02-03,4.877260208129883
2010-02-04,4.71214485168457
2010-02-05,4.686742305755615
2010-02-08,4.597833633422852
2010-02-09,4.680391311645508
2010-02-10,4.616886138916016
2010-02-11,4.705793857574463
2010-02-12,4.705793857574463
2010-02-16,4.769300937652588
2010-02-17,4.788351535797119
2010-02-18,4.6486382484436035
2010-02-19,4.7248454093933105
2010-02-22,4.7248454093933105
2010-02-23,4.623236656188965
2010-02-24,4.972518444061279
2010-02-25,4.947116851806641
2010-02-26,4.807404041290283
2010-03-01,4.8582072257995605
2010-03-02,4.902662754058838
2010-03-03,4.9344162940979
2010-03-04,4.953468322753906
2010-03-05,5.04237699508667
2010-03-08,5.04237699508667
2010-03-09,5.124934196472168
2010-03-10,5.112232685089111
2010-03-11,5.086830139160156
2010-03-12,5.226541996002197
2010-03-15,5.245595932006836
2010-03-16,5.258296012878418
2010-03-17,5.131284713745117
2010-03-18,5.055077075958252
2010-03-19,5.04237699508667
2010-03-22,5.10588264465332
2010-03-23,5.04237699508667
2010-03-24,4.928066253662109
2010-03-25,4.864560604095459
2010-03-26,4.959819316864014
2010-03-29,4.902662754058838
2010-03-30,4.832806587219238
2010-03-31,4.839156150817871
2010-04-01,4.826454162597656
2010-04-05,4.9344162940979
2010-04-06,4.896312236785889
2010-04-07,4.921715259552002
2010-04-08,4.9153642654418945
2010-04-09,4.896312236785889
2010-04-12,4.9153642654418945
2010-04-13,4.889961242675781
2010-04-14,5.099531650543213
2010-04-15,5.099531650543213
2010-04-16,5.188439846038818
2010-04-19,5.213841915130615
2010-04-20,5.455163955688477
2010-04-21,5.505969047546387
2010-04-22,5.728241920471191
2010-04-23,5.861603736877441
2010-04-26,5.728241920471191
2010-04-27,5.5504231452941895
2010-04-28,5.461514949798584
2010-04-29,5.645683765411377
2010-04-30,5.31545352935791
2010-05-03,5.436114311218262
2010-05-04,5.067777633666992
2010-05-05,5.086830139160156
2010-05-06,5.163037300109863
2010-05-07,5.2646484375
2010-05-10,5.512320518493652
2010-05-11,5.461514949798584
2010-05-12,5.632981300354004
2010-05-13,5.575826644897461
2010-05-14,5.4297614097595215
2010-05-17,5.544073104858398
