Date,UFPT
2010-01-04,6.5
2010-01-05,6.539999961853027
2010-01-06,6.599999904632568
2010-01-07,6.949999809265137
2010-01-08,6.960000038146973
2010-01-11,7.349999904632568
2010-01-12,6.929999828338623
2010-01-13,7.050000190734863
2010-01-14,7.019999980926514
2010-01-15,7.0
2010-01-19,7.440000057220459
2010-01-20,7.340000152587891
2010-01-21,7.070000171661377
2010-01-22,6.800000190734863
2010-01-25,7.019999980926514
2010-01-26,7.110000133514404
2010-01-27,7.0
2010-01-28,7.159999847412109
2010-01-29,7.0
2010-02-01,7.019999980926514
2010-02-02,7.199999809265137
2010-02-03,7.150000095367432
2010-02-04,6.900000095367432
2010-02-05,6.940000057220459
2010-02-08,7.110000133514404
2010-02-09,7.28000020980835
2010-02-10,7.199999809265137
2010-02-11,7.380000114440918
2010-02-12,7.650000095367432
2010-02-16,7.75
2010-02-17,7.760000228881836
2010-02-18,7.71999979019165
2010-02-19,7.699999809265137
2010-02-22,7.730000019073486
2010-02-23,7.630000114440918
2010-02-24,7.78000020980835
2010-02-25,7.75
2010-02-26,7.78000020980835
2010-03-01,7.679999828338623
2010-03-02,7.880000114440918
2010-03-03,10.420000076293945
2010-03-04,10.199999809265137
2010-03-05,10.34000015258789
2010-03-08,11.0
2010-03-09,10.649999618530273
2010-03-10,10.859999656677246
2010-03-11,10.510000228881836
2010-03-12,10.489999771118164
2010-03-15,11.239999771118164
2010-03-16,10.739999771118164
2010-03-17,10.460000038146973
2010-03-18,10.920000076293945
2010-03-19,10.739999771118164
2010-03-22,10.5
2010-03-23,10.300000190734863
2010-03-24,10.0600004196167
2010-03-25,9.680000305175781
2010-03-26,10.170000076293945
2010-03-29,10.300000190734863
2010-03-30,10.220000267028809
2010-03-31,10.34000015258789
2010-04-01,10.239999771118164
2010-04-05,10.170000076293945
2010-04-06,10.550000190734863
2010-04-07,10.210000038146973
2010-04-08,10.289999961853027
2010-04-09,10.270000457763672
2010-04-12,10.199999809265137
2010-04-13,10.270000457763672
2010-04-14,10.369999885559082
2010-04-15,10.199999809265137
2010-04-16,10.140000343322754
2010-04-19,10.079999923706055
2010-04-20,10.279999732971191
2010-04-21,10.380000114440918
2010-04-22,10.65999984741211
2010-04-23,10.819999694824219
2010-04-26,11.149999618530273
2010-04-27,10.5
2010-04-28,10.399999618530273
2010-04-29,10.680000305175781
2010-04-30,10.5
2010-05-03,11.09000015258789
2010-05-04,10.529999732971191
2010-05-05,8.859999656677246
2010-05-06,8.8100004196167
2010-05-07,8.800000190734863
2010-05-10,9.069999694824219
2010-05-11,9.050000190734863
2010-05-12,9.199999809265137
2010-05-13,9.3100004196167
2010-05-14,9.430000305175781
2010-05-17,9.359999656677246
2010-05-18,9.479999542236328
2010-05-19,9.319999694824219
2010-05-20,8.829999923706055
2010-05-21,8.890000343322754
2010-05-24,8.819999694824219
2010-05-25,8.609999656677246
2010-05-26,8.569999694824219
2010-05-27,8.850000381469727
2010-05-28,8.829999923706055
2010-06-01,9.010000228881836
2010-06-02,9.050000190734863
2010-06-03,9.050000190734863
2010-06-04,9.020000457763672
2010-06-07,8.989999771118164
2010-06-08,8.869999885559082
2010-06-09,9.09000015258789
2010-06-10,9.050000190734863
2010-06-11,9.25
2010-06-14,9.729999542236328
2010-06-15,9.84000015258789
2010-06-16,9.8100004196167
2010-06-17,9.970000267028809
2010-06-18,10.0
2010-06-21,10.020000457763672
2010-06-22,9.800000190734863
2010-06-23,9.75
2010-06-24,9.359999656677246
2010-06-25,9.630000114440918
2010-06-28,9.5
2010-06-29,9.199999809265137
2010-06-30,9.180000305175781
2010-07-01,9.25
2010-07-02,9.380000114440918
2010-07-06,9.050000190734863
2010-07-07,9.109999656677246
2010-07-08,9.15999984741211
2010-07-09,9.40999984741211
2010-07-12,9.380000114440918
2010-07-13,9.59000015258789
2010-07-14,9.569999694824219
2010-07-15,9.539999961853027
2010-07-16,9.09000015258789
2010-07-19,8.979999542236328
2010-07-20,9.100000381469727
2010-07-21,9.210000038146973
2010-07-22,9.5
2010-07-23,9.40999984741211
2010-07-26,9.079999923706055
2010-07-27,9.140000343322754
2010-07-28,9.25
2010-07-29,9.25
2010-07-30,9.279999732971191
2010-08-02,9.649999618530273
2010-08-03,10.239999771118164
2010-08-04,10.15999984741211
2010-08-05,10.0600004196167
2010-08-06,9.899999618530273
2010-08-09,9.880000114440918
2010-08-10,9.880000114440918
2010-08-11,9.40999984741211
2010-08-12,9.390000343322754
2010-08-13,9.630000114440918
2010-08-16,9.8100004196167
2010-08-17,9.770000457763672
2010-08-18,9.5
2010-08-19,9.479999542236328
2010-08-20,9.5600004196167
2010-08-23,9.609999656677246
2010-08-24,9.75
2010-08-25,9.770000457763672
2010-08-26,9.890000343322754
2010-08-27,9.90999984741211
2010-08-30,9.640000343322754
2010-08-31,9.550000190734863
2010-09-01,9.760000228881836
2010-09-02,9.90999984741211
2010-09-03,10.25
2010-09-07,10.329999923706055
2010-09-08,10.34000015258789
2010-09-09,10.4399995803833
2010-09-10,10.390000343322754
2010-09-13,10.430000305175781
2010-09-14,10.489999771118164
2010-09-15,10.930000305175781
2010-09-16,11.100000381469727
2010-09-17,11.229999542236328
2010-09-20,11.239999771118164
2010-09-21,11.720000267028809
2010-09-22,11.529999732971191
2010-09-23,11.300000190734863
2010-09-24,11.210000038146973
2010-09-27,11.0
2010-09-28,11.390000343322754
2010-09-29,11.529999732971191
2010-09-30,11.6899995803833
2010-10-01,12.489999771118164
2010-10-04,12.579999923706055
2010-10-05,12.630000114440918
2010-10-06,12.119999885559082
