Date,NOVT
2010-01-04,2.609999895095825
2010-01-05,2.819999933242798
2010-01-06,2.940000057220459
2010-01-07,2.9100000858306885
2010-01-08,2.9100000858306885
2010-01-11,2.7300000190734863
2010-01-12,2.759999990463257
2010-01-13,2.700000047683716
2010-01-14,2.700000047683716
2010-01-15,2.700000047683716
2010-01-19,2.490000009536743
2010-01-20,2.490000009536743
2010-01-21,2.430000066757202
2010-01-22,2.369999885559082
2010-01-25,2.4000000953674316
2010-01-26,2.549999952316284
2010-01-27,2.549999952316284
2010-01-28,2.5199999809265137
2010-01-29,2.490000009536743
2010-02-01,2.490000009536743
2010-02-02,2.549999952316284
2010-02-03,2.5199999809265137
2010-02-04,2.5199999809265137
2010-02-05,2.5199999809265137
2010-02-08,2.5199999809265137
2010-02-09,2.490000009536743
2010-02-10,2.549999952316284
2010-02-11,2.549999952316284
2010-02-12,2.4600000381469727
2010-02-16,2.4600000381469727
2010-02-17,2.369999885559082
2010-02-18,2.4000000953674316
2010-02-19,2.4000000953674316
2010-02-22,2.640000104904175
2010-02-23,2.549999952316284
2010-02-24,2.609999895095825
2010-02-25,2.700000047683716
2010-02-26,2.940000057220459
2010-03-01,3.359999895095825
2010-03-02,3.299999952316284
2010-03-03,3.3299999237060547
2010-03-04,3.299999952316284
2010-03-05,3.2699999809265137
2010-03-08,4.409999847412109
2010-03-09,4.349999904632568
2010-03-10,4.199999809265137
2010-03-11,4.199999809265137
2010-03-12,5.039999961853027
2010-03-15,5.96999979019165
2010-03-16,5.789999961853027
2010-03-17,5.699999809265137
2010-03-18,5.309999942779541
2010-03-19,5.909999847412109
2010-03-22,6.150000095367432
2010-03-23,6.059999942779541
2010-03-24,6.0
2010-03-25,5.849999904632568
2010-03-26,6.059999942779541
2010-03-29,6.179999828338623
2010-03-30,6.239999771118164
2010-03-31,5.940000057220459
2010-04-01,6.150000095367432
2010-04-05,6.269999980926514
2010-04-06,6.300000190734863
2010-04-07,6.480000019073486
2010-04-08,6.420000076293945
2010-04-09,6.360000133514404
2010-04-12,6.360000133514404
2010-04-13,6.269999980926514
2010-04-14,6.269999980926514
2010-04-15,6.179999828338623
2010-04-16,6.360000133514404
2010-04-19,6.599999904632568
2010-04-20,6.840000152587891
2010-04-21,6.840000152587891
2010-04-22,6.929999828338623
2010-04-23,6.960000038146973
2010-04-26,7.409999847412109
2010-04-27,7.199999809265137
2010-04-28,8.039999961853027
2010-04-29,8.520000457763672
2010-04-30,8.25
2010-05-03,8.550000190734863
2010-05-04,8.25
2010-05-05,8.489999771118164
2010-05-06,8.15999984741211
2010-05-07,8.100000381469727
2010-05-10,8.069999694824219
2010-05-11,7.889999866485596
2010-05-12,8.399999618530273
2010-05-13,9.0
2010-05-14,9.0
2010-05-17,8.640000343322754
2010-05-18,8.399999618530273
2010-05-19,8.220000267028809
2010-05-20,7.920000076293945
2010-05-21,7.829999923706055
2010-05-24,7.619999885559082
2010-05-25,7.5
2010-05-26,8.100000381469727
2010-05-27,8.520000457763672
2010-05-28,8.369999885559082
2010-06-01,8.100000381469727
2010-06-02,7.949999809265137
2010-06-03,8.130000114440918
2010-06-04,8.100000381469727
2010-06-07,8.010000228881836
2010-06-08,8.069999694824219
2010-06-09,8.1899995803833
2010-06-10,8.25
2010-06-11,8.34000015258789
2010-06-14,8.100000381469727
2010-06-15,8.550000190734863
2010-06-16,8.489999771118164
2010-06-17,8.399999618530273
2010-06-18,8.100000381469727
2010-06-21,8.069999694824219
2010-06-22,7.949999809265137
2010-06-23,7.440000057220459
2010-06-24,6.75
2010-06-25,7.110000133514404
2010-06-28,7.110000133514404
2010-06-29,7.079999923706055
2010-06-30,7.260000228881836
2010-07-01,7.349999904632568
2010-07-02,6.809999942779541
2010-07-06,6.900000095367432
2010-07-07,6.75
2010-07-08,6.960000038146973
2010-07-09,6.300000190734863
2010-07-12,6.75
2010-07-13,6.78000020980835
