Date,STT
2010-01-04,30.883501052856445
2010-01-05,30.946025848388672
2010-01-06,30.431982040405273
2010-01-07,30.980749130249023
2010-01-08,31.61286163330078
2010-01-11,30.814029693603516
2010-01-12,30.702896118164062
2010-01-13,30.98770523071289
2010-01-14,30.4180965423584
2010-01-15,29.64008903503418
2010-01-19,30.008251190185547
2010-01-20,32.147735595703125
2010-01-21,31.5850830078125
2010-01-22,30.119403839111328
2010-01-25,30.52227020263672
2010-01-26,29.92490005493164
2010-01-27,30.918243408203125
2010-01-28,30.445890426635742
2010-01-29,29.785980224609375
2010-02-01,30.675106048583984
2010-02-02,30.959911346435547
2010-02-03,30.84182357788086
2010-02-04,29.91795539855957
2010-02-05,30.11246109008789
2010-02-08,29.869335174560547
2010-02-09,30.716785430908203
2010-02-10,31.0085391998291
2010-02-11,31.293338775634766
2010-02-12,30.994632720947266
2010-02-16,31.5850830078125
2010-02-17,31.147451400756836
2010-02-18,31.418359756469727
2010-02-19,32.39780807495117
2010-02-22,32.495052337646484
2010-02-23,31.85599136352539
2010-02-24,31.52256965637207
2010-02-25,31.25165367126465
2010-02-26,31.196081161499023
2010-03-01,31.23774528503418
2010-03-02,31.27944564819336
2010-03-03,31.20302391052246
2010-03-04,31.328054428100586
2010-03-05,31.703168869018555
2010-03-08,31.598981857299805
2010-03-09,31.800416946411133
2010-03-10,31.47394561767578
2010-03-11,31.27944564819336
2010-03-12,31.01547622680664
2010-03-15,30.932117462158203
2010-03-16,31.321121215820312
2010-03-17,32.14078903198242
2010-03-18,32.11994552612305
2010-03-19,31.918506622314453
2010-03-22,31.73790168762207
2010-03-23,32.06438064575195
2010-03-24,31.515609741210938
2010-03-25,31.994915008544922
2010-03-26,32.06438064575195
2010-03-29,32.14078903198242
2010-03-30,31.80729866027832
2010-03-31,31.362627029418945
2010-04-01,31.939308166503906
2010-04-05,32.20331573486328
2010-04-06,32.383968353271484
2010-04-07,32.2450065612793
2010-04-08,32.22416687011719
2010-04-09,32.62712478637695
2010-04-12,33.39833068847656
2010-04-13,33.24549102783203
2010-04-14,33.24549102783203
2010-04-15,33.31497573852539
2010-04-16,32.30752944946289
2010-04-19,32.8286247253418
2010-04-20,31.459903717041016
2010-04-21,30.341283798217773
2010-04-22,30.841535568237305
2010-04-23,30.904062271118164
2010-04-26,30.396875381469727
2010-04-27,29.722929000854492
2010-04-28,30.250967025756836
2010-04-29,30.79290771484375
2010-04-30,30.22317886352539
2010-05-03,30.424673080444336
2010-05-04,29.60480499267578
2010-05-05,30.160646438598633
2010-05-06,29.264368057250977
2010-05-07,28.72243309020996
2010-05-10,30.070344924926758
2010-05-11,29.743770599365234
2010-05-12,29.73683738708496
2010-05-13,29.118467330932617
2010-05-14,28.923927307128906
2010-05-17,28.861404418945312
2010-05-18,28.194406509399414
2010-05-19,28.208303451538086
2010-05-20,27.103588104248047
2010-05-21,27.548261642456055
2010-05-24,26.811779022216797
2010-05-25,27.013256072998047
2010-05-26,26.603351593017578
2010-05-27,27.19391632080078
2010-05-28,26.519975662231445
2010-06-01,25.720972061157227
2010-06-02,26.66588020324707
2010-06-03,27.034109115600586
2010-06-04,25.345781326293945
2010-06-07,25.20682716369629
2010-06-08,25.609798431396484
2010-06-09,25.35968589782715
2010-06-10,26.089195251464844
2010-06-11,26.17952537536621
2010-06-14,25.7279109954834
2010-06-15,26.742305755615234
2010-06-16,26.506074905395508
2010-06-17,26.103099822998047
2010-06-18,25.846027374267578
2010-06-21,25.82518196105957
2010-06-22,25.297151565551758
2010-06-23,24.88027000427246
2010-06-24,24.22023582458496
2010-06-25,24.894174575805664
2010-06-28,24.532886505126953
2010-06-29,23.594663619995117
2010-06-30,23.504310607910156
2010-07-01,23.129016876220703
2010-07-02,22.8023738861084
2010-07-06,23.170711517333984
2010-07-07,25.45720863342285
2010-07-08,25.283466339111328
2010-07-09,25.860294342041016
2010-07-12,25.797752380371094
2010-07-13,26.645633697509766
2010-07-14,26.11745262145996
2010-07-15,26.298139572143555
2010-07-16,25.651803970336914
2010-07-19,25.95760154724121
2010-07-20,27.472665786743164
2010-07-21,26.3259334564209
2010-07-22,27.146018981933594
2010-07-23,27.65336036682129
2010-07-26,27.590810775756836
2010-07-27,27.104320526123047
2010-07-28,27.013980865478516
2010-07-29,27.118223190307617
2010-07-30,27.048725128173828
2010-08-02,27.87575340270996
2010-08-03,27.701997756958008
2010-08-04,27.77845573425293
2010-08-05,27.764558792114258
2010-08-06,27.159921646118164
2010-08-09,27.514354705810547
2010-08-10,27.20856285095215
2010-08-11,25.95760154724121
2010-08-12,25.9228458404541
2010-08-13,25.90894889831543
2010-08-16,25.79079818725586
2010-08-17,26.610885620117188
2010-08-18,26.69428253173828
2010-08-19,25.7213077545166
2010-08-20,25.637910842895508
2010-08-23,25.31821060180664
2010-08-24,24.546785354614258
2010-08-25,24.609329223632812
2010-08-26,24.234039306640625
2010-08-27,24.915115356445312
2010-08-30,24.247940063476562
2010-08-31,24.37998390197754
2010-09-01,25.366867065429688
2010-09-02,25.31821060180664
2010-09-03,26.35373878479004
2010-09-07,25.505859375
2010-09-08,25.9228458404541
2010-09-09,26.59002113342285
2010-09-10,26.360689163208008
2010-09-13,26.97922134399414
2010-09-14,26.569177627563477
2010-09-15,27.000076293945312
2010-09-16,26.8541259765625
2010-09-17,26.555282592773438
2010-09-20,27.465715408325195
2010-09-21,26.8541259765625
2010-09-22,26.235597610473633
2010-09-23,25.839454650878906
2010-09-24,26.631729125976562
2010-09-27,26.534425735473633
2010-09-28,26.388492584228516
