Date,WST
2010-01-04,17.557022094726562
2010-01-05,17.334606170654297
2010-01-06,17.16558265686035
2010-01-07,17.21895980834961
2010-01-08,17.214513778686523
2010-01-11,17.13888168334961
2010-01-12,17.07660484313965
2010-01-13,17.116647720336914
2010-01-14,17.13443946838379
2010-01-15,17.049570083618164
2010-01-19,17.339914321899414
2010-01-20,17.179105758666992
2010-01-21,16.85303497314453
2010-01-22,16.598432540893555
2010-01-25,16.392959594726562
2010-01-26,16.227685928344727
2010-01-27,16.308086395263672
2010-01-28,16.057954788208008
2010-01-29,16.227685928344727
2010-02-01,16.178558349609375
2010-02-02,16.38848876953125
2010-02-03,16.26788902282715
2010-02-04,15.852483749389648
2010-02-05,16.035621643066406
2010-02-08,15.861416816711426
2010-02-09,16.13835906982422
2010-02-10,15.982026100158691
2010-02-11,16.21875762939453
2010-02-12,16.29916000366211
2010-02-16,16.433162689208984
2010-02-17,16.5135555267334
2010-02-18,17.424768447875977
2010-02-19,17.07190704345703
2010-02-22,16.98703384399414
2010-02-23,17.19251251220703
2010-02-24,17.263973236083984
2010-02-25,17.48284912109375
2010-02-26,17.397974014282227
2010-03-01,17.929521560668945
2010-03-02,18.108184814453125
2010-03-03,18.076923370361328
2010-03-04,18.085851669311523
2010-03-05,18.255592346191406
2010-03-08,18.12159538269043
2010-03-09,18.19305419921875
2010-03-10,18.29132652282715
2010-03-11,18.157323837280273
2010-03-12,18.175189971923828
2010-03-15,18.42531967163086
2010-03-16,18.64866828918457
2010-03-17,18.746931076049805
2010-03-18,18.7022705078125
2010-03-19,18.751401901245117
2010-03-22,19.064075469970703
2010-03-23,19.323144912719727
2010-03-24,18.684398651123047
2010-03-25,18.532529830932617
2010-03-26,18.554866790771484
2010-03-29,18.67546844482422
2010-03-30,18.787139892578125
2010-03-31,18.73799705505371
2010-04-01,18.84967803955078
2010-04-05,18.907737731933594
2010-04-06,18.98813819885254
2010-04-07,19.068538665771484
2010-04-08,19.006011962890625
2010-04-09,19.032814025878906
2010-04-12,19.122148513793945
2010-04-13,19.037273406982422
2010-04-14,19.501821517944336
2010-04-15,19.680482864379883
2010-04-16,19.41695213317871
2010-04-19,19.484188079833984
2010-04-20,19.981828689575195
2010-04-21,19.86975860595703
2010-04-22,19.174856185913086
2010-04-23,19.035871505737305
2010-04-26,18.757909774780273
2010-04-27,18.56063461303711
2010-04-28,18.713071823120117
2010-04-29,19.130020141601562
2010-04-30,18.762393951416016
2010-05-03,19.14347267150879
2010-05-04,18.843088150024414
2010-05-05,18.748943328857422
2010-05-06,18.38579559326172
2010-05-07,18.116796493530273
2010-05-10,18.66376304626465
2010-05-11,18.627899169921875
2010-05-12,18.982070922851562
2010-05-13,18.914817810058594
2010-05-14,18.43511962890625
2010-05-17,18.659273147583008
2010-05-18,18.784807205200195
2010-05-19,18.41269874572754
2010-05-20,17.699874877929688
2010-05-21,17.807458877563477
2010-05-24,17.583301544189453
2010-05-25,17.390522003173828
2010-05-26,17.34568977355957
2010-05-27,17.88367462158203
2010-05-28,17.641578674316406
2010-06-01,17.260496139526367
2010-06-02,17.704336166381836
2010-06-03,17.798500061035156
2010-06-04,16.937713623046875
2010-06-07,16.619400024414062
2010-06-08,16.57904815673828
2010-06-09,16.655269622802734
2010-06-10,16.865982055664062
2010-06-11,16.960128784179688
2010-06-14,17.000478744506836
2010-06-15,17.238096237182617
2010-06-16,17.152908325195312
2010-06-17,17.022891998291016
2010-06-18,16.951162338256836
2010-06-21,16.951162338256836
2010-06-22,16.727001190185547
2010-06-23,16.659753799438477
2010-06-24,16.592498779296875
2010-06-25,16.583538055419922
2010-06-28,16.655269622802734
2010-06-29,16.283159255981445
2010-06-30,16.359375
2010-07-01,16.314544677734375
2010-07-02,16.166593551635742
2010-07-06,16.269710540771484
2010-07-07,16.27419090270996
2010-07-08,16.31005096435547
2010-07-09,16.462491989135742
2010-07-12,16.354888916015625
2010-07-13,16.57456398010254
2010-07-14,16.314544677734375
2010-07-15,16.265226364135742
2010-07-16,15.816900253295898
2010-07-19,15.794390678405762
2010-07-20,15.952006340026855
2010-07-21,15.578207969665527
2010-07-22,15.76735782623291
2010-07-23,15.947504043579102
2010-07-26,16.334829330444336
2010-07-27,16.52848243713379
2010-07-28,16.235740661621094
2010-07-29,16.154674530029297
2010-07-30,16.366348266601562
2010-08-02,16.5825252532959
2010-08-03,15.794390678405762
2010-08-04,16.267263412475586
2010-08-05,16.091623306274414
2010-08-06,15.879949569702148
2010-08-09,16.10062599182129
2010-08-10,15.785374641418457
2010-08-11,15.384549140930176
2010-08-12,15.551180839538574
2010-08-13,15.114331245422363
2010-08-16,15.168373107910156
2010-08-17,15.771864891052246
2010-08-18,15.915977478027344
2010-08-19,15.276457786560059
2010-08-20,15.24042797088623
2010-08-23,15.069284439086914
2010-08-24,15.0737943649292
2010-08-25,15.38905143737793
2010-08-26,15.177375793457031
2010-08-27,15.461112022399902
2010-08-30,15.154858589172363
2010-08-31,15.141347885131836
2010-09-01,15.461112022399902
2010-09-02,15.677289962768555
2010-09-03,15.875447273254395
2010-09-07,15.08730411529541
2010-09-08,15.105316162109375
2010-09-09,15.0963134765625
2010-09-10,15.154858589172363
2010-09-13,15.2854642868042
2010-09-14,15.118827819824219
2010-09-15,15.271953582763672
2010-09-16,15.078293800354004
2010-09-17,15.055781364440918
2010-09-20,15.30798625946045
2010-09-21,15.159358024597168
2010-09-22,15.141347885131836
2010-09-23,14.880136489868164
2010-09-24,14.889143943786621
2010-09-27,14.880136489868164
2010-09-28,15.127842903137207
