Date,DVN
2010-01-04,49.35286331176758
2010-01-05,49.404422760009766
2010-01-06,49.25617980957031
2010-01-07,48.96611785888672
2010-01-08,49.062835693359375
2010-01-11,48.39249038696289
2010-01-12,47.8188591003418
2010-01-13,48.38603591918945
2010-01-14,47.677032470703125
2010-01-15,47.071170806884766
2010-01-19,47.41923522949219
2010-01-20,46.433074951171875
2010-01-21,46.039878845214844
2010-01-22,44.66701889038086
2010-01-25,45.74342727661133
2010-01-26,44.96350860595703
2010-01-27,44.69923782348633
2010-01-28,44.164268493652344
2010-01-29,43.126548767089844
2010-02-01,44.96350860595703
2010-02-02,45.96900939941406
2010-02-03,45.43400573730469
2010-02-04,43.09431457519531
2010-02-05,43.01053237915039
2010-02-08,42.630245208740234
2010-02-09,43.377925872802734
2010-02-10,42.804290771484375
2010-02-11,43.25545883178711
2010-02-12,43.23612594604492
2010-02-16,44.53812026977539
2010-02-17,44.982845306396484
2010-02-18,45.25354766845703
2010-02-19,46.033443450927734
2010-02-22,45.13107681274414
2010-02-23,43.85487747192383
2010-02-24,44.08049011230469
2010-02-25,44.35117721557617
2010-02-26,44.383419036865234
2010-03-01,44.71858215332031
2010-03-02,45.22130584716797
2010-03-03,45.40180587768555
2010-03-04,44.828163146972656
2010-03-05,45.08597183227539
2010-03-08,44.91839599609375
2010-03-09,45.666053771972656
2010-03-10,46.31060791015625
2010-03-11,46.53670883178711
2010-03-12,45.56127166748047
2010-03-15,44.39848709106445
2010-03-16,43.791263580322266
2010-03-17,43.39076614379883
2010-03-18,42.240909576416016
2010-03-19,41.54323196411133
2010-03-22,41.342987060546875
2010-03-23,41.97604751586914
2010-03-24,42.06647872924805
2010-03-25,40.65179443359375
2010-03-26,40.82621383666992
2010-03-29,41.711212158203125
2010-03-30,41.60785675048828
2010-03-31,41.62076950073242
2010-04-01,42.525142669677734
2010-04-05,43.41659927368164
2010-04-06,42.95149230957031
2010-04-07,42.525142669677734
2010-04-08,42.583274841308594
2010-04-09,43.44889450073242
2010-04-12,43.487640380859375
2010-04-13,42.925655364990234
