Date,KTOS
2010-01-04,10.800000190734863
2010-01-05,10.4399995803833
2010-01-06,10.359999656677246
2010-01-07,10.1899995803833
2010-01-08,10.25
2010-01-11,10.3100004196167
2010-01-12,10.25
2010-01-13,10.199999809265137
2010-01-14,10.0600004196167
2010-01-15,10.0
2010-01-19,10.010000228881836
2010-01-20,10.0
2010-01-21,10.069999694824219
2010-01-22,10.0
2010-01-25,10.0
2010-01-26,9.819999694824219
2010-01-27,9.930000305175781
2010-01-28,9.729999542236328
2010-01-29,9.510000228881836
2010-02-01,9.539999961853027
2010-02-02,9.760000228881836
2010-02-03,10.180000305175781
2010-02-04,10.699999809265137
2010-02-05,10.430000305175781
2010-02-08,10.220000267028809
2010-02-09,10.5600004196167
2010-02-10,11.0
2010-02-11,11.260000228881836
2010-02-12,11.539999961853027
2010-02-16,11.90999984741211
2010-02-17,11.949999809265137
2010-02-18,11.899999618530273
2010-02-19,12.050000190734863
2010-02-22,12.1899995803833
2010-02-23,12.600000381469727
2010-02-24,12.84000015258789
2010-02-25,12.9399995803833
2010-02-26,13.079999923706055
2010-03-01,13.34000015258789
2010-03-02,13.449999809265137
2010-03-03,13.609999656677246
2010-03-04,13.670000076293945
2010-03-05,14.0
2010-03-08,14.25
2010-03-09,14.1899995803833
2010-03-10,14.210000038146973
2010-03-11,13.0600004196167
2010-03-12,13.739999771118164
2010-03-15,13.729999542236328
2010-03-16,13.65999984741211
2010-03-17,13.930000305175781
2010-03-18,13.989999771118164
2010-03-19,14.149999618530273
2010-03-22,14.140000343322754
2010-03-23,14.75
2010-03-24,14.930000305175781
2010-03-25,14.720000267028809
2010-03-26,14.380000114440918
2010-03-29,14.369999885559082
2010-03-30,14.630000114440918
2010-03-31,14.270000457763672
2010-04-01,14.670000076293945
2010-04-05,14.920000076293945
2010-04-06,14.729999542236328
2010-04-07,14.430000305175781
2010-04-08,14.3100004196167
2010-04-09,14.40999984741211
2010-04-12,14.390000343322754
2010-04-13,13.930000305175781
2010-04-14,14.199999809265137
2010-04-15,14.789999961853027
2010-04-16,14.329999923706055
2010-04-19,14.539999961853027
2010-04-20,14.470000267028809
2010-04-21,14.300000190734863
2010-04-22,14.430000305175781
2010-04-23,14.420000076293945
2010-04-26,14.670000076293945
2010-04-27,14.390000343322754
