Date,JBIO
2021-06-30,778.605224609375
2021-07-01,661.9678955078125
2021-07-02,680.0432739257812
2021-07-06,643.551513671875
2021-07-07,585.5739135742188
2021-07-08,529.1309814453125
2021-07-09,512.9313354492188
2021-07-12,531.6888427734375
2021-07-13,543.6253662109375
2021-07-14,524.52685546875
2021-07-15,505.4283752441406
2021-07-16,507.815673828125
2021-07-19,501.6768493652344
2021-07-20,481.896240234375
2021-07-21,482.5783386230469
2021-07-22,485.30670166015625
2021-07-23,485.30670166015625
2021-07-26,470.64178466796875
2021-07-27,436.40087890625
2021-07-28,451.8843078613281
2021-07-29,446.0865478515625
2021-07-30,438.2425231933594
2021-08-02,470.64178466796875
2021-08-03,459.3873291015625
2021-08-04,456.658935546875
2021-08-05,449.49700927734375
2021-08-06,452.9074401855469
2021-08-09,443.35821533203125
2021-08-10,443.01715087890625
2021-08-11,443.35821533203125
2021-08-12,463.8208923339844
2021-08-13,426.30596923828125
2021-08-16,426.30596923828125
2021-08-17,434.1499938964844
2021-08-18,433.1268615722656
2021-08-19,437.21942138671875
2021-08-20,422.2134094238281
2021-08-23,401.06866455078125
2021-08-24,409.25372314453125
2021-08-25,412.6641845703125
2021-08-26,478.82684326171875
2021-08-27,600.23876953125
2021-08-30,575.6835327148438
2021-08-31,582.8455200195312
2021-09-01,620.0194091796875
2021-09-02,635.025390625
2021-09-03,681.74853515625
2021-09-07,685.1589965820312
2021-09-08,704.9395751953125
2021-09-09,680.725341796875
2021-09-10,712.7835693359375
2021-09-13,767.0097045898438
2021-09-14,711.4193725585938
2021-09-15,735.29248046875
2021-09-16,722.3328247070312
2021-09-17,687.5462646484375
2021-09-20,509.1798400878906
2021-09-21,518.7290649414062
2021-09-22,538.8507690429688
2021-09-23,551.1283569335938
2021-09-24,569.2037353515625
2021-09-27,708.3499755859375
2021-09-28,713.4656982421875
2021-09-29,714.1477661132812
2021-09-30,715.5119018554688
2021-10-01,681.06640625
2021-10-04,639.4589233398438
2021-10-05,712.1015014648438
2021-10-06,648.3261108398438
2021-10-07,593.4179077148438
2021-10-08,685.1589965820312
2021-10-11,639.117919921875
2021-10-12,591.0305786132812
2021-10-13,622.7477416992188
2021-10-14,592.394775390625
2021-10-15,481.896240234375
2021-10-18,576.024658203125
2021-10-19,486.6708984375
2021-10-20,453.58953857421875
2021-10-21,443.6992492675781
2021-10-22,452.2253723144531
2021-10-25,474.3932800292969
2021-10-26,508.1567077636719
2021-10-27,487.35296630859375
2021-10-28,533.052978515625
2021-10-29,543.2843017578125
2021-11-01,534.0761108398438
2021-11-02,542.2611694335938
2021-11-03,563.0648803710938
2021-11-04,578.0708618164062
2021-11-05,629.2276000976562
2021-11-08,626.8402709960938
2021-11-09,592.0537109375
2021-11-10,647.9850463867188
2021-11-11,601.60302734375
2021-11-12,734.6104736328125
2021-11-15,595.4641723632812
2021-11-16,477.8037414550781
2021-11-17,476.78057861328125
2021-11-18,479.16790771484375
2021-11-19,486.6708984375
2021-11-22,478.82684326171875
2021-11-23,493.83282470703125
2021-11-24,495.197021484375
2021-11-26,450.5201416015625
2021-11-29,468.59552001953125
2021-11-30,467.5723876953125
2021-12-01,457.3410339355469
2021-12-02,445.40447998046875
2021-12-03,428.69329833984375
2021-12-06,392.20147705078125
2021-12-07,387.4268798828125
2021-12-08,391.8604431152344
2021-12-09,379.9238586425781
2021-12-10,411.9820861816406
2021-12-13,389.132080078125
2021-12-14,361.8485107421875
2021-12-15,420.8492431640625
2021-12-16,311.71490478515625
2021-12-17,316.6600646972656
2021-12-20,330.1313171386719
2021-12-21,323.9925231933594
2021-12-22,343.77313232421875
2021-12-23,354.00445556640625
2021-12-27,356.73284912109375
2021-12-28,342.75
2021-12-29,348.8887939453125
2021-12-30,381.62908935546875
2021-12-31,402.0917663574219
2022-01-03,372.7619323730469
2022-01-04,350.25299072265625
2022-01-05,358.0970153808594
2022-01-06,346.5014953613281
2022-01-07,341.3858337402344
2022-01-10,343.77313232421875
2022-01-11,341.0447692871094
2022-01-12,334.9059753417969
2022-01-13,320.24102783203125
2022-01-14,323.6514892578125
2022-01-18,310.00970458984375
2022-01-19,306.9403076171875
2022-01-20,296.02685546875
2022-01-21,281.3619384765625
2022-01-24,300.119384765625
2022-01-25,318.5357971191406
2022-01-26,328.0850830078125
2022-01-27,332.5186462402344
2022-01-28,344.4552307128906
2022-01-31,403.11492919921875
2022-02-01,361.8485107421875
2022-02-02,321.9462585449219
2022-02-03,316.1485290527344
2022-02-04,330.1313171386719
2022-02-07,327.7440185546875
2022-02-08,327.7440185546875
2022-02-09,327.4029846191406
2022-02-10,320.58209228515625
2022-02-11,351.276123046875
2022-02-14,322.2873229980469
2022-02-15,346.1604309082031
2022-02-16,310.6918029785156
2022-02-17,308.6455078125
2022-02-18,294.6626892089844
2022-02-22,329.10821533203125
2022-02-23,325.3567199707031
2022-02-24,331.8365478515625
2022-02-25,323.9925231933594
2022-02-28,333.5417785644531
2022-03-01,330.81341552734375
2022-03-02,355.0276184082031
2022-03-03,372.4208984375
2022-03-04,368.6694030761719
2022-03-07,382.9932556152344
2022-03-08,424.9418029785156
2022-03-09,426.30596923828125
2022-03-10,409.9358215332031
2022-03-11,409.59478759765625
2022-03-14,413.6872863769531
2022-03-15,409.25372314453125
2022-03-16,419.4850769042969
2022-03-17,433.8089599609375
2022-03-18,441.6529846191406
2022-03-21,497.5843200683594
2022-03-22,530.6656494140625
2022-03-23,545.671630859375
2022-03-24,532.0298461914062
2022-03-25,542.9432983398438
2022-03-28,519.7522583007812
