Date,MYGN
2010-01-04,26.65999984741211
2010-01-05,26.56999969482422
2010-01-06,26.920000076293945
2010-01-07,26.5
2010-01-08,26.190000534057617
2010-01-11,25.56999969482422
2010-01-12,24.299999237060547
2010-01-13,24.670000076293945
2010-01-14,24.5
2010-01-15,23.84000015258789
2010-01-19,23.530000686645508
2010-01-20,23.329999923706055
2010-01-21,22.84000015258789
2010-01-22,22.790000915527344
2010-01-25,22.3700008392334
2010-01-26,23.040000915527344
2010-01-27,22.450000762939453
2010-01-28,22.25
2010-01-29,23.5
2010-02-01,23.780000686645508
2010-02-02,23.979999542236328
2010-02-03,24.709999084472656
2010-02-04,23.100000381469727
2010-02-05,22.09000015258789
2010-02-08,21.670000076293945
2010-02-09,21.450000762939453
2010-02-10,21.649999618530273
2010-02-11,20.899999618530273
2010-02-12,21.350000381469727
2010-02-16,21.1200008392334
2010-02-17,21.6200008392334
2010-02-18,21.59000015258789
2010-02-19,22.270000457763672
2010-02-22,22.3700008392334
2010-02-23,22.0
2010-02-24,22.34000015258789
2010-02-25,22.389999389648438
2010-02-26,23.0
2010-03-01,23.030000686645508
2010-03-02,23.81999969482422
2010-03-03,23.110000610351562
2010-03-04,22.950000762939453
2010-03-05,22.520000457763672
2010-03-08,22.670000076293945
2010-03-09,22.969999313354492
2010-03-10,22.850000381469727
2010-03-11,23.639999389648438
2010-03-12,24.360000610351562
2010-03-15,25.25
2010-03-16,25.489999771118164
2010-03-17,25.06999969482422
2010-03-18,24.979999542236328
2010-03-19,25.030000686645508
2010-03-22,24.93000030517578
2010-03-23,25.25
2010-03-24,25.079999923706055
2010-03-25,24.959999084472656
2010-03-26,25.1299991607666
2010-03-29,24.899999618530273
2010-03-30,23.700000762939453
2010-03-31,24.049999237060547
2010-04-01,24.010000228881836
2010-04-05,24.110000610351562
2010-04-06,23.440000534057617
2010-04-07,23.1200008392334
2010-04-08,23.280000686645508
2010-04-09,23.31999969482422
2010-04-12,22.979999542236328
2010-04-13,22.899999618530273
2010-04-14,23.479999542236328
2010-04-15,23.260000228881836
2010-04-16,23.09000015258789
