Date,HAE
2010-01-04,27.71500015258789
2010-01-05,27.165000915527344
2010-01-06,27.2450008392334
2010-01-07,27.225000381469727
2010-01-08,27.545000076293945
2010-01-11,28.520000457763672
2010-01-12,28.315000534057617
2010-01-13,28.799999237060547
2010-01-14,29.40999984741211
2010-01-15,29.239999771118164
2010-01-19,29.614999771118164
2010-01-20,29.719999313354492
2010-01-21,28.96500015258789
2010-01-22,28.834999084472656
2010-01-25,28.450000762939453
2010-01-26,28.424999237060547
2010-01-27,28.764999389648438
2010-01-28,28.3700008392334
2010-01-29,28.30500030517578
2010-02-01,26.594999313354492
2010-02-02,26.325000762939453
2010-02-03,27.19499969482422
2010-02-04,26.78499984741211
2010-02-05,26.774999618530273
2010-02-08,26.6299991607666
2010-02-09,26.395000457763672
2010-02-10,26.65999984741211
2010-02-11,26.954999923706055
2010-02-12,27.1299991607666
2010-02-16,26.760000228881836
2010-02-17,26.864999771118164
2010-02-18,26.760000228881836
2010-02-19,26.94499969482422
2010-02-22,27.059999465942383
2010-02-23,26.799999237060547
2010-02-24,27.239999771118164
2010-02-25,27.049999237060547
2010-02-26,26.7450008392334
2010-03-01,26.850000381469727
2010-03-02,27.084999084472656
2010-03-03,26.959999084472656
2010-03-04,26.93000030517578
2010-03-05,27.1299991607666
2010-03-08,27.0
2010-03-09,27.290000915527344
2010-03-10,27.584999084472656
2010-03-11,27.864999771118164
2010-03-12,28.229999542236328
2010-03-15,27.735000610351562
2010-03-16,27.905000686645508
2010-03-17,28.079999923706055
2010-03-18,28.389999389648438
2010-03-19,28.075000762939453
2010-03-22,28.5
2010-03-23,28.2549991607666
2010-03-24,28.364999771118164
2010-03-25,28.420000076293945
2010-03-26,28.489999771118164
2010-03-29,28.65999984741211
2010-03-30,28.875
2010-03-31,28.575000762939453
2010-04-01,28.239999771118164
2010-04-05,28.229999542236328
2010-04-06,28.594999313354492
2010-04-07,28.399999618530273
2010-04-08,28.1299991607666
2010-04-09,28.315000534057617
2010-04-12,28.625
2010-04-13,29.014999389648438
2010-04-14,29.354999542236328
2010-04-15,29.725000381469727
2010-04-16,30.0049991607666
2010-04-19,30.0
2010-04-20,30.290000915527344
2010-04-21,30.309999465942383
2010-04-22,28.625
2010-04-23,28.665000915527344
2010-04-26,28.385000228881836
2010-04-27,28.53499984741211
2010-04-28,28.985000610351562
2010-04-29,29.649999618530273
2010-04-30,28.93000030517578
2010-05-03,28.684999465942383
2010-05-04,28.145000457763672
2010-05-05,28.325000762939453
2010-05-06,28.110000610351562
2010-05-07,27.8700008392334
2010-05-10,28.799999237060547
2010-05-11,28.614999771118164
