Date,MOS
2010-01-04,47.192222595214844
2010-01-05,48.2934455871582
2010-01-06,50.14411163330078
2010-01-07,50.2894172668457
2010-01-08,51.00827407836914
2010-01-11,50.710018157958984
2010-01-12,47.78870391845703
2010-01-13,47.82695388793945
2010-01-14,46.526885986328125
2010-01-15,47.07750701904297
2010-01-19,48.20933532714844
2010-01-20,47.436927795410156
2010-01-21,45.938045501708984
2010-01-22,44.83679962158203
2010-01-25,44.936222076416016
2010-01-26,44.79856872558594
2010-01-27,44.38562774658203
2010-01-28,42.489044189453125
2010-01-29,40.92134094238281
2010-02-01,43.03201675415039
2010-02-02,43.13152313232422
2010-02-03,44.11892318725586
2010-02-04,41.340450286865234
2010-02-05,42.2359733581543
2010-02-08,41.74612808227539
2010-02-09,43.56016540527344
2010-02-10,43.950531005859375
2010-02-11,44.715938568115234
2010-02-12,45.02976989746094
2010-02-16,46.21617889404297
2010-02-17,46.88974380493164
2010-02-18,46.35395431518555
2010-02-19,46.52234649658203
2010-02-22,46.445796966552734
2010-02-23,45.068031311035156
2010-02-24,44.10359573364258
2010-02-25,44.79248809814453
2010-02-26,44.692989349365234
2010-03-01,45.50433349609375
2010-03-02,47.06578826904297
2010-03-03,46.897403717041016
2010-03-04,46.25444412231445
2010-03-05,47.14999008178711
2010-03-08,46.98160934448242
2010-03-09,46.675437927246094
2010-03-10,46.19321823120117
2010-03-11,45.87174606323242
2010-03-12,48.83390808105469
2010-03-15,47.75467300415039
2010-03-16,48.252201080322266
2010-03-17,47.38726806640625
2010-03-18,45.588523864746094
2010-03-19,44.715938568115234
2010-03-22,45.305320739746094
2010-03-23,45.26704788208008
2010-03-24,46.1396369934082
2010-03-25,44.73125457763672
2010-03-26,45.427791595458984
2010-03-29,46.09369659423828
2010-03-30,45.96357345581055
2010-03-31,46.514686584472656
2010-04-01,44.64706039428711
2010-04-05,44.386810302734375
2010-04-06,44.0423583984375
2010-04-07,43.621395111083984
2010-04-08,44.080650329589844
2010-04-09,43.361148834228516
2010-04-12,43.43769073486328
2010-04-13,43.46066665649414
2010-04-14,42.404380798339844
2010-04-15,42.220664978027344
2010-04-16,41.432281494140625
2010-04-19,40.71278381347656
2010-04-20,42.036964416503906
2010-04-21,40.743408203125
2010-04-22,41.3940315246582
2010-04-23,41.16439437866211
2010-04-26,39.94736099243164
2010-04-27,38.71503829956055
2010-04-28,39.763671875
2010-04-29,39.426876068115234
2010-04-30,39.143672943115234
2010-05-03,39.021209716796875
2010-05-04,37.61910629272461
2010-05-05,37.00617599487305
2010-05-06,36.51581954956055
2010-05-07,36.89890670776367
2010-05-10,37.33563995361328
2010-05-11,36.52348709106445
2010-05-12,37.84897232055664
2010-05-13,36.799293518066406
2010-05-14,36.59244918823242
2010-05-17,35.90287399291992
2010-05-18,36.77631378173828
2010-05-19,35.90287399291992
2010-05-20,34.454830169677734
2010-05-21,35.021785736083984
2010-05-24,34.43183135986328
2010-05-25,34.232627868652344
2010-05-26,33.711631774902344
2010-05-27,36.02547836303711
2010-05-28,35.37421798706055
2010-06-01,34.178993225097656
2010-06-02,35.47382736206055
2010-06-03,34.27858352661133
2010-06-04,32.99142074584961
2010-06-07,33.09102249145508
2010-06-08,32.71559524536133
2010-06-09,32.577674865722656
2010-06-10,34.71529769897461
2010-06-11,34.66168212890625
2010-06-14,33.68864440917969
2010-06-15,34.83022689819336
2010-06-16,34.68466567993164
2010-06-17,33.956790924072266
2010-06-18,33.29788589477539
2010-06-21,33.397491455078125
2010-06-22,33.190635681152344
2010-06-23,33.51243591308594
2010-06-24,32.64664840698242
2010-06-25,32.516395568847656
2010-06-28,31.911123275756836
2010-06-29,30.14891815185547
2010-06-30,29.865434646606445
2010-07-01,29.80414390563965
2010-07-02,30.210206985473633
2010-07-06,29.98037338256836
2010-07-07,32.74626159667969
2010-07-08,34.26327133178711
2010-07-09,35.34357833862305
2010-07-12,32.54703903198242
2010-07-13,31.949426651000977
2010-07-14,32.194602966308594
2010-07-15,33.13700485229492
2010-07-16,34.29391860961914
2010-07-19,34.301570892333984
2010-07-20,35.66537857055664
2010-07-21,34.34754180908203
2010-07-22,34.43950271606445
2010-07-23,35.85691833496094
2010-07-26,35.389530181884766
2010-07-27,34.42417526245117
2010-07-28,35.58876037597656
2010-07-29,36.46219253540039
2010-07-30,36.50816345214844
2010-08-02,37.84128952026367
2010-08-03,36.85293197631836
2010-08-04,38.639976501464844
2010-08-05,39.337921142578125
2010-08-06,39.261226654052734
2010-08-09,39.22288513183594
2010-08-10,38.99279022216797
2010-08-11,37.903690338134766
2010-08-12,39.3455924987793
2010-08-13,39.268890380859375
2010-08-16,39.2152099609375
2010-08-17,42.643558502197266
2010-08-18,44.39225769042969
2010-08-19,43.379852294921875
2010-08-20,43.44121170043945
2010-08-23,45.841827392578125
2010-08-24,44.56866455078125
2010-08-25,43.17277145385742
2010-08-26,42.78927993774414
2010-08-27,44.69137191772461
2010-08-30,43.90906524658203
2010-08-31,44.99049377441406
2010-09-01,44.844764709472656
2010-09-02,44.752750396728516
2010-09-03,44.56098937988281
2010-09-07,44.376914978027344
2010-09-08,45.765132904052734
2010-09-09,44.998172760009766
2010-09-10,45.51970672607422
2010-09-13,45.75747299194336
2010-09-14,45.113224029541016
2010-09-15,44.16984939575195
2010-09-16,46.44007110595703
2010-09-17,46.03358459472656
2010-09-20,46.7545280456543
2010-09-21,45.51202392578125
2010-09-22,46.22531509399414
2010-09-23,47.05364990234375
2010-09-24,47.62120819091797
2010-09-27,48.6182746887207
2010-09-28,47.37577438354492
