Date,ARI
2010-01-04,3.372131109237671
2010-01-05,3.3498363494873047
2010-01-06,3.34426212310791
2010-01-07,3.3498363494873047
2010-01-08,3.355410099029541
2010-01-11,3.3572676181793213
2010-01-12,3.3368301391601562
2010-01-13,3.3368301391601562
2010-01-14,3.334972858428955
2010-01-15,3.3256826400756836
2010-01-19,3.340545892715454
2010-01-20,3.329399585723877
2010-01-21,3.3052456378936768
2010-01-22,3.294097661972046
2010-01-25,3.2699451446533203
2010-01-26,3.2829506397247314
2010-01-27,3.264371156692505
2010-01-28,3.2550816535949707
2010-01-29,3.2829506397247314
2010-02-01,3.260655403137207
2010-02-02,3.2495081424713135
2010-02-03,3.2550816535949707
2010-02-04,3.3126773834228516
2010-02-05,3.2848093509674072
2010-02-08,3.2736618518829346
2010-02-09,3.279235601425171
2010-02-10,3.2550816535949707
2010-02-11,3.279235601425171
2010-02-12,3.3182523250579834
2010-02-16,3.34426212310791
2010-02-17,3.34426212310791
2010-02-18,3.34426212310791
2010-02-19,3.329399585723877
2010-02-22,3.3368301391601562
2010-02-23,3.327540874481201
2010-02-24,3.2922401428222656
2010-02-25,3.3015296459198
2010-02-26,3.2959558963775635
2010-03-01,3.2866671085357666
2010-03-02,3.288525342941284
2010-03-03,3.3015296459198
2010-03-04,3.3071022033691406
2010-03-05,3.3498363494873047
2010-03-08,3.3665566444396973
2010-03-09,3.362842321395874
2010-03-10,3.34426212310791
2010-03-11,3.372131109237671
2010-03-12,3.3665566444396973
2010-03-15,3.362842321395874
2010-03-16,3.3591253757476807
2010-03-17,3.3665566444396973
2010-03-18,3.3777055740356445
2010-03-19,3.3665566444396973
2010-03-22,3.3591253757476807
2010-03-23,3.3535518646240234
2010-03-24,3.347977638244629
2010-03-25,3.3498363494873047
2010-03-26,3.34426212310791
2010-03-29,3.382157564163208
2010-03-30,3.4181582927703857
2010-03-31,3.4124741554260254
2010-04-01,3.3973147869110107
2010-04-05,3.4276299476623535
2010-04-06,3.423842430114746
2010-04-07,3.416264057159424
2010-04-08,3.4693174362182617
2010-04-09,3.480685234069824
2010-04-12,3.4427907466888428
2010-04-13,3.454157829284668
2010-04-14,3.4787914752960205
2010-04-15,3.4996323585510254
2010-04-16,3.4560534954071045
2010-04-19,3.423842430114746
2010-04-20,3.4371073246002197
2010-04-21,3.439000368118286
2010-04-22,3.423842430114746
2010-04-23,3.435211181640625
2010-04-26,3.4276299476623535
2010-04-27,3.4048948287963867
2010-04-28,3.4257376194000244
2010-04-29,3.4181582927703857
2010-04-30,3.4124741554260254
2010-05-03,3.435211181640625
2010-05-04,3.406789779663086
2010-05-05,3.389737367630005
2010-05-06,3.351841688156128
2010-05-07,3.298788547515869
2010-05-10,3.315840482711792
2010-05-11,3.315840482711792
2010-05-12,3.3537368774414062
2010-05-13,3.3196301460266113
2010-05-14,3.2912087440490723
2010-05-17,3.293102979660034
2010-05-18,3.274156332015991
2010-05-19,3.2400496006011963
2010-05-20,3.1566812992095947
2010-05-21,3.211627721786499
2010-05-24,3.1775243282318115
2010-05-25,3.152890205383301
2010-05-26,3.145312547683716
2010-05-27,3.2343664169311523
2010-05-28,3.2097342014312744
2010-06-01,3.132047176361084
2010-06-02,3.192680597305298
2010-06-03,3.1851017475128174
2010-06-04,3.145312547683716
2010-06-07,3.1168906688690186
2010-06-08,3.0543622970581055
2010-06-09,3.048677921295166
2010-06-10,3.1055209636688232
2010-06-11,3.152890205383301
2010-06-14,3.1604695320129395
