Date,WH
2018-05-21,54.1748161315918
2018-05-22,54.1748161315918
2018-05-23,51.19538116455078
2018-05-24,51.19538116455078
2018-05-25,50.668052673339844
2018-05-29,51.406314849853516
2018-05-30,52.59282302856445
2018-05-31,52.294010162353516
2018-06-01,53.96388244628906
2018-06-04,55.5107421875
2018-06-05,58.38471221923828
2018-06-06,54.904296875
2018-06-07,54.39453887939453
2018-06-08,55.2646484375
2018-06-11,53.893577575683594
2018-06-12,53.19047164916992
2018-06-13,52.43461608886719
2018-06-14,53.44076919555664
2018-06-15,54.57929992675781
2018-06-18,54.23509216308594
2018-06-19,54.27922058105469
2018-06-20,54.632266998291016
2018-06-21,54.79995346069336
2018-06-22,55.93850326538086
2018-06-25,54.632266998291016
2018-06-26,53.9791374206543
2018-06-27,52.89357376098633
2018-06-28,51.83445739746094
2018-06-29,51.9227180480957
2018-07-02,50.90773391723633
2018-07-03,50.79299545288086
2018-07-05,52.11688995361328
2018-07-06,52.4787483215332
2018-07-09,52.046268463134766
2018-07-10,51.63146209716797
2018-07-11,51.77267074584961
2018-07-12,51.81680679321289
2018-07-13,51.81680679321289
2018-07-16,51.63146209716797
2018-07-17,50.96952438354492
2018-07-18,52.081581115722656
2018-07-19,51.45494079589844
2018-07-20,51.49024963378906
2018-07-23,50.996002197265625
2018-07-24,51.10191345214844
2018-07-25,50.67826843261719
2018-07-26,51.88740921020508
2018-07-27,50.67826843261719
2018-07-30,50.2899284362793
2018-07-31,51.19017028808594
2018-08-01,52.56700897216797
2018-08-02,53.9791374206543
2018-08-03,53.643760681152344
2018-08-06,54.67638397216797
2018-08-07,53.767330169677734
2018-08-08,51.604976654052734
2018-08-09,50.19283676147461
2018-08-10,49.69859313964844
2018-08-13,49.07194900512695
2018-08-14,49.97220230102539
2018-08-15,50.07810974121094
2018-08-16,50.669456481933594
2018-08-17,50.687095642089844
2018-08-20,50.78417205810547
2018-08-21,50.086936950683594
2018-08-22,49.46029281616211
2018-08-23,48.48944854736328
2018-08-24,49.07194900512695
2018-08-27,49.68095016479492
2018-08-28,49.98102951049805
2018-08-29,49.83097457885742
2018-08-30,50.2281379699707
2018-08-31,50.086936950683594
2018-09-04,50.0516357421875
2018-09-05,48.851295471191406
2018-09-06,48.0040168762207
2018-09-07,48.780704498291016
2018-09-10,48.53357696533203
2018-09-11,48.286441802978516
2018-09-12,49.14255905151367
2018-09-13,49.88728713989258
2018-09-14,50.25077438354492
2018-09-17,49.115962982177734
2018-09-18,49.86069107055664
2018-09-19,49.8784065246582
2018-09-20,50.17097854614258
2018-09-21,48.876583099365234
2018-09-24,48.912052154541016
2018-09-25,49.000709533691406
2018-09-26,49.72769546508789
2018-09-27,49.851810455322266
2018-09-28,49.26668930053711
2018-10-01,48.27372360229492
2018-10-02,47.74177551269531
2018-10-03,46.846351623535156
2018-10-04,46.67789077758789
2018-10-05,46.500587463378906
2018-10-08,46.935001373291016
2018-10-09,46.775413513183594
2018-10-10,45.57855224609375
2018-10-11,44.2575569152832
2018-10-12,45.01115036010742
2018-10-15,44.7540397644043
2018-10-16,45.72926712036133
2018-10-17,45.2593879699707
2018-10-18,44.53239822387695
2018-10-19,42.55534362792969
2018-10-22,42.69719314575195
2018-10-23,41.385066986083984
2018-10-24,39.33709716796875
2018-10-25,40.737876892089844
2018-10-26,40.47190475463867
2018-10-29,40.179344177246094
2018-10-30,42.10319519042969
2018-10-31,43.69902038574219
2018-11-01,44.20437240600586
2018-11-02,43.86746597290039
2018-11-05,43.29120635986328
2018-11-06,42.75926208496094
2018-11-07,43.54829788208008
2018-11-08,43.131614685058594
2018-11-09,42.36030960083008
2018-11-12,41.35847854614258
2018-11-13,41.35847854614258
2018-11-14,41.22549057006836
