Date,CAR
2010-01-04,12.569918632507324
2010-01-05,12.51291275024414
2010-01-06,12.398900032043457
2010-01-07,12.351394653320312
2010-01-08,12.389398574829102
2010-01-11,12.19937801361084
2010-01-12,11.866839408874512
2010-01-13,11.923846244812012
2010-01-14,12.227880477905273
2010-01-15,12.161373138427734
2010-01-19,12.17087459564209
2010-01-20,11.752826690673828
2010-01-21,11.1067533493042
2010-01-22,10.907231330871582
2010-01-25,10.869226455688477
2010-01-26,10.802720069885254
2010-01-27,10.954736709594727
2010-01-28,10.584195137023926
2010-01-29,10.280160903930664
2010-02-01,10.802720069885254
2010-02-02,10.859726905822754
2010-02-03,10.679205894470215
2010-02-04,9.966625213623047
2010-02-05,10.033133506774902
2010-02-08,10.090139389038086
2010-02-09,10.859726905822754
2010-02-10,11.18276309967041
2010-02-11,11.800332069396973
2010-02-12,11.809833526611328
2010-02-16,12.180375099182129
2010-02-17,12.645928382873535
2010-02-18,10.821722030639648
2010-02-19,10.60319709777832
2010-02-22,10.51768684387207
2010-02-23,9.995128631591797
2010-02-24,9.387060165405273
2010-02-25,9.235042572021484
2010-02-26,9.995128631591797
2010-03-01,10.413175582885742
2010-03-02,10.147146224975586
2010-03-03,10.042634010314941
2010-03-04,10.384673118591309
2010-03-05,10.954736709594727
2010-03-08,10.612698554992676
2010-03-09,10.812220573425293
2010-03-10,10.64120101928711
2010-03-11,10.584195137023926
2010-03-12,10.441679000854492
2010-03-15,10.20415210723877
2010-03-16,10.299162864685059
2010-03-17,10.05213451385498
2010-03-18,10.916732788085938
2010-03-19,10.26115894317627
2010-03-22,10.318164825439453
2010-03-23,11.087752342224121
2010-03-24,11.06874942779541
2010-03-25,11.334779739379883
2010-03-26,11.334779739379883
2010-03-29,11.581807136535645
2010-03-30,11.391785621643066
2010-03-31,10.926233291625977
2010-04-01,11.277772903442383
2010-04-05,12.009356498718262
2010-04-06,12.750439643859863
2010-04-07,13.12098217010498
2010-04-08,13.767054557800293
2010-04-09,14.166099548339844
2010-04-12,14.004581451416016
2010-04-13,14.014081954956055
2010-04-14,14.527140617370605
2010-04-15,14.251608848571777
2010-04-16,13.520026206970215
2010-04-19,13.539029121398926
2010-04-20,13.662542343139648
2010-04-21,13.919071197509766
2010-04-22,14.004581451416016
2010-04-23,13.938074111938477
2010-04-26,15.581758499145508
2010-04-27,14.850176811218262
2010-04-28,14.612649917602539
2010-04-29,15.01169490814209
2010-04-30,14.365621566772461
2010-05-03,14.327617645263672
2010-05-04,13.396512985229492
2010-05-05,12.683932304382324
2010-05-06,11.714822769165039
2010-05-07,11.15425968170166
2010-05-10,11.904844284057617
2010-05-11,12.484410285949707
2010-05-12,12.826448440551758
2010-05-13,12.693432807922363
2010-05-14,12.066362380981445
2010-05-17,11.857337951660156
2010-05-18,11.18276309967041
2010-05-19,10.78371810913086
2010-05-20,9.900117874145508
2010-05-21,10.527188301086426
2010-05-24,10.479682922363281
2010-05-25,10.13764476776123
2010-05-26,10.441679000854492
2010-05-27,11.781330108642578
2010-05-28,11.258771896362305
2010-06-01,10.679205894470215
2010-06-02,10.916732788085938
2010-06-03,11.306276321411133
2010-06-04,10.479682922363281
2010-06-07,9.871614456176758
2010-06-08,9.510574340820312
2010-06-09,9.729098320007324
2010-06-10,10.384673118591309
2010-06-11,10.51768684387207
2010-06-14,10.793218612670898
2010-06-15,11.296775817871094
2010-06-16,10.888229370117188
2010-06-17,10.945236206054688
2010-06-18,10.64120101928711
2010-06-21,10.650702476501465
2010-06-22,10.337167739868164
2010-06-23,10.451180458068848
2010-06-24,10.23265552520752
2010-06-25,10.631699562072754
2010-06-28,10.546191215515137
2010-06-29,9.67209243774414
2010-06-30,9.330053329467773
2010-07-01,9.18753719329834
2010-07-02,8.72198486328125
2010-07-06,8.275434494018555
2010-07-07,8.940509796142578
2010-07-08,9.767102241516113
2010-07-09,10.147146224975586
2010-07-12,9.862113952636719
2010-07-13,10.166147232055664
2010-07-14,9.900117874145508
2010-07-15,9.985628128051758
2010-07-16,9.396561622619629
2010-07-19,9.491571426391602
2010-07-20,9.814607620239258
2010-07-21,9.482069969177246
2010-07-22,10.033133506774902
2010-07-23,10.289661407470703
2010-07-26,10.51768684387207
2010-07-27,10.375171661376953
2010-07-28,10.527188301086426
2010-07-29,11.287274360656738
2010-07-30,11.724324226379395
2010-08-02,11.999855041503906
2010-08-03,11.800332069396973
2010-08-04,11.73382568359375
2010-08-05,10.375171661376953
2010-08-06,10.166147232055664
2010-08-09,10.318164825439453
2010-08-10,10.166147232055664
2010-08-11,9.691094398498535
2010-08-12,9.501072883605957
2010-08-13,9.292048454284668
2010-08-16,9.18753719329834
2010-08-17,9.472569465637207
2010-08-18,9.510574340820312
2010-08-19,9.168535232543945
2010-08-20,8.921507835388184
2010-08-23,8.816995620727539
2010-08-24,8.617472648620605
2010-08-25,8.75048828125
2010-08-26,8.636475563049316
2010-08-27,9.016517639160156
2010-08-30,8.778990745544434
2010-08-31,8.66497802734375
2010-09-01,9.263545989990234
2010-09-02,9.662590980529785
2010-09-03,9.890616416931152
2010-09-07,9.68159294128418
2010-09-08,9.700594902038574
2010-09-09,9.729098320007324
2010-09-10,9.71009635925293
2010-09-13,10.403674125671387
2010-09-14,10.527188301086426
2010-09-15,10.536689758300781
2010-09-16,10.451180458068848
2010-09-17,10.451180458068848
2010-09-20,10.736212730407715
2010-09-21,10.650702476501465
2010-09-22,10.470182418823242
2010-09-23,10.05213451385498
2010-09-24,10.584195137023926
2010-09-27,10.593695640563965
2010-09-28,10.755213737487793
