Date,NBIX
2010-01-04,2.690000057220459
2010-01-05,2.609999895095825
2010-01-06,2.5299999713897705
2010-01-07,2.5999999046325684
2010-01-08,2.5199999809265137
2010-01-11,2.5299999713897705
2010-01-12,2.5199999809265137
2010-01-13,2.549999952316284
2010-01-14,2.5299999713897705
2010-01-15,2.4600000381469727
2010-01-19,2.7300000190734863
2010-01-20,2.609999895095825
2010-01-21,2.5
2010-01-22,2.450000047683716
2010-01-25,2.549999952316284
2010-01-26,2.4100000858306885
2010-01-27,2.4100000858306885
2010-01-28,2.309999942779541
2010-01-29,2.3499999046325684
2010-02-01,2.4000000953674316
2010-02-02,2.3499999046325684
2010-02-03,2.3399999141693115
2010-02-04,2.1700000762939453
2010-02-05,2.180000066757202
2010-02-08,2.359999895095825
2010-02-09,2.369999885559082
2010-02-10,2.4600000381469727
2010-02-11,2.5399999618530273
2010-02-12,2.5299999713897705
2010-02-16,2.6700000762939453
2010-02-17,2.700000047683716
2010-02-18,2.640000104904175
2010-02-19,2.7300000190734863
2010-02-22,2.7200000286102295
2010-02-23,2.700000047683716
2010-02-24,2.75
2010-02-25,2.5999999046325684
2010-02-26,2.619999885559082
2010-03-01,2.549999952316284
2010-03-02,2.559999942779541
2010-03-03,2.630000114440918
2010-03-04,2.5999999046325684
2010-03-05,2.299999952316284
2010-03-08,2.3399999141693115
2010-03-09,2.359999895095825
2010-03-10,2.380000114440918
2010-03-11,2.4800000190734863
2010-03-12,2.5
2010-03-15,2.4100000858306885
2010-03-16,2.4600000381469727
2010-03-17,2.5799999237060547
2010-03-18,2.690000057220459
2010-03-19,2.7200000286102295
2010-03-22,2.7300000190734863
2010-03-23,2.700000047683716
2010-03-24,2.740000009536743
2010-03-25,2.6700000762939453
2010-03-26,2.700000047683716
2010-03-29,2.700000047683716
2010-03-30,2.7200000286102295
2010-03-31,2.549999952316284
2010-04-01,2.4700000286102295
2010-04-05,2.549999952316284
2010-04-06,2.549999952316284
2010-04-07,2.5899999141693115
2010-04-08,2.809999942779541
2010-04-09,2.7300000190734863
2010-04-12,2.7899999618530273
2010-04-13,2.7899999618530273
2010-04-14,3.0999999046325684
2010-04-15,3.200000047683716
2010-04-16,3.109999895095825
2010-04-19,3.1500000953674316
2010-04-20,3.25
2010-04-21,3.259999990463257
2010-04-22,3.380000114440918
2010-04-23,3.380000114440918
2010-04-26,3.380000114440918
2010-04-27,3.180000066757202
2010-04-28,3.259999990463257
2010-04-29,3.2200000286102295
2010-04-30,3.2100000381469727
2010-05-03,3.1600000858306885
2010-05-04,2.930000066757202
2010-05-05,2.6600000858306885
2010-05-06,2.6700000762939453
2010-05-07,2.4800000190734863
2010-05-10,2.5199999809265137
2010-05-11,2.5899999141693115
2010-05-12,2.9000000953674316
2010-05-13,2.9000000953674316
2010-05-14,2.7100000381469727
2010-05-17,2.859999895095825
2010-05-18,2.9600000381469727
2010-05-19,2.890000104904175
2010-05-20,2.630000114440918
2010-05-21,2.7200000286102295
2010-05-24,2.7300000190734863
2010-05-25,3.4000000953674316
2010-05-26,4.090000152587891
2010-05-27,4.090000152587891
2010-05-28,4.0
2010-06-01,4.0
2010-06-02,4.449999809265137
2010-06-03,4.840000152587891
2010-06-04,4.420000076293945
2010-06-07,4.260000228881836
2010-06-08,4.079999923706055
2010-06-09,4.199999809265137
2010-06-10,4.650000095367432
2010-06-11,4.639999866485596
2010-06-14,4.510000228881836
2010-06-15,4.699999809265137
2010-06-16,5.369999885559082
2010-06-17,5.570000171661377
2010-06-18,5.5
2010-06-21,5.699999809265137
2010-06-22,5.559999942779541
2010-06-23,5.550000190734863
2010-06-24,5.739999771118164
2010-06-25,6.159999847412109
