Date,DBI
2010-01-04,8.603205680847168
2010-01-05,8.77971363067627
2010-01-06,8.701261520385742
2010-01-07,8.694727897644043
2010-01-08,8.580324172973633
2010-01-11,8.33517074584961
2010-01-12,8.384201049804688
2010-01-13,8.534564018249512
2010-01-14,8.48226261138916
2010-01-15,8.505141258239746
2010-01-19,8.59339714050293
2010-01-20,8.645699501037598
2010-01-21,8.377664566040039
2010-01-22,7.821985721588135
2010-01-25,8.125977516174316
2010-01-26,8.008299827575684
2010-01-27,8.155393600463867
2010-01-28,8.024646759033203
2010-01-29,7.877551555633545
2010-02-01,8.214228630065918
2010-02-02,8.573784828186035
2010-02-03,8.648963928222656
2010-02-04,8.325364112854004
2010-02-05,8.171736717224121
2010-02-08,8.14885139465332
2010-02-09,8.727416038513184
2010-02-10,8.63915729522705
2010-02-11,8.89738941192627
2010-02-12,8.910462379455566
2010-02-16,9.051015853881836
2010-02-17,8.570518493652344
2010-02-18,8.707801818847656
2010-02-19,8.737220764160156
2010-02-22,8.681652069091797
2010-02-23,8.557442665100098
2010-02-24,8.678383827209473
2010-02-25,8.802595138549805
2010-02-26,8.802595138549805
2010-03-01,9.11312198638916
2010-03-02,9.188301086425781
2010-03-03,9.132732391357422
2010-03-04,9.234064102172852
2010-03-05,9.240599632263184
2010-03-08,9.204645156860352
2010-03-09,9.361543655395508
2010-03-10,9.469404220581055
2010-03-11,9.515170097351074
2010-03-12,9.570735931396484
2010-03-15,9.619768142700195
2010-03-16,8.606473922729492
2010-03-17,8.34824275970459
2010-03-18,8.62608528137207
2010-03-19,8.35478401184082
2010-03-22,8.44957160949707
2010-03-23,8.668578147888184
2010-03-24,8.697996139526367
2010-03-25,8.54763412475586
2010-03-26,8.58359146118164
2010-03-29,8.42015552520752
2010-03-30,8.387471199035645
2010-03-31,8.344976425170898
2010-04-01,8.42015552520752
2010-04-05,8.400542259216309
2010-04-06,8.554176330566406
2010-04-07,8.436501502990723
2010-04-08,8.508410453796387
2010-04-09,8.524755477905273
2010-04-12,8.508410453796387
2010-04-13,8.642427444458008
2010-04-14,9.051015853881836
2010-04-15,9.0281343460083
2010-04-16,9.02486515045166
2010-04-19,8.792790412902832
2010-04-20,8.861429214477539
2010-04-21,9.044476509094238
2010-04-22,9.149076461791992
2010-04-23,9.145806312561035
2010-04-26,9.060821533203125
2010-04-27,10.535001754760742
2010-04-28,10.067580223083496
2010-04-29,10.312726974487305
2010-04-30,9.871455192565918
2010-05-03,10.136219024658203
2010-05-04,9.681872367858887
2010-05-05,9.691679000854492
2010-05-06,9.315778732299805
2010-05-07,8.864700317382812
2010-05-10,9.61323356628418
2010-05-11,10.126415252685547
2010-05-12,10.257165908813477
2010-05-13,9.855113983154297
2010-05-14,9.639378547668457
2010-05-17,9.528244972229004
2010-05-18,9.32558536529541
2010-05-19,9.35500431060791
2010-05-20,8.861429214477539
2010-05-21,8.995444297790527
2010-05-24,8.910462379455566
2010-05-25,9.786470413208008
2010-05-26,9.449797630310059
2010-05-27,9.547859191894531
2010-05-28,9.439990043640137
2010-06-01,8.962759971618652
2010-06-02,8.763367652893066
2010-06-03,8.812397003173828
2010-06-04,8.243647575378418
2010-06-07,7.949462890625
2010-06-08,8.207691192626953
2010-06-09,8.207691192626953
2010-06-10,8.635890007019043
2010-06-11,8.717606544494629
2010-06-14,8.848355293273926
2010-06-15,8.894118309020996
2010-06-16,8.711071014404297
2010-06-17,8.505141258239746
2010-06-18,8.243647575378418
2010-06-21,8.070409774780273
2010-06-22,7.9102396965026855
2010-06-23,7.805642604827881
2010-06-24,7.743536949157715
2010-06-25,7.887358665466309
2010-06-28,8.001762390136719
2010-06-29,7.302260875701904
2010-06-30,7.341487407684326
2010-07-01,7.223814010620117
2010-07-02,7.282652378082275
2010-07-06,7.164978981018066
