Date,TTEK
2010-01-04,5.063236713409424
2010-01-05,5.0084991455078125
2010-01-06,4.9574079513549805
2010-01-07,4.988426685333252
2010-01-08,4.986603736877441
2010-01-11,4.979304313659668
2010-01-12,4.968355655670166
2010-01-13,4.973831653594971
2010-01-14,4.95923376083374
2010-01-15,4.884426116943359
2010-01-19,4.977479934692383
2010-01-20,4.8442840576171875
2010-01-21,4.722036838531494
2010-01-22,4.6563520431518555
2010-01-25,4.576069355010986
2010-01-26,4.5103864669799805
2010-01-27,4.574244022369385
2010-01-28,3.7860231399536133
2010-01-29,4.130870819091797
2010-02-01,4.0013251304626465
2010-02-02,3.931989908218384
2010-02-03,3.8754289150238037
2010-02-04,3.8060929775238037
2010-02-05,3.7933225631713867
2010-02-08,3.702091932296753
2010-02-09,3.8042681217193604
2010-02-10,3.81339168548584
2010-02-11,3.8827269077301025
2010-02-12,3.8608312606811523
2010-02-16,3.9374639987945557
2010-02-17,3.913743257522583
2010-02-18,3.9776062965393066
2010-02-19,4.010446071624756
2010-02-22,3.9210424423217773
2010-02-23,3.8845503330230713
2010-02-24,3.851708173751831
2010-02-25,3.8608312606811523
2010-02-26,3.8170409202575684
2010-03-01,3.7002668380737305
2010-03-02,3.8188655376434326
2010-03-03,3.8042681217193604
2010-03-04,3.78419828414917
2010-03-05,3.851708173751831
2010-03-08,3.8243391513824463
2010-03-09,3.7878470420837402
2010-03-10,3.835286855697632
2010-03-11,3.849883794784546
2010-03-12,3.809743642807007
2010-03-15,3.7969703674316406
2010-03-16,3.789670467376709
2010-03-17,3.789670467376709
2010-03-18,3.7860231399536133
2010-03-19,3.988551616668701
2010-03-22,4.129047870635986
2010-03-23,4.22392463684082
2010-03-24,4.211152076721191
2010-03-25,4.139993190765381
2010-03-26,4.187433242797852
2010-03-29,4.169185161590576
2010-03-30,4.154589653015137
2010-03-31,4.203853607177734
2010-04-01,4.275012493133545
2010-04-05,4.307855606079102
2010-04-06,4.3516459465026855
2010-04-07,4.30238151550293
2010-04-08,4.254940509796143
2010-04-09,4.214801788330078
2010-04-12,4.178309440612793
2010-04-13,4.15093994140625
2010-04-14,4.154589653015137
2010-04-15,4.145466327667236
2010-04-16,4.088905334472656
2010-04-19,4.048763751983643
2010-04-20,4.096203804016113
2010-04-21,4.092555046081543
2010-04-22,4.143642425537109
2010-04-23,4.22027587890625
2010-04-26,4.22027587890625
2010-04-27,4.1126251220703125
2010-04-28,4.130870819091797
2010-04-29,4.256766319274902
2010-04-30,4.448349952697754
2010-05-03,4.5523505210876465
2010-05-04,4.424628257751465
2010-05-05,4.393610000610352
2010-05-06,4.207502841949463
2010-05-07,4.096203804016113
2010-05-10,4.316977500915527
2010-05-11,4.249467849731445
2010-05-12,4.428277015686035
2010-05-13,4.459295749664307
2010-05-14,4.349820137023926
2010-05-17,4.419155597686768
2010-05-18,4.313329219818115
2010-05-19,4.262239933013916
2010-05-20,4.0359907150268555
2010-05-21,4.017744064331055
2010-05-24,4.014096736907959
2010-05-25,3.9940266609191895
2010-05-26,3.972132444381714
2010-05-27,4.123571395874023
2010-05-28,4.136344909667969
2010-06-01,3.968482494354248
2010-06-02,4.043290138244629
2010-06-03,4.103500843048096
2010-06-04,3.8681302070617676
2010-06-07,3.725811004638672
2010-06-08,3.742231845855713
2010-06-09,3.7312850952148438
2010-06-10,3.846233367919922
2010-06-11,3.831637144088745
2010-06-14,3.906444549560547
2010-06-15,3.9849014282226562
2010-06-16,3.9630088806152344
2010-06-17,3.944762945175171
2010-06-18,3.9046201705932617
2010-06-21,3.9046201705932617
2010-06-22,3.849883794784546
2010-06-23,3.8334617614746094
2010-06-24,3.80244517326355
2010-06-25,3.8279879093170166
2010-06-28,3.7550060749053955
2010-06-29,3.623634099960327
2010-06-30,3.578019618988037
2010-07-01,3.49591326713562
2010-07-02,3.4794921875
2010-07-06,3.439350128173828
2010-07-07,3.450298309326172
2010-07-08,3.539703369140625
2010-07-09,3.5634238719940186
2010-07-12,3.561599016189575
2010-07-13,3.5816683769226074
2010-07-14,3.5305798053741455
2010-07-15,3.448474168777466
2010-07-16,3.3572442531585693
2010-07-19,3.3244009017944336
2010-07-20,3.4101569652557373
2010-07-21,3.3809635639190674
2010-07-22,3.384612560272217
2010-07-23,3.452122449874878
2010-07-26,3.545177459716797
2010-07-27,3.543353319168091
2010-07-28,3.459420919418335
2010-07-29,3.922868251800537
2010-07-30,3.8261632919311523
2010-08-02,3.906444549560547
2010-08-03,3.877250909805298
2010-08-04,3.8170409202575684
2010-08-05,3.807918071746826
2010-08-06,3.7860231399536133
2010-08-09,3.8206913471221924
2010-08-10,3.694793701171875
2010-08-11,3.5324044227600098
2010-08-12,3.5816683769226074
2010-08-13,3.6874947547912598
2010-08-16,3.680196762084961
2010-08-17,3.7312850952148438
2010-08-18,3.7294600009918213
2010-08-19,3.6291086673736572
2010-08-20,3.543353319168091
2010-08-23,3.5305798053741455
2010-08-24,3.39920973777771
2010-08-25,3.421104907989502
2010-08-26,3.3535966873168945
2010-08-27,3.4101569652557373
2010-08-30,3.349946975708008
2010-08-31,3.3116300106048584
2010-09-01,3.4247541427612305
2010-09-02,3.401034355163574
2010-09-03,3.486790418624878
2010-09-07,3.4156312942504883
2010-09-08,3.4557716846466064
2010-09-09,3.5032124519348145
2010-09-10,3.501387596130371
2010-09-13,3.5761947631835938
2010-09-14,3.6181609630584717
2010-09-15,3.651003122329712
2010-09-16,3.614511489868164
2010-09-17,3.651003122329712
2010-09-20,3.7221617698669434
2010-09-21,3.6783719062805176
