Date,AU
2010-01-04,35.049808502197266
2010-01-05,35.5984992980957
2010-01-06,36.7291374206543
2010-01-07,36.31346130371094
2010-01-08,36.7291374206543
2010-01-11,36.71250915527344
2010-01-12,34.70895004272461
2010-01-13,35.35740661621094
2010-01-14,34.91679000854492
2010-01-15,33.92747497558594
2010-01-19,33.894222259521484
2010-01-20,32.6721305847168
2010-01-21,32.2564582824707
2010-01-22,32.23152160644531
2010-01-25,31.757648468017578
2010-01-26,31.616317749023438
2010-01-27,31.200641632080078
2010-01-28,31.067628860473633
2010-01-29,29.67095375061035
2010-02-01,30.793285369873047
2010-02-02,31.134130477905273
2010-02-03,30.643640518188477
2010-02-04,29.587820053100586
2010-02-05,30.976171493530273
2010-02-08,29.762392044067383
2010-02-09,31.11750030517578
2010-02-10,30.73508644104004
2010-02-11,32.14007568359375
2010-02-12,31.657878875732422
2010-02-16,32.60562515258789
2010-02-17,31.890666961669922
2010-02-18,31.009431838989258
2010-02-19,30.485679626464844
2010-02-22,29.828920364379883
2010-02-23,28.972620010375977
2010-02-24,28.86454200744629
2010-02-25,29.928672790527344
2010-02-26,30.244590759277344
2010-03-01,30.0284423828125
2010-03-02,30.74339485168457
2010-03-03,31.325345993041992
2010-03-04,31.150760650634766
2010-03-05,31.840791702270508
2010-03-08,31.474994659423828
2010-03-09,31.10919761657715
2010-03-10,31.027524948120117
2010-03-11,31.31920623779297
2010-03-12,31.152530670166016
2010-03-15,31.344209671020508
2010-03-16,32.01094436645508
2010-03-17,32.25262451171875
2010-03-18,32.444297790527344
2010-03-19,32.077606201171875
2010-03-22,32.04427719116211
2010-03-23,32.177616119384766
2010-03-24,30.66915512084961
2010-03-25,30.102453231811523
2010-03-26,31.085857391357422
2010-03-29,31.594226837158203
2010-03-30,31.177528381347656
2010-03-31,31.6275691986084
2010-04-01,33.04435348510742
2010-04-05,33.60273361206055
2010-04-06,33.63605880737305
2010-04-07,34.2611198425293
2010-04-08,33.91941833496094
2010-04-09,34.33613586425781
2010-04-12,33.877750396728516
2010-04-13,33.302703857421875
2010-04-14,33.511051177978516
2010-04-15,33.069358825683594
2010-04-16,32.152610778808594
2010-04-19,32.360965728759766
2010-04-20,32.24427795410156
2010-04-21,32.31930160522461
2010-04-22,32.502647399902344
2010-04-23,33.28602981567383
2010-04-26,33.5527229309082
2010-04-27,33.70273971557617
2010-04-28,34.202781677246094
2010-04-29,34.694488525390625
2010-04-30,34.88616943359375
2010-05-03,34.994510650634766
2010-05-04,34.702823638916016
2010-05-05,34.11110305786133
2010-05-06,34.11943817138672
2010-05-07,34.17778015136719
2010-05-10,34.84449768066406
2010-05-11,36.04459762573242
2010-05-12,36.027923583984375
2010-05-13,35.644569396972656
2010-05-14,35.80290985107422
2010-05-17,35.40287399291992
2010-05-18,34.994510650634766
2010-05-19,34.036094665527344
2010-05-20,32.76932907104492
2010-05-21,32.43596649169922
2010-05-24,32.46931076049805
2010-05-25,33.85274887084961
2010-05-26,35.23619842529297
2010-05-27,35.37787628173828
2010-05-28,34.93617248535156
2010-06-01,34.6278190612793
2010-06-02,35.694557189941406
2010-06-03,35.47787857055664
2010-06-04,34.727821350097656
2010-06-07,35.86957931518555
2010-06-08,35.32786560058594
2010-06-09,35.09452438354492
2010-06-10,35.37787628173828
2010-06-11,35.23619842529297
2010-06-14,35.219520568847656
2010-06-15,36.319610595703125
2010-06-16,36.38629150390625
2010-06-17,37.336360931396484
2010-06-18,37.32802963256836
2010-06-21,36.46963119506836
