Date,HCI
2010-01-04,4.85947847366333
2010-01-05,4.85947847366333
2010-01-06,4.706331253051758
2010-01-07,4.712221145629883
2010-01-08,4.712221145629883
2010-01-11,4.735783576965332
2010-01-12,4.712221145629883
2010-01-13,4.771124839782715
2010-01-14,4.771124839782715
2010-01-15,4.718112468719482
2010-01-19,4.718112468719482
2010-01-20,4.682767391204834
2010-01-21,4.617976665496826
2010-01-22,4.541403770446777
2010-01-25,4.682767391204834
2010-01-26,4.647428512573242
2010-01-27,4.623865127563477
2010-01-28,4.653317928314209
2010-01-29,4.476609706878662
2010-02-01,4.506062030792236
2010-02-02,4.500171661376953
2010-02-03,4.506062030792236
2010-02-04,4.429488182067871
2010-02-05,4.376474857330322
2010-02-08,4.5649638175964355
2010-02-09,4.529622554779053
2010-02-10,4.476609706878662
2010-02-11,4.535511493682861
2010-02-12,4.5590739250183105
2010-02-16,4.5649638175964355
2010-02-17,4.612086296081543
2010-02-18,4.541403770446777
2010-02-19,4.541403770446777
2010-02-22,4.48838996887207
2010-02-23,4.5649638175964355
2010-02-24,4.5649638175964355
2010-02-25,4.553182601928711
2010-02-26,4.78290319442749
2010-03-01,4.724001407623291
2010-03-02,4.741674423217773
2010-03-03,4.665098667144775
2010-03-04,4.665098667144775
2010-03-05,4.712221145629883
2010-03-08,4.712221145629883
2010-03-09,4.771124839782715
2010-03-10,4.635648250579834
2010-03-11,4.612086296081543
2010-03-12,4.617976665496826
2010-03-15,4.382365703582764
2010-03-16,4.388254642486572
2010-03-17,4.299901962280273
2010-03-18,4.129084587097168
2010-03-19,4.105523586273193
2010-03-22,4.111412048339844
2010-03-23,4.140865325927734
2010-03-24,4.087851047515869
2010-03-25,4.123191833496094
2010-03-26,3.887582778930664
2010-03-29,3.7874467372894287
2010-03-30,3.7992286682128906
2010-03-31,3.828679084777832
2010-04-01,3.7992286682128906
2010-04-05,3.7992286682128906
2010-04-06,3.8345696926116943
2010-04-07,3.852240800857544
2010-04-08,4.182096004486084
2010-04-09,4.240999698638916
2010-04-12,4.152644634246826
2010-04-13,4.105523586273193
2010-04-14,4.117303848266602
2010-04-15,4.064291477203369
2010-04-16,3.9700467586517334
2010-04-19,4.005387783050537
2010-04-20,4.046620845794678
2010-04-21,4.052510738372803
