Date,CSR
2010-01-04,37.632423400878906
2010-01-05,36.16731643676758
2010-01-06,35.41382598876953
2010-01-07,35.79057693481445
2010-01-08,35.91615676879883
2010-01-11,35.874298095703125
2010-01-12,36.12546157836914
2010-01-13,36.878944396972656
2010-01-14,37.171974182128906
2010-01-15,37.42314147949219
2010-01-19,38.176612854003906
2010-01-20,37.0882568359375
2010-01-21,36.29290008544922
2010-01-22,36.08359909057617
2010-01-25,36.46033477783203
2010-01-26,36.04175567626953
2010-01-27,36.92080307006836
2010-01-28,36.20918273925781
2010-01-29,36.5440673828125
2010-02-01,36.16731643676758
2010-02-02,35.91615676879883
2010-02-03,35.91615676879883
2010-02-04,35.16266632080078
2010-02-05,35.62312698364258
2010-02-08,34.78593826293945
2010-02-09,34.91152572631836
2010-02-10,35.28825759887695
2010-02-11,35.497562408447266
2010-02-12,35.79057693481445
2010-02-16,36.25104522705078
2010-02-17,36.46033477783203
2010-02-18,36.79523468017578
2010-02-19,37.171974182128906
2010-02-22,37.33941650390625
2010-02-23,37.38126754760742
2010-02-24,37.716156005859375
2010-02-25,37.79987335205078
2010-02-26,37.42314147949219
2010-03-01,37.75801086425781
2010-03-02,38.009185791015625
2010-03-03,37.5487060546875
2010-03-04,38.05103302001953
2010-03-05,38.55335235595703
2010-03-08,39.1394157409668
2010-03-09,39.22312927246094
2010-03-10,39.22312927246094
2010-03-11,39.14637756347656
2010-03-12,39.14637756347656
2010-03-15,38.67728805541992
2010-03-16,38.67728805541992
2010-03-17,38.20820999145508
2010-03-18,38.421443939208984
2010-03-19,38.54935836791992
2010-03-22,38.71994400024414
2010-03-23,38.933162689208984
2010-03-24,38.506710052490234
2010-03-25,38.421443939208984
2010-03-26,38.29350662231445
2010-03-29,38.67728805541992
2010-03-30,38.805213928222656
2010-03-31,38.464088439941406
2010-04-01,38.464088439941406
2010-04-05,38.84785842895508
2010-04-06,38.16557693481445
2010-04-07,37.824432373046875
2010-04-08,37.7391471862793
2010-04-09,38.03764343261719
2010-04-12,37.78178024291992
2010-04-13,37.952362060546875
2010-04-14,37.824432373046875
2010-04-15,37.48329162597656
2010-04-16,37.270076751708984
2010-04-19,36.88628005981445
