Date,DHIL
2010-01-04,25.532264709472656
2010-01-05,25.30735969543457
2010-01-06,24.76285171508789
2010-01-07,25.358652114868164
2010-01-08,25.03905487060547
2010-01-11,25.551984786987305
2010-01-12,25.046945571899414
2010-01-13,25.078510284423828
2010-01-14,25.42572784423828
2010-01-15,25.51253318786621
2010-01-19,25.38626480102539
2010-01-20,25.19293212890625
2010-01-21,24.798368453979492
2010-01-22,24.751018524169922
2010-01-25,24.68394660949707
2010-01-26,24.415637969970703
2010-01-27,24.194679260253906
2010-01-28,24.017131805419922
2010-01-29,23.176708221435547
2010-02-01,23.53575897216797
2010-02-02,22.45071029663086
2010-02-03,22.90446662902832
2010-02-04,22.54935646057129
2010-02-05,22.052202224731445
2010-02-08,21.645803451538086
2010-02-09,22.74268913269043
2010-02-10,22.49016761779785
2010-02-11,22.766361236572266
2010-02-12,23.516036987304688
2010-02-16,24.38407325744629
2010-02-17,24.352516174316406
2010-02-18,24.62081527709961
2010-02-19,25.114023208618164
2010-02-22,25.275794982910156
2010-02-23,25.623010635375977
2010-02-24,25.82818031311035
2010-02-25,25.587499618530273
2010-02-26,25.188987731933594
2010-03-01,25.275794982910156
2010-03-02,25.776893615722656
2010-03-03,26.001792907714844
2010-03-04,26.238529205322266
2010-03-05,27.619504928588867
2010-03-08,28.006174087524414
2010-03-09,28.00223159790039
2010-03-10,28.025911331176758
2010-03-11,28.124544143676758
2010-03-12,27.52481460571289
2010-03-15,27.62738800048828
2010-03-16,27.816791534423828
2010-03-17,27.93910026550293
2010-03-18,27.74576759338379
2010-03-19,26.881669998168945
2010-03-22,27.370933532714844
2010-03-23,27.394601821899414
2010-03-24,27.81284523010254
2010-03-25,27.66290283203125
2010-03-26,27.706317901611328
2010-03-29,27.220993041992188
2010-03-30,27.572153091430664
2010-03-31,27.067113876342773
2010-04-01,27.599773406982422
2010-04-05,28.21529769897461
2010-04-06,27.69447135925293
2010-04-07,27.473514556884766
2010-04-08,27.615549087524414
2010-04-09,27.737876892089844
2010-04-12,27.68657875061035
2010-04-13,27.68657875061035
2010-04-14,27.753660202026367
2010-04-15,27.82862091064453
2010-04-16,28.014068603515625
2010-04-19,28.3297176361084
2010-04-20,28.605924606323242
2010-04-21,29.185928344726562
2010-04-22,29.805389404296875
2010-04-23,29.568655014038086
2010-04-26,30.073698043823242
2010-04-27,29.229328155517578
2010-04-28,29.592327117919922
2010-04-29,32.129371643066406
2010-04-30,30.79179573059082
2010-05-03,31.166645050048828
2010-05-04,30.369619369506836
2010-05-05,29.98294448852539
2010-05-06,28.152162551879883
2010-05-07,27.224937438964844
2010-05-10,27.619504928588867
2010-05-11,27.733930587768555
2010-05-12,28.81109046936035
2010-05-13,28.67694091796875
2010-05-14,27.51691436767578
2010-05-17,27.236778259277344
2010-05-18,27.071067810058594
2010-05-19,26.09648323059082
2010-05-20,24.411693572998047
2010-05-21,24.960140228271484
2010-05-24,24.853618621826172
2010-05-25,24.301218032836914
2010-05-26,24.971975326538086
2010-05-27,26.850107192993164
2010-05-28,26.029409408569336
2010-06-01,24.510337829589844
2010-06-02,25.074565887451172
2010-06-03,24.565576553344727
2010-06-04,23.677810668945312
2010-06-07,23.37794303894043
2010-06-08,23.026779174804688
2010-06-09,24.23808479309082
2010-06-10,25.121910095214844
2010-06-11,25.019325256347656
2010-06-14,24.068429946899414
2010-06-15,25.133743286132812
