Date,PINC
2013-09-26,26.103994369506836
2013-09-27,26.989742279052734
2013-09-30,26.998258590698242
2013-10-01,26.231746673583984
2013-10-02,26.112512588500977
2013-10-03,26.45317840576172
2013-10-04,26.504283905029297
2013-10-07,26.3935604095459
2013-10-08,26.018827438354492
2013-10-09,25.976240158081055
2013-10-10,25.933658599853516
2013-10-11,25.771841049194336
2013-10-14,26.112512588500977
2013-10-15,26.325429916381836
2013-10-16,26.742748260498047
2013-10-17,26.65758514404297
2013-10-18,26.964191436767578
2013-10-21,26.180644989013672
2013-10-22,26.461694717407227
2013-10-23,26.504283905029297
2013-10-24,26.78533363342285
2013-10-25,26.751277923583984
2013-10-28,27.2111759185791
2013-10-29,27.177112579345703
2013-10-30,27.168598175048828
2013-10-31,26.240262985229492
2013-11-01,26.325429916381836
2013-11-04,26.981224060058594
2013-11-05,26.674617767333984
2013-11-06,26.60648536682129
2013-11-07,26.368011474609375
2013-11-08,26.385051727294922
2013-11-11,26.529834747314453
2013-11-12,26.40208625793457
2013-11-13,26.461694717407227
2013-11-14,26.529834747314453
2013-11-15,26.5468692779541
2013-11-18,26.51279640197754
2013-11-19,26.427627563476562
2013-11-20,26.529834747314453
2013-11-21,26.47873306274414
2013-11-22,26.56390380859375
2013-11-25,26.470216751098633
2013-11-26,26.419116973876953
2013-11-27,27.458168029785156
2013-11-29,28.02879524230957
2013-12-02,29.34038734436035
2013-12-03,30.021711349487305
2013-12-04,29.808801651000977
2013-12-05,30.234643936157227
2013-12-06,30.515701293945312
2013-12-09,31.256656646728516
2013-12-10,30.66047477722168
2013-12-11,30.643444061279297
2013-12-12,30.839336395263672
2013-12-13,31.205551147460938
2013-12-16,31.852846145629883
2013-12-17,31.554746627807617
2013-12-18,32.12537384033203
2013-12-19,32.31273651123047
2013-12-20,32.576759338378906
2013-12-23,32.12537384033203
2013-12-24,32.431983947753906
2013-12-26,31.716562271118164
2013-12-27,32.37235641479492
2013-12-30,31.750635147094727
2013-12-31,31.307758331298828
2014-01-02,30.77971649169922
2014-01-03,31.12890625
2014-01-06,31.15445899963379
2014-01-07,31.214073181152344
2014-01-08,31.87838363647461
2014-01-09,32.73857879638672
2014-01-10,32.47455978393555
2014-01-13,31.716562271118164
2014-01-14,31.231098175048828
2014-01-15,32.04872131347656
2014-01-16,32.29570388793945
2014-01-17,32.2786750793457
2014-01-21,32.19350814819336
2014-01-22,31.588815689086914
2014-01-23,31.290725708007812
2014-01-24,30.217607498168945
