Date,MCHP
2010-01-04,9.675114631652832
2010-01-05,9.52259349822998
2010-01-06,9.443016052246094
2010-01-07,9.393279075622559
2010-01-08,9.44964599609375
2010-01-11,9.436383247375488
2010-01-12,9.280546188354492
2010-01-13,9.36012077331543
2010-01-14,9.293808937072754
2010-01-15,9.0816068649292
2010-01-19,9.2042875289917
2010-01-20,9.118078231811523
2010-01-21,9.028559684753418
2010-01-22,8.69035816192627
2010-01-25,8.766621589660645
2010-01-26,8.7633056640625
2010-01-27,8.832931518554688
2010-01-28,8.750043869018555
2010-01-29,8.557733535766602
2010-02-01,8.789830207824707
2010-02-02,8.806410789489746
2010-02-03,8.925774574279785
2010-02-04,8.60414981842041
2010-02-05,8.713568687438965
2010-02-08,8.713568687438965
2010-02-09,8.756671905517578
2010-02-10,8.83956241607666
2010-02-11,9.015295028686523
2010-02-12,9.028559684753418
2010-02-16,9.13298225402832
2010-02-17,9.085976600646973
2010-02-18,9.15648365020752
2010-02-19,9.203495025634766
2010-02-22,9.092690467834473
2010-02-23,9.025538444519043
2010-02-24,9.163203239440918
2010-02-25,9.106122970581055
2010-02-26,9.085976600646973
2010-03-01,9.23036003112793
2010-03-02,9.163203239440918
2010-03-03,9.069188117980957
2010-03-04,9.065831184387207
2010-03-05,9.153127670288086
2010-03-08,9.096051216125488
2010-03-09,9.038966178894043
2010-03-10,9.159842491149902
2010-03-11,9.237070083618164
2010-03-12,9.478828430175781
2010-03-15,9.347871780395508
2010-03-16,9.519121170043945
2010-03-17,9.606422424316406
2010-03-18,9.559412956237793
2010-03-19,9.48554515838623
2010-03-22,9.66685962677002
2010-03-23,9.760875701904297
2010-03-24,9.589629173278809
2010-03-25,9.569485664367676
2010-03-26,9.545982360839844
2010-03-29,9.589629173278809
2010-03-30,9.545982360839844
2010-03-31,9.455324172973633
2010-04-01,9.532550811767578
2010-04-05,9.626566886901855
2010-04-06,9.633284568786621
2010-04-07,9.639998435974121
2010-04-08,9.556055068969727
2010-04-09,9.616491317749023
2010-04-12,9.646712303161621
2010-04-13,9.770950317382812
2010-04-14,10.207453727722168
2010-04-15,10.163803100585938
2010-04-16,10.120149612426758
2010-04-19,10.032848358154297
2010-04-20,10.257818222045898
2010-04-21,10.120149612426758
2010-04-22,10.234312057495117
2010-04-23,10.274603843688965
2010-04-26,10.281317710876465
2010-04-27,9.975769996643066
2010-04-28,10.069784164428711
2010-04-29,10.18730354309082
2010-04-30,9.807880401611328
2010-05-03,9.962340354919434
2010-05-04,9.680290222167969
2010-05-05,9.734015464782715
2010-05-06,9.371376991271973
2010-05-07,9.334444046020508
2010-05-10,9.693721771240234
2010-05-11,9.639998435974121
2010-05-12,9.807880401611328
2010-05-13,9.633284568786621
2010-05-14,9.428462028503418
2010-05-17,9.609294891357422
2010-05-18,9.3645601272583
2010-05-19,9.412147521972656
2010-05-20,9.123220443725586
2010-05-21,9.299975395202637
2010-05-24,9.106228828430176
2010-05-25,9.126619338989258
2010-05-26,9.075634002685547
2010-05-27,9.54471206665039
2010-05-28,9.466531753540039
2010-06-01,9.296578407287598
2010-06-02,9.503920555114746
2010-06-03,9.595698356628418
2010-06-04,9.282977104187012
2010-06-07,9.045042991638184
2010-06-08,9.15041732788086
2010-06-09,9.177606582641602
2010-06-10,9.425741195678711
2010-06-11,9.60589599609375
2010-06-14,9.639887809753418
2010-06-15,10.027385711669922
2010-06-16,10.078370094299316
2010-06-17,10.095366477966309
2010-06-18,10.095366477966309
2010-06-21,9.969600677490234
2010-06-22,9.843832015991211
2010-06-23,9.922014236450195
2010-06-24,9.769054412841797
2010-06-25,9.809839248657227
2010-06-28,9.908422470092773
2010-06-29,9.486924171447754
2010-06-30,9.429140090942383
2010-07-01,9.497127532958984
2010-07-02,9.38155460357666
2010-07-06,9.47673225402832
2010-07-07,9.911816596984863
2010-07-08,9.894816398620605
2010-07-09,9.935609817504883
2010-07-12,10.03418254852295
2010-07-13,10.166749954223633
2010-07-14,10.19054126739502
2010-07-15,10.234732627868652
2010-07-16,9.983200073242188
2010-07-19,10.275520324707031
2010-07-20,10.25512409210205
2010-07-21,10.044379234313965
2010-07-22,10.391090393066406
2010-07-23,10.462471008300781
2010-07-26,10.714006423950195
2010-07-27,10.635830879211426
2010-07-28,10.537251472473145
2010-07-29,10.326505661010742
2010-07-30,10.350298881530762
2010-08-02,10.418283462524414
2010-08-03,10.401286125183105
2010-08-04,10.340105056762695
2010-08-05,10.455673217773438
2010-08-06,10.370697021484375
2010-08-09,10.47266960144043
2010-08-10,10.333307266235352
2010-08-11,9.952605247497559
2010-08-12,9.833633422851562
2010-08-13,9.779253005981445
2010-08-16,9.809839248657227
2010-08-17,10.013832092285156
2010-08-18,10.055115699768066
2010-08-19,9.893437385559082
2010-08-20,9.841835021972656
2010-08-23,9.800554275512695
2010-08-24,9.831514358520508
2010-08-25,9.841835021972656
2010-08-26,9.700793266296387
2010-08-27,9.879673957824707
2010-08-30,9.721435546875
2010-08-31,9.539113998413086
2010-09-01,9.755834579467773
2010-09-02,9.821196556091309
2010-09-03,10.096392631530762
2010-09-07,9.879673957824707
2010-09-08,9.855596542358398
2010-09-09,9.989753723144531
2010-09-10,9.645750999450684
2010-09-13,9.934710502624512
2010-09-14,10.092955589294434
2010-09-15,10.044798851013184
2010-09-16,10.103278160095215
2010-09-17,10.223671913146973
2010-09-20,10.419754028320312
2010-09-21,10.381918907165527
2010-09-22,10.134231567382812
2010-09-23,10.134231567382812
2010-09-24,10.529833793640137
2010-09-27,10.595195770263672
2010-09-28,10.777514457702637
