Date,HBAN
2010-01-04,2.1889278888702393
2010-01-05,2.2365124225616455
2010-01-06,2.295994520187378
2010-01-07,2.5517654418945312
2010-01-08,2.5101284980773926
2010-01-11,2.5755579471588135
2010-01-12,2.504180908203125
2010-01-13,2.5636627674102783
2010-01-14,2.623143434524536
2010-01-15,2.545816659927368
2010-01-19,2.5577142238616943
2010-01-20,2.5517654418945312
2010-01-21,2.694521903991699
2010-01-22,2.789694309234619
2010-01-25,2.8551228046417236
2010-01-26,2.736159086227417
2010-01-27,2.902707576751709
2010-01-28,2.9681386947631836
2010-01-29,2.8491740226745605
2010-02-01,2.914604902267456
2010-02-02,2.9324488639831543
2010-02-03,2.8015878200531006
2010-02-04,2.700470447540283
2010-02-05,2.7540037631988525
2010-02-08,2.7242629528045654
2010-02-09,2.765899896621704
2010-02-10,2.8015878200531006
2010-02-11,2.8491740226745605
2010-02-12,2.783743381500244
2010-02-16,2.867018938064575
2010-02-17,2.831329345703125
2010-02-18,2.807537794113159
2010-02-19,2.884864330291748
2010-02-22,2.9324488639831543
2010-02-23,2.8610711097717285
2010-02-24,2.9086556434631348
2010-02-25,2.8551228046417236
2010-02-26,2.8610711097717285
2010-03-01,2.8551228046417236
2010-03-02,2.872967481613159
2010-03-03,2.8610711097717285
2010-03-04,2.8610711097717285
2010-03-05,2.950294256210327
2010-03-08,2.950294256210327
2010-03-09,2.991931200027466
2010-03-10,3.1227903366088867
2010-03-11,3.2120118141174316
2010-03-12,3.253650665283203
2010-03-15,3.217961072921753
2010-03-16,3.2954325675964355
2010-03-17,3.432490825653076
2010-03-18,3.2775518894195557
2010-03-19,3.1702871322631836
2010-03-22,3.259676218032837
2010-03-23,3.2656338214874268
2010-03-24,3.2656338214874268
2010-03-25,3.2775518894195557
2010-03-26,3.259676218032837
2010-03-29,3.2477564811706543
2010-03-30,3.2239201068878174
2010-03-31,3.212001085281372
2010-04-01,3.212001085281372
2010-04-05,3.2954325675964355
2010-04-06,3.4861245155334473
2010-04-07,3.5099613666534424
2010-04-08,3.5159196853637695
2010-04-09,3.4920828342437744
2010-04-12,3.5933899879455566
2010-04-13,3.3907761573791504
2010-04-14,3.5040013790130615
2010-04-15,3.4265315532684326
2010-04-16,3.313307523727417
2010-04-19,3.2715935707092285
2010-04-20,3.474205732345581
2010-04-21,3.9271047115325928
2010-04-22,4.105881214141846
2010-04-23,4.272735118865967
2010-04-26,4.088004112243652
2010-04-27,3.980736255645752
2010-04-28,4.010533332824707
2010-04-29,4.093963146209717
2010-04-30,4.028409957885742
2010-05-03,4.099920749664307
2010-05-04,3.9747793674468994
2010-05-05,3.903268575668335
2010-05-06,3.7125730514526367
2010-05-07,3.581472158432007
2010-05-10,3.867511749267578
2010-05-11,3.8615524768829346
2010-05-12,4.034368991851807
2010-05-13,4.028409957885742
2010-05-14,3.891350030899048
2010-05-17,3.8734705448150635
2010-05-18,3.670858383178711
2010-05-19,3.6648991107940674
2010-05-20,3.4861245155334473
2010-05-21,3.718531847000122
2010-05-24,3.575512409210205
2010-05-25,3.551675796508789
2010-05-26,3.581472158432007
2010-05-27,3.718531847000122
2010-05-28,3.670858383178711
2010-06-01,3.533797025680542
2010-06-02,3.676818370819092
2010-06-03,3.641063928604126
2010-06-04,3.474205732345581
2010-06-07,3.319267511367798
2010-06-08,3.4086546897888184
2010-06-09,3.4026970863342285
2010-06-10,3.521878480911255
2010-06-11,3.641063928604126
2010-06-14,3.623185396194458
2010-06-15,3.754502534866333
2010-06-16,3.6649680137634277
2010-06-17,3.5993101596832275
2010-06-18,3.61124849319458
2010-06-21,3.61124849319458
2010-06-22,3.557525873184204
2010-06-23,3.491865396499634
2010-06-24,3.426208734512329
2010-06-25,3.5814027786254883
2010-06-28,3.5396196842193604
2010-06-29,3.36055064201355
2010-06-30,3.3068289756774902
2010-07-01,3.2411680221557617
2010-07-02,3.1874494552612305
2010-07-06,3.1755096912384033
2010-07-07,3.4381468296051025
2010-07-08,3.384425163269043
2010-07-09,3.527682065963745
2010-07-12,3.5396196842193604
2010-07-13,3.676905393600464
2010-07-14,3.605278730392456
2010-07-15,3.6589999198913574
2010-07-16,3.4202404022216797
2010-07-19,3.444115400314331
2010-07-20,3.4739603996276855
2010-07-21,3.384425163269043
2010-07-22,3.491865396499634
2010-07-23,3.617216110229492
2010-07-26,3.7664437294006348
2010-07-27,3.7962868213653564
2010-07-28,3.6948139667510986
2010-07-29,3.617216110229492
2010-07-30,3.617216110229492
2010-08-02,3.754502534866333
2010-08-03,3.7485342025756836
2010-08-04,3.7485342025756836
2010-08-05,3.7485342025756836
2010-08-06,3.73062801361084
2010-08-09,3.7783796787261963
2010-08-10,3.6530308723449707
2010-08-11,3.426208734512329
2010-08-12,3.372488021850586
2010-08-13,3.378455877304077
2010-08-16,3.3127970695495605
2010-08-17,3.2889211177825928
2010-08-18,3.2829527854919434
2010-08-19,3.2172937393188477
2010-08-20,3.2172937393188477
2010-08-23,3.2053534984588623
2010-08-24,3.103882074356079
2010-08-25,3.0979137420654297
2010-08-26,3.0919430255889893
2010-08-27,3.2471389770507812
2010-08-30,3.127758741378784
2010-08-31,3.163571834564209
2010-09-01,3.265047073364258
2010-09-02,3.390394687652588
2010-09-03,3.4142701625823975
2010-09-07,3.27101469039917
2010-09-08,3.444115400314331
2010-09-09,3.4978363513946533
2010-09-10,3.491865396499634
2010-09-13,3.6291561126708984
2010-09-14,3.623185396194458
2010-09-15,3.6291637420654297
2010-09-16,3.521545648574829
2010-09-17,3.4677345752716064
2010-09-20,3.587312936782837
