Date,PHIN
2023-06-28,34.91632843017578
2023-06-29,29.263652801513672
2023-06-30,29.716625213623047
2023-07-03,28.357715606689453
2023-07-05,34.68040466308594
2023-07-06,31.90597152709961
2023-07-07,31.37750816345215
2023-07-10,26.13062286376953
2023-07-11,25.1114444732666
2023-07-12,24.101703643798828
2023-07-13,26.224990844726562
2023-07-14,26.71570587158203
2023-07-17,26.59303092956543
2023-07-18,25.875825881958008
2023-07-19,24.65847396850586
2023-07-20,25.054821014404297
2023-07-21,25.76258087158203
2023-07-24,27.206422805786133
2023-07-25,27.3291015625
2023-07-26,26.998811721801758
2023-07-27,25.394550323486328
2023-07-28,25.80033302307129
2023-07-31,26.772327423095703
2023-08-01,27.4234676361084
2023-08-02,28.19729232788086
2023-08-03,27.215858459472656
2023-08-04,26.413726806640625
2023-08-07,26.904447555541992
2023-08-08,26.347671508789062
2023-08-09,26.621337890625
2023-08-10,27.074308395385742
2023-08-11,27.47065544128418
2023-08-14,26.828948974609375
2023-08-15,26.42316436767578
2023-08-16,25.3284912109375
2023-08-17,25.120882034301758
2023-08-18,25.026512145996094
2023-08-21,24.44142723083496
2023-08-22,24.85664939880371
2023-08-23,25.045385360717773
2023-08-24,24.96988868713379
2023-08-25,25.517229080200195
2023-08-28,25.602157592773438
2023-08-29,25.102008819580078
2023-08-30,25.290742874145508
2023-08-31,26.234426498413086
2023-09-01,26.78176498413086
2023-09-05,26.61190414428711
2023-09-06,26.404293060302734
2023-09-07,25.96076011657715
2023-09-08,26.29104995727539
2023-09-11,25.27216339111328
2023-09-12,24.900794982910156
2023-09-13,25.224550247192383
2023-09-14,25.97681427001953
2023-09-15,27.186141967773438
2023-09-18,25.872066497802734
2023-09-19,25.10076141357422
2023-09-20,25.12932777404785
2023-09-21,24.843658447265625
2023-09-22,24.62464714050293
2023-09-25,24.481813430786133
2023-09-26,23.42483901977539
2023-09-27,24.21518898010254
2023-09-28,24.681781768798828
2023-09-29,25.510221481323242
2023-10-02,24.881750106811523
2023-10-03,24.71986961364746
2023-10-04,24.710346221923828
2023-10-05,25.053150177001953
2023-10-06,25.415000915527344
2023-10-09,25.25311851501465
2023-10-10,26.119647979736328
2023-10-11,26.424360275268555
2023-10-12,26.08155632019043
2023-10-13,25.99585723876953
2023-10-16,26.119647979736328
2023-10-17,26.662418365478516
2023-10-18,26.18630027770996
2023-10-19,25.034107208251953
2023-10-20,25.148374557495117
2023-10-23,24.83414077758789
2023-10-24,25.462610244750977
2023-10-25,24.700828552246094
2023-10-26,24.243757247924805
2023-10-27,24.291370391845703
2023-10-30,24.396116256713867
2023-10-31,24.643693923950195
2023-11-01,24.634170532226562
2023-11-02,24.653213500976562
2023-11-03,25.472131729125977
2023-11-06,25.005538940429688
2023-11-07,24.71986961364746
2023-11-08,23.386749267578125
2023-11-09,22.796367645263672
2023-11-10,23.158214569091797
2023-11-13,22.891592025756836
2023-11-14,24.31041145324707
2023-11-15,24.481813430786133
2023-11-16,24.434202194213867
2023-11-17,24.643693923950195
2023-11-20,24.338977813720703
2023-11-21,24.519899368286133
2023-11-22,24.348501205444336
2023-11-24,24.57703399658203
2023-11-27,24.30088996887207
2023-11-28,24.691301345825195
2023-11-29,24.77700424194336
2023-11-30,24.517406463623047
2023-12-01,25.709627151489258
2023-12-04,26.19997787475586
2023-12-05,25.613479614257812
2023-12-06,25.33465576171875
2023-12-07,25.59425163269043
2023-12-08,25.575023651123047
