Date,SCHL
2010-01-04,23.436527252197266
2010-01-05,22.799057006835938
2010-01-06,22.626562118530273
2010-01-07,22.956546783447266
2010-01-08,23.28653335571289
2010-01-11,22.68656349182129
2010-01-12,22.484073638916016
2010-01-13,22.941545486450195
2010-01-14,23.24903106689453
2010-01-15,23.024045944213867
2010-01-19,23.534027099609375
2010-01-20,23.136547088623047
2010-01-21,23.226531982421875
2010-01-22,22.50657081604004
2010-01-25,22.65656089782715
2010-01-26,22.754058837890625
2010-01-27,22.75029754638672
2010-01-28,22.577375411987305
2010-01-29,22.479633331298828
2010-02-01,22.404455184936523
2010-02-02,22.321758270263672
2010-02-03,22.25409507751465
2010-02-04,21.795482635498047
2010-02-05,21.524822235107422
2010-02-08,21.239137649536133
2010-02-09,21.509782791137695
2010-02-10,21.509782791137695
2010-02-11,21.893217086791992
2010-02-12,21.750362396240234
2010-02-16,22.043581008911133
2010-02-17,22.20146369934082
2010-02-18,22.757814407348633
2010-02-19,23.04351234436035
2010-02-22,22.71270751953125
2010-02-23,22.321758270263672
2010-02-24,22.45708656311035
2010-02-25,22.359352111816406
2010-02-26,22.103729248046875
2010-03-01,22.584897994995117
2010-03-02,22.479633331298828
2010-03-03,22.765336990356445
2010-03-04,22.787885665893555
2010-03-05,23.47205924987793
2010-03-08,21.953359603881836
2010-03-09,22.126279830932617
2010-03-10,22.17891502380371
2010-03-11,22.239063262939453
2010-03-12,21.80299949645996
2010-03-15,22.434528350830078
2010-03-16,22.396942138671875
2010-03-17,22.54730796813965
2010-03-18,22.261608123779297
2010-03-19,22.02855110168457
2010-03-22,21.908246994018555
2010-03-23,22.46459197998047
2010-03-24,22.126279830932617
2010-03-25,22.299198150634766
2010-03-26,21.69022560119629
2010-03-29,21.554895401000977
2010-03-30,21.457157135009766
2010-03-31,21.05117416381836
2010-04-01,20.133941650390625
2010-04-05,19.885835647583008
2010-04-06,20.336933135986328
2010-04-07,20.306852340698242
2010-04-08,20.600074768066406
2010-04-09,20.78802490234375
2010-04-12,20.62262535095215
2010-04-13,20.742919921875
2010-04-14,20.95343589782715
2010-04-15,21.07371711730957
2010-04-16,20.539926528930664
2010-04-19,20.81058692932129
2010-04-20,21.32182502746582
