Date,LLY
2010-01-04,23.522537231445312
2010-01-05,23.10882568359375
2010-01-06,23.279563903808594
2010-01-07,23.161361694335938
2010-01-08,22.984039306640625
2010-01-11,23.299253463745117
2010-01-12,23.220457077026367
2010-01-13,23.542234420776367
2010-01-14,23.640737533569336
2010-01-15,23.522537231445312
2010-01-19,24.566673278808594
2010-01-20,24.494430541992188
2010-01-21,23.71297264099121
2010-01-22,23.325523376464844
2010-01-25,23.476566314697266
2010-01-26,23.745807647705078
2010-01-27,23.89684295654297
2010-01-28,23.476566314697266
2010-01-29,23.115388870239258
2010-02-01,22.984039306640625
2010-02-02,23.391197204589844
2010-02-03,23.1876220703125
2010-02-04,22.767345428466797
2010-02-05,22.6688289642334
2010-02-08,22.839580535888672
2010-02-09,23.115388870239258
2010-02-10,22.755769729614258
2010-02-11,22.755769729614258
2010-02-12,22.609262466430664
2010-02-16,22.695831298828125
2010-02-17,22.90228271484375
2010-02-18,22.91559600830078
2010-02-19,22.802385330200195
2010-02-22,22.95555877685547
2010-02-23,22.61591148376465
2010-02-24,22.6691951751709
2010-02-25,22.802385330200195
2010-02-26,22.86897850036621
2010-03-01,22.85565948486328
2010-03-02,23.008832931518555
2010-03-03,22.85565948486328
2010-03-04,23.002178192138672
2010-03-05,23.368450164794922
2010-03-08,23.261890411376953
2010-03-09,23.348472595214844
2010-03-10,23.53493881225586
2010-03-11,23.85460090637207
2010-03-12,23.9278564453125
2010-03-15,23.98112678527832
2010-03-16,24.09434700012207
2010-03-17,24.120975494384766
2010-03-18,24.214208602905273
2010-03-19,24.087682723999023
2010-03-22,24.33408546447754
2010-03-23,24.38736343383789
2010-03-24,24.147619247436523
2010-03-25,23.96116065979004
2010-03-26,23.588211059570312
2010-03-29,23.621511459350586
2010-03-30,23.907888412475586
2010-03-31,24.120975494384766
2010-04-01,24.074365615844727
2010-04-05,24.340747833251953
2010-04-06,24.31410789489746
2010-04-07,24.32076072692871
2010-04-08,24.32076072692871
2010-04-09,24.53387451171875
2010-04-12,24.35407066345215
2010-04-13,24.58714485168457
2010-04-14,24.367385864257812
2010-04-15,24.453960418701172
2010-04-16,24.33408546447754
2010-04-19,24.360733032226562
2010-04-20,24.327428817749023
2010-04-21,23.98112678527832
2010-04-22,23.561574935913086
2010-04-23,23.61485481262207
2010-04-26,23.521621704101562
2010-04-27,23.221939086914062
2010-04-28,23.14868927001953
2010-04-29,23.335140228271484
2010-04-30,23.288536071777344
2010-05-03,23.43503761291504
2010-05-04,23.31516456604004
2010-05-05,23.361799240112305
2010-05-06,22.908945083618164
2010-05-07,23.055450439453125
2010-05-10,23.408411026000977
2010-05-11,23.494979858398438
2010-05-12,23.488222122192383
2010-05-13,23.299142837524414
2010-05-14,22.907438278198242
2010-05-17,22.968217849731445
2010-05-18,22.704835891723633
2010-05-19,22.866918563842773
2010-05-20,22.515748977661133
2010-05-21,22.367172241210938
2010-05-24,22.272621154785156
2010-05-25,22.117290496826172
2010-05-26,21.779624938964844
2010-05-27,22.164569854736328
2010-05-28,22.144302368164062
2010-06-01,21.982227325439453
