Date,SPTN
2010-01-04,9.039666175842285
2010-01-05,8.130056381225586
2010-01-06,7.828944683074951
2010-01-07,7.69720458984375
2010-01-08,7.8540358543396
2010-01-11,8.017136573791504
2010-01-12,8.19278621673584
2010-01-13,8.500176429748535
2010-01-14,8.506446838378906
2010-01-15,8.45626163482666
2010-01-19,8.70091724395752
2010-01-20,8.53781509399414
2010-01-21,8.487626075744629
2010-01-22,8.374707221984863
2010-01-25,8.224151611328125
2010-01-26,8.14260482788086
2010-01-27,8.625638008117676
2010-01-28,8.424897193908691
2010-01-29,8.49389934539795
2010-02-01,8.663276672363281
2010-02-02,8.65073013305664
2010-02-03,8.70091724395752
2010-02-04,8.343341827392578
2010-02-05,8.51899242401123
2010-02-08,8.355891227722168
2010-02-09,8.380983352661133
2010-02-10,8.242973327636719
2010-02-11,8.318253517150879
2010-02-12,7.640749931335449
2010-02-16,7.797576904296875
2010-02-17,7.8603081703186035
2010-02-18,8.023411750793457
2010-02-19,8.343341827392578
2010-02-22,8.556633949279785
2010-02-23,8.600544929504395
2010-02-24,8.78246784210205
2010-02-25,8.813949584960938
2010-02-26,8.8265380859375
2010-03-01,9.103548049926758
2010-03-02,8.97133731842041
2010-03-03,9.02170181274414
2010-03-04,8.92097282409668
2010-03-05,9.059478759765625
2010-03-08,8.895790100097656
2010-03-09,8.914679527282715
2010-03-10,8.851722717285156
2010-03-11,8.807650566101074
2010-03-12,8.97133731842041
2010-03-15,8.977633476257324
2010-03-16,9.034294128417969
2010-03-17,9.135027885437012
2010-03-18,9.185395240783691
2010-03-19,9.191686630249023
2010-03-22,9.393147468566895
2010-03-23,9.43092155456543
2010-03-24,9.279829025268555
2010-03-25,9.26093864440918
2010-03-26,9.128731727600098
2010-03-29,9.135027885437012
2010-03-30,9.185395240783691
2010-03-31,9.078365325927734
2010-04-01,9.197982788085938
2010-04-05,9.512767791748047
2010-04-06,9.594610214233398
2010-04-07,9.644978523254395
2010-04-08,9.550541877746582
2010-04-09,9.550541877746582
2010-04-12,9.739413261413574
2010-04-13,9.770891189575195
2010-04-14,9.997535705566406
2010-04-15,10.117152214050293
2010-04-16,10.098264694213867
2010-04-19,9.380558967590332
2010-04-20,9.141322135925293
2010-04-21,9.298713684082031
2010-04-22,9.474990844726562
2010-04-23,9.575724601745605
2010-04-26,9.449809074401855
2010-04-27,9.544244766235352
2010-04-28,9.55683422088623
2010-04-29,9.966054916381836
2010-04-30,9.5001802444458
2010-05-03,9.607198715209961
2010-05-04,9.531648635864258
2010-05-05,9.43721866607666
2010-05-06,9.191686630249023
2010-05-07,8.97133731842041
2010-05-10,9.323899269104004
2010-05-11,9.569427490234375
2010-05-12,9.69533920288086
2010-05-13,10.645989418029785
2010-05-14,10.28083610534668
2010-05-17,10.576733589172363
2010-05-18,10.538960456848145
2010-05-19,10.488600730895996
2010-05-20,10.268247604370117
2010-05-21,10.029014587402344
2010-05-24,9.48128890991211
2010-05-25,9.707934379577637
2010-05-26,9.449809074401855
2010-05-27,9.753015518188477
2010-05-28,9.626677513122559
2010-06-01,9.481393814086914
2010-06-02,9.582462310791016
2010-06-03,9.828814506530762
2010-06-04,9.279258728027344
2010-06-07,9.07080364227295
2010-06-08,8.792872428894043
2010-06-09,8.963418960571289
2010-06-10,9.24135684967041
2010-06-11,9.24135684967041
2010-06-14,9.392955780029297
2010-06-15,9.411911964416504
2010-06-16,9.197141647338867
2010-06-17,9.247674942016602
2010-06-18,9.310844421386719
2010-06-21,8.988688468933105
2010-06-22,8.81814193725586
2010-06-23,8.761287689208984
2010-06-24,8.736023902893066
2010-06-25,9.001321792602539
2010-06-28,8.893940925598145
2010-06-29,8.584419250488281
2010-06-30,8.66653823852539
2010-07-01,8.514934539794922
2010-07-02,8.59705638885498
2010-07-06,8.420187950134277
2010-07-07,8.571785926818848
2010-07-08,8.919203758239746
2010-07-09,8.912888526916504
2010-07-12,8.647588729858398
2010-07-13,9.115023612976074
2010-07-14,8.988688468933105
2010-07-15,8.868669509887695
2010-07-16,8.45176887512207
2010-07-19,8.527569770812988
2010-07-20,8.57810115814209
2010-07-21,8.369653701782227
2010-07-22,8.80550765991211
2010-07-23,8.99500560760498
2010-07-26,9.096071243286133
2010-07-27,9.228724479675293
2010-07-28,8.982370376586914
2010-07-29,9.020271301269531
2010-07-30,9.07080364227295
2010-08-02,9.083439826965332
2010-08-03,9.020271301269531
2010-08-04,9.121341705322266
2010-08-05,8.944474220275879
2010-08-06,8.99500560760498
2010-08-09,9.020271301269531
2010-08-10,8.837088584899902
2010-08-11,8.401236534118652
2010-08-12,8.489665985107422
2010-08-13,8.369653701782227
2010-08-16,8.38860034942627
2010-08-17,8.66021728515625
2010-08-18,8.502300262451172
2010-08-19,8.325435638427734
2010-08-20,8.401236534118652
2010-08-23,8.230683326721191
2010-08-24,8.3380708694458
2010-08-25,8.6981201171875
2010-08-26,8.38860034942627
2010-08-27,8.653901100158691
2010-08-30,8.336913108825684
2010-08-31,8.286192893981934
2010-09-01,8.565144538879395
2010-09-02,8.381291389465332
2010-09-03,8.51442813873291
2010-09-07,8.368613243103027
2010-09-08,8.381291389465332
2010-09-09,8.457369804382324
2010-09-10,8.39396858215332
2010-09-13,8.856779098510742
2010-09-14,8.736323356628418
2010-09-15,9.097692489624023
2010-09-16,9.040634155273438
2010-09-17,8.970900535583496
2010-09-20,9.262532234191895
2010-09-21,9.040634155273438
2010-09-22,9.0279541015625
2010-09-23,8.926520347595215
2010-09-24,9.180112838745117
2010-09-27,9.10403060913086
2010-09-28,9.300567626953125
