Date,EVLV
2020-09-22,9.729999542236328
2020-09-23,9.729999542236328
2020-09-24,9.795000076293945
2020-09-25,9.779999732971191
2020-09-28,9.739999771118164
2020-09-29,9.710000038146973
2020-09-30,9.75
2020-10-01,9.729999542236328
2020-10-02,9.920000076293945
2020-10-05,9.78499984741211
2020-10-06,9.739999771118164
2020-10-07,9.739999771118164
2020-10-08,9.649999618530273
2020-10-09,9.649999618530273
2020-10-12,9.649999618530273
2020-10-13,9.654999732971191
2020-10-14,9.640000343322754
2020-10-15,9.699999809265137
2020-10-16,9.640000343322754
2020-10-19,9.640000343322754
2020-10-20,9.640000343322754
2020-10-21,9.699999809265137
2020-10-22,9.71500015258789
2020-10-23,9.699999809265137
2020-10-26,9.6899995803833
2020-10-27,9.6899995803833
2020-10-28,9.640000343322754
2020-10-29,9.680000305175781
2020-10-30,9.619999885559082
2020-11-02,9.6899995803833
2020-11-03,9.670000076293945
2020-11-04,9.65999984741211
2020-11-05,9.6899995803833
2020-11-06,9.729999542236328
2020-11-09,9.710000038146973
2020-11-10,9.710000038146973
2020-11-11,9.720000267028809
2020-11-12,9.704999923706055
2020-11-13,9.75
2020-11-16,9.770000457763672
2020-11-17,9.789999961853027
2020-11-18,9.789999961853027
2020-11-19,9.725000381469727
2020-11-20,9.8149995803833
2020-11-23,9.866999626159668
2020-11-24,9.866999626159668
2020-11-25,9.710000038146973
2020-11-27,9.890000343322754
2020-11-30,9.800000190734863
2020-12-01,9.854999542236328
2020-12-02,9.875
2020-12-03,10.0
2020-12-04,9.989999771118164
2020-12-07,10.010000228881836
2020-12-08,9.949999809265137
2020-12-09,10.0
2020-12-10,9.970000267028809
2020-12-11,10.003999710083008
2020-12-14,9.970000267028809
2020-12-15,10.010000228881836
2020-12-16,10.0
2020-12-17,10.0
2020-12-18,9.960000038146973
2020-12-21,9.949999809265137
2020-12-22,10.1899995803833
2020-12-23,10.180000305175781
2020-12-24,10.081999778747559
2020-12-28,10.109999656677246
2020-12-29,10.020000457763672
2020-12-30,10.09000015258789
2020-12-31,10.010000228881836
2021-01-04,10.079999923706055
2021-01-05,10.109999656677246
2021-01-06,10.109999656677246
2021-01-07,10.079999923706055
2021-01-08,10.199999809265137
2021-01-11,10.25
2021-01-12,10.260000228881836
2021-01-13,10.289999961853027
2021-01-14,10.270000457763672
2021-01-15,10.300000190734863
2021-01-19,10.3100004196167
2021-01-20,10.350000381469727
2021-01-21,10.390000343322754
2021-01-22,10.430000305175781
2021-01-25,10.449999809265137
2021-01-26,10.899999618530273
2021-01-27,10.359999656677246
2021-01-28,10.359999656677246
2021-01-29,10.359999656677246
2021-02-01,10.46500015258789
2021-02-02,10.5600004196167
2021-02-03,10.550000190734863
2021-02-04,10.479999542236328
2021-02-05,10.399999618530273
2021-02-08,10.510000228881836
2021-02-09,10.850000381469727
2021-02-10,10.529999732971191
2021-02-11,10.539999961853027
2021-02-12,10.539999961853027
2021-02-16,10.399999618530273
2021-02-17,10.34000015258789
2021-02-18,10.5
2021-02-19,10.699999809265137
2021-02-22,10.59000015258789
2021-02-23,10.40999984741211
2021-02-24,10.579999923706055
2021-02-25,10.359999656677246
2021-02-26,10.260000228881836
2021-03-01,10.229999542236328
2021-03-02,10.109999656677246
2021-03-03,10.25
2021-03-04,9.960000038146973
2021-03-05,10.029999732971191
2021-03-08,10.380000114440918
2021-03-09,10.600000381469727
2021-03-10,10.399999618530273
2021-03-11,10.5
2021-03-12,10.380000114440918
2021-03-15,10.460000038146973
2021-03-16,10.350000381469727
2021-03-17,10.5
2021-03-18,10.449999809265137
2021-03-19,10.520000457763672
2021-03-22,10.489999771118164
2021-03-23,10.220000267028809
2021-03-24,10.0600004196167
2021-03-25,9.970000267028809
2021-03-26,10.079999923706055
2021-03-29,10.039999961853027
2021-03-30,10.020000457763672
2021-03-31,10.010000228881836
2021-04-01,10.010000228881836
2021-04-05,10.09000015258789
2021-04-06,10.100000381469727
2021-04-07,10.069999694824219
2021-04-08,10.09000015258789
2021-04-09,10.079999923706055
2021-04-12,10.069999694824219
2021-04-13,10.010000228881836
2021-04-14,10.0
2021-04-15,9.979999542236328
2021-04-16,9.960000038146973
2021-04-19,9.970000267028809
2021-04-20,9.970000267028809
2021-04-21,9.970000267028809
2021-04-22,9.970000267028809
2021-04-23,9.979999542236328
2021-04-26,9.989999771118164
2021-04-27,10.0
2021-04-28,9.979999542236328
2021-04-29,9.979999542236328
2021-04-30,9.979999542236328
2021-05-03,9.960000038146973
2021-05-04,9.90999984741211
2021-05-05,9.90999984741211
2021-05-06,9.90999984741211
2021-05-07,9.899999618530273
2021-05-10,9.899999618530273
2021-05-11,9.960000038146973
2021-05-12,9.9399995803833
2021-05-13,9.899999618530273
2021-05-14,9.899999618530273
2021-05-17,9.899999618530273
2021-05-18,9.899999618530273
2021-05-19,9.899999618530273
2021-05-20,9.90999984741211
2021-05-21,9.970000267028809
2021-05-24,9.970000267028809
2021-05-25,9.979999542236328
2021-05-26,10.0
2021-05-27,10.0
2021-05-28,10.0
2021-06-01,10.039999961853027
2021-06-02,10.039999961853027
2021-06-03,10.039999961853027
2021-06-04,10.010000228881836
2021-06-07,10.010000228881836
2021-06-08,10.010000228881836
2021-06-09,10.050000190734863
2021-06-10,10.100000381469727
2021-06-11,10.09000015258789
2021-06-14,10.039999961853027
2021-06-15,10.020000457763672
2021-06-16,10.020000457763672
2021-06-17,9.970000267028809
2021-06-18,9.970000267028809
2021-06-21,9.979999542236328
2021-06-22,9.970000267028809
2021-06-23,9.979999542236328
