Date,CI
2010-01-04,33.26862716674805
2010-01-05,33.82661819458008
2010-01-06,33.753440856933594
2010-01-07,34.99747085571289
2010-01-08,34.73219680786133
2010-01-11,34.18336486816406
2010-01-12,33.42414855957031
2010-01-13,33.34181213378906
2010-01-14,33.63452911376953
2010-01-15,33.69855880737305
2010-01-19,34.68646240234375
2010-01-20,34.94258499145508
2010-01-21,33.890655517578125
2010-01-22,33.588783264160156
2010-01-25,33.25033950805664
2010-01-26,31.430034637451172
2010-01-27,31.64041519165039
2010-01-28,31.5489501953125
2010-01-29,30.89034080505371
2010-02-01,30.908634185791016
2010-02-02,32.2349853515625
2010-02-03,31.795909881591797
2010-02-04,30.661659240722656
2010-02-05,30.515310287475586
2010-02-08,30.25918197631836
2010-02-09,30.625072479248047
2010-02-10,30.240890502929688
2010-02-11,30.497005462646484
2010-02-12,29.966468811035156
2010-02-16,29.92987632751465
2010-02-17,30.359798431396484
2010-02-18,30.32321548461914
2010-02-19,30.00305938720703
2010-02-22,30.5701904296875
2010-02-23,30.186002731323242
2010-02-24,31.03669548034668
2010-02-25,30.981813430786133
2010-02-26,31.338558197021484
2010-03-01,31.631275177001953
2010-03-02,31.503198623657227
2010-03-03,31.731891632080078
2010-03-04,31.1373233795166
2010-03-05,31.805072784423828
2010-03-08,31.832508087158203
2010-03-09,31.18230628967285
2010-03-10,31.438724517822266
2010-03-11,32.006507873535156
2010-03-12,31.631046295166016
2010-03-15,31.402095794677734
2010-03-16,32.01565933227539
2010-03-17,31.89661407470703
2010-03-18,32.8215446472168
2010-03-19,33.95711135864258
2010-03-22,34.14027404785156
2010-03-23,33.82891845703125
2010-03-24,33.32522964477539
2010-03-25,33.059654235839844
2010-03-26,32.876495361328125
2010-03-29,33.28860855102539
2010-03-30,33.499237060546875
2010-03-31,33.499237060546875
2010-04-01,34.0212287902832
2010-04-05,33.88385772705078
2010-04-06,33.966278076171875
2010-04-07,33.1970100402832
2010-04-08,33.535865783691406
2010-04-09,33.545013427734375
2010-04-12,33.352699279785156
2010-04-13,32.70249938964844
2010-04-14,31.759246826171875
2010-04-15,31.795875549316406
2010-04-16,31.585254669189453
2010-04-19,32.32704162597656
2010-04-20,31.988203048706055
2010-04-21,31.136524200439453
2010-04-22,30.706104278564453
2010-04-23,31.127357482910156
2010-04-26,30.110841751098633
2010-04-27,29.634634017944336
2010-04-28,30.31231689453125
2010-04-29,30.962526321411133
2010-04-30,29.359907150268555
2010-05-03,29.96431541442871
2010-05-04,28.59065055847168
2010-05-05,29.304960250854492
2010-05-06,30.15664291381836
2010-05-07,28.746337890625
2010-05-10,29.90020751953125
2010-05-11,30.33979034423828
2010-05-12,31.09988784790039
2010-05-13,30.98999786376953
2010-05-14,30.614524841308594
2010-05-17,30.83431053161621
2010-05-18,30.907569885253906
2010-05-19,30.898426055908203
2010-05-20,29.88190460205078
2010-05-21,29.90020751953125
2010-05-24,29.95515251159668
2010-05-25,29.45148468017578
2010-05-26,29.69874382019043
2010-05-27,30.84347915649414
2010-05-28,30.65115737915039
2010-06-01,30.092527389526367
2010-06-02,30.916730880737305
2010-06-03,31.869138717651367
2010-06-04,31.20062255859375
2010-06-07,31.054100036621094
2010-06-08,30.797683715820312
2010-06-09,30.48631477355957
2010-06-10,31.264719009399414
2010-06-11,31.585254669189453
2010-06-14,31.64019203186035
2010-06-15,32.153038024902344
2010-06-16,32.226295471191406
2010-06-17,32.363670349121094
2010-06-18,32.244606018066406
2010-06-21,32.244606018066406
2010-06-22,31.32883644104004
2010-06-23,31.090728759765625
2010-06-24,30.5320987701416
2010-06-25,30.48631477355957
