Date,GRMN
2010-01-04,18.931610107421875
2010-01-05,18.97865867614746
2010-01-06,18.837474822998047
2010-01-07,18.925716400146484
2010-01-08,19.8787784576416
2010-01-11,20.17292594909668
2010-01-12,19.89053726196289
2010-01-13,20.396474838256836
2010-01-14,20.70240020751953
2010-01-15,20.667098999023438
2010-01-19,21.82606315612793
2010-01-20,21.26717758178711
2010-01-21,20.096445083618164
2010-01-22,19.661094665527344
2010-01-25,19.696399688720703
2010-01-26,19.50225830078125
2010-01-27,19.74346160888672
2010-01-28,19.302234649658203
2010-01-29,19.00808334350586
2010-02-01,19.137508392333984
2010-02-02,19.578731536865234
2010-02-03,19.4551944732666
2010-02-04,18.95513343811035
2010-02-05,19.055152893066406
2010-02-08,18.766874313354492
2010-02-09,18.778650283813477
2010-02-10,18.766874313354492
2010-02-11,19.072797775268555
2010-02-12,18.79629898071289
2010-02-16,19.290468215942383
2010-02-17,19.41401481628418
2010-02-18,19.8787784576416
2010-02-19,19.837594985961914
2010-02-22,20.54355812072754
2010-02-23,20.267057418823242
2010-02-24,19.090444564819336
2010-02-25,18.778650283813477
2010-02-26,18.79629898071289
2010-03-01,19.102210998535156
2010-03-02,19.408132553100586
2010-03-03,19.896427154541016
2010-03-04,19.919954299926758
2010-03-05,20.402368545532227
2010-03-08,20.655330657958984
2010-03-09,20.814180374145508
2010-03-10,21.002429962158203
2010-03-11,21.125974655151367
2010-03-12,21.125974655151367
2010-03-15,20.937719345092773
2010-03-16,20.76711082458496
2010-03-17,21.926071166992188
2010-03-18,21.61426544189453
2010-03-19,21.25540542602539
2010-03-22,21.31422996520996
2010-03-23,21.90842056274414
2010-03-24,22.384944915771484
2010-03-25,22.95560073852539
2010-03-26,23.496837615966797
2010-03-29,23.026195526123047
2010-03-30,22.414363861083984
2010-03-31,22.726165771484375
2010-04-01,22.349647521972656
2010-04-05,22.290817260742188
2010-04-06,22.69675064086914
2010-04-07,22.73204231262207
2010-04-08,22.43788719177246
