Date,MKL
2010-01-04,337.79998779296875
2010-01-05,345.1499938964844
2010-01-06,346.5400085449219
2010-01-07,346.5
2010-01-08,341.57000732421875
2010-01-11,340.8500061035156
2010-01-12,338.29998779296875
2010-01-13,341.6099853515625
2010-01-14,342.17999267578125
2010-01-15,338.70001220703125
2010-01-19,339.8699951171875
2010-01-20,335.7699890136719
2010-01-21,333.1400146484375
2010-01-22,328.8800048828125
2010-01-25,332.989990234375
2010-01-26,328.6300048828125
2010-01-27,331.8699951171875
2010-01-28,329.5299987792969
2010-01-29,325.010009765625
2010-02-01,331.489990234375
2010-02-02,331.6000061035156
2010-02-03,328.0
2010-02-04,330.0
2010-02-05,333.1000061035156
2010-02-08,332.04998779296875
2010-02-09,335.82000732421875
2010-02-10,336.1199951171875
2010-02-11,338.55999755859375
2010-02-12,342.95001220703125
2010-02-16,341.95001220703125
2010-02-17,340.9800109863281
2010-02-18,344.5299987792969
2010-02-19,348.29998779296875
2010-02-22,345.5799865722656
2010-02-23,348.510009765625
2010-02-24,354.9100036621094
2010-02-25,350.54998779296875
2010-02-26,352.75
2010-03-01,353.1600036621094
2010-03-02,355.25
2010-03-03,351.4700012207031
2010-03-04,357.54998779296875
2010-03-05,358.0
2010-03-08,361.94000244140625
2010-03-09,359.7300109863281
2010-03-10,362.8500061035156
2010-03-11,364.489990234375
2010-03-12,366.7799987792969
2010-03-15,366.3800048828125
2010-03-16,372.8500061035156
2010-03-17,371.25
2010-03-18,366.8699951171875
2010-03-19,368.54998779296875
2010-03-22,369.70001220703125
2010-03-23,371.010009765625
2010-03-24,373.3299865722656
2010-03-25,372.0
2010-03-26,371.8800048828125
2010-03-29,372.70001220703125
2010-03-30,372.2699890136719
2010-03-31,374.6600036621094
2010-04-01,377.9700012207031
2010-04-05,377.9800109863281
2010-04-06,377.6600036621094
2010-04-07,378.989990234375
2010-04-08,381.70001220703125
2010-04-09,382.79998779296875
2010-04-12,376.8999938964844
2010-04-13,377.0199890136719
2010-04-14,387.7200012207031
2010-04-15,386.3999938964844
2010-04-16,380.75
2010-04-19,381.25
2010-04-20,378.5
2010-04-21,381.0
2010-04-22,384.6300048828125
2010-04-23,384.5199890136719
2010-04-26,386.0299987792969
2010-04-27,379.17999267578125
2010-04-28,382.239990234375
2010-04-29,385.3500061035156
2010-04-30,382.8399963378906
2010-05-03,383.8900146484375
2010-05-04,377.30999755859375
2010-05-05,366.95001220703125
2010-05-06,350.5
2010-05-07,351.2200012207031
2010-05-10,355.79998779296875
2010-05-11,355.04998779296875
2010-05-12,360.2900085449219
2010-05-13,358.0799865722656
2010-05-14,356.989990234375
2010-05-17,353.04998779296875
2010-05-18,346.9599914550781
2010-05-19,353.1600036621094
2010-05-20,336.1199951171875
2010-05-21,341.0
2010-05-24,339.05999755859375
2010-05-25,344.0199890136719
2010-05-26,340.70001220703125
2010-05-27,346.75
2010-05-28,345.54998779296875
2010-06-01,338.6199951171875
2010-06-02,350.6000061035156
2010-06-03,348.6600036621094
2010-06-04,337.55999755859375
2010-06-07,338.79998779296875
2010-06-08,342.8599853515625
2010-06-09,336.5
2010-06-10,344.29998779296875
2010-06-11,344.3999938964844
2010-06-14,346.70001220703125
2010-06-15,351.7900085449219
2010-06-16,354.67999267578125
2010-06-17,350.6000061035156
2010-06-18,354.04998779296875
2010-06-21,349.45001220703125
2010-06-22,345.6499938964844
2010-06-23,342.989990234375
2010-06-24,342.510009765625
2010-06-25,350.510009765625
2010-06-28,345.239990234375
2010-06-29,339.7099914550781
2010-06-30,340.0
2010-07-01,339.6199951171875
2010-07-02,337.0
2010-07-06,332.5799865722656
2010-07-07,326.0
2010-07-08,331.8299865722656
2010-07-09,346.5799865722656
2010-07-12,347.3999938964844
2010-07-13,351.3399963378906
2010-07-14,351.94000244140625
2010-07-15,348.5
2010-07-16,337.760009765625
2010-07-19,337.3299865722656
2010-07-20,340.0
2010-07-21,336.95001220703125
2010-07-22,341.32000732421875
2010-07-23,339.2799987792969
2010-07-26,348.1499938964844
2010-07-27,343.2200012207031
2010-07-28,335.1000061035156
2010-07-29,337.8800048828125
2010-07-30,338.0
2010-08-02,345.6199951171875
2010-08-03,341.7900085449219
2010-08-04,345.8599853515625
2010-08-05,342.75
2010-08-06,337.8900146484375
2010-08-09,341.989990234375
2010-08-10,335.0
2010-08-11,326.6199951171875
2010-08-12,331.0
2010-08-13,324.1000061035156
2010-08-16,325.20001220703125
2010-08-17,333.2699890136719
2010-08-18,331.3299865722656
2010-08-19,326.6199951171875
2010-08-20,326.2699890136719
2010-08-23,327.57000732421875
2010-08-24,325.45001220703125
2010-08-25,331.6000061035156
2010-08-26,326.6099853515625
2010-08-27,328.5199890136719
2010-08-30,321.32000732421875
2010-08-31,327.7200012207031
2010-09-01,333.6000061035156
2010-09-02,335.760009765625
2010-09-03,338.20001220703125
2010-09-07,330.05999755859375
2010-09-08,335.489990234375
2010-09-09,338.6400146484375
2010-09-10,336.54998779296875
2010-09-13,338.79998779296875
2010-09-14,337.2300109863281
2010-09-15,343.9100036621094
2010-09-16,337.79998779296875
2010-09-17,338.55999755859375
2010-09-20,345.54998779296875
2010-09-21,343.5
2010-09-22,341.3800048828125
2010-09-23,337.0
2010-09-24,347.4800109863281
2010-09-27,345.0
2010-09-28,343.5
2010-09-29,344.79998779296875
2010-09-30,344.5899963378906
2010-10-01,346.79998779296875
