Date,TRS
2010-01-04,5.592731475830078
2010-01-05,5.592731475830078
2010-01-06,5.491611003875732
2010-01-07,5.70163106918335
2010-01-08,5.826085090637207
2010-01-11,5.654959678649902
2010-01-12,5.343819618225098
2010-01-13,5.351598262786865
2010-01-14,5.546059608459473
2010-01-15,5.437161445617676
2010-01-19,5.592731475830078
2010-01-20,5.421604633331299
2010-01-21,5.06379508972168
2010-01-22,4.775989532470703
2010-01-25,4.853775978088379
2010-01-26,4.7059831619262695
2010-01-27,4.7293195724487305
2010-01-28,4.48040771484375
2010-01-29,4.604863166809082
2010-02-01,4.495965003967285
2010-02-02,4.503743648529053
2010-02-03,4.495965003967285
2010-02-04,4.511521339416504
2010-02-05,4.698205471038818
2010-02-08,4.519299507141113
2010-02-09,4.503743648529053
2010-02-10,4.527078628540039
2010-02-11,4.628200054168701
2010-02-12,4.5970845222473145
2010-02-16,4.7293195724487305
2010-02-17,4.799325466156006
2010-02-18,4.892667293548584
2010-02-19,4.775989532470703
2010-02-22,4.783768177032471
2010-02-23,4.6826491355896
2010-02-24,4.713760852813721
2010-02-25,4.845995903015137
2010-02-26,4.737098693847656
2010-03-01,4.877111434936523
2010-03-02,4.8693318367004395
2010-03-03,4.807104110717773
2010-03-04,5.2738118171691895
2010-03-05,5.374934196472168
2010-03-08,5.406047344207764
2010-03-09,5.522724628448486
2010-03-10,5.6782941818237305
2010-03-11,5.71718692779541
2010-03-12,5.530503749847412
2010-03-15,5.476053714752197
2010-03-16,5.5849528312683105
2010-03-17,5.608288764953613
2010-03-18,5.499388694763184
2010-03-19,5.11824369430542
2010-03-22,5.421604633331299
2010-03-23,5.592731475830078
2010-03-24,5.406047344207764
2010-03-25,5.24269962310791
2010-03-26,5.429382801055908
2010-03-29,5.374934196472168
2010-03-30,5.227142333984375
2010-03-31,5.048238277435303
2010-04-01,5.429382801055908
2010-04-05,5.483832836151123
2010-04-06,5.631623268127441
2010-04-07,5.6005096435546875
2010-04-08,5.654959678649902
2010-04-09,5.7483015060424805
2010-04-12,5.826085090637207
2010-04-13,5.896092891693115
2010-04-14,6.222788333892822
2010-04-15,6.38613748550415
2010-04-16,6.207231521606445
2010-04-19,6.199453830718994
2010-04-20,6.417250156402588
2010-04-21,6.456142425537109
2010-04-22,6.915072917938232
2010-04-23,6.915072917938232
2010-04-26,6.985080718994141
2010-04-27,6.8295111656188965
2010-04-28,7.241770267486572
2010-04-29,8.08184814453125
2010-04-30,7.910719871520996
2010-05-03,7.887383937835693
2010-05-04,7.848491668701172
2010-05-05,8.011839866638184
2010-05-06,7.79404354095459
2010-05-07,6.845067024230957
2010-05-10,7.832934856414795
2010-05-11,7.755150318145752
2010-05-12,8.027398109436035
2010-05-13,7.902943134307861
2010-05-14,7.747372150421143
2010-05-17,7.980727195739746
2010-05-18,7.646251201629639
2010-05-19,7.786264896392822
2010-05-20,6.95396614074707
2010-05-21,7.420675754547119
2010-05-24,7.436232089996338
2010-05-25,7.444011211395264
2010-05-26,7.552909851074219
2010-05-27,7.7784857749938965
2010-05-28,7.848491668701172
2010-06-01,7.21065616607666
2010-06-02,7.856270790100098
2010-06-03,7.801821231842041
2010-06-04,7.086199760437012
2010-06-07,6.96174430847168
2010-06-08,6.697276592254639
2010-06-09,6.977301597595215
2010-06-10,7.389562129974365
2010-06-11,7.965170383453369
2010-06-14,8.532999992370605
2010-06-15,9.046378135681152
2010-06-16,9.038599014282227
2010-06-17,9.100829124450684
2010-06-18,9.489753723144531
2010-06-21,9.551980018615723
2010-06-22,8.820802688598633
2010-06-23,8.828582763671875
2010-06-24,8.392986297607422
2010-06-25,9.108607292175293
2010-06-28,9.76200008392334
2010-06-29,8.813024520874023
2010-06-30,8.797466278076172
2010-07-01,7.996281147003174
2010-07-02,8.058511734008789
2010-07-06,7.482903480529785
2010-07-07,8.175189018249512
2010-07-08,8.097404479980469
2010-07-09,8.781908988952637
2010-07-12,8.595226287841797
2010-07-13,9.24084186553955
2010-07-14,9.163055419921875
2010-07-15,8.898588180541992
2010-07-16,8.400764465332031
