Date,IMAX
2010-01-04,13.3100004196167
2010-01-05,14.0600004196167
2010-01-06,14.3100004196167
2010-01-07,14.420000076293945
2010-01-08,14.130000114440918
2010-01-11,13.859999656677246
2010-01-12,13.109999656677246
2010-01-13,13.619999885559082
2010-01-14,13.390000343322754
2010-01-15,12.90999984741211
2010-01-19,12.8100004196167
2010-01-20,13.180000305175781
2010-01-21,13.369999885559082
2010-01-22,13.380000114440918
2010-01-25,13.1899995803833
2010-01-26,13.170000076293945
2010-01-27,13.130000114440918
2010-01-28,13.0600004196167
2010-01-29,12.800000190734863
2010-02-01,13.5
2010-02-02,13.300000190734863
2010-02-03,13.319999694824219
2010-02-04,12.300000190734863
2010-02-05,12.5600004196167
2010-02-08,11.550000190734863
2010-02-09,11.829999923706055
2010-02-10,12.020000457763672
2010-02-11,12.779999732971191
2010-02-12,12.84000015258789
2010-02-16,12.619999885559082
2010-02-17,12.8100004196167
2010-02-18,13.079999923706055
2010-02-19,13.25
2010-02-22,13.289999961853027
2010-02-23,13.079999923706055
2010-02-24,12.989999771118164
2010-02-25,13.300000190734863
2010-02-26,13.40999984741211
2010-03-01,13.5
2010-03-02,14.25
2010-03-03,12.859999656677246
2010-03-04,13.020000457763672
2010-03-05,13.720000267028809
2010-03-08,14.84000015258789
2010-03-09,15.75
2010-03-10,16.020000457763672
2010-03-11,15.859999656677246
2010-03-12,15.880000114440918
2010-03-15,15.449999809265137
2010-03-16,15.5600004196167
2010-03-17,15.460000038146973
2010-03-18,15.760000228881836
2010-03-19,15.550000190734863
2010-03-22,16.299999237060547
2010-03-23,16.610000610351562
2010-03-24,16.559999465942383
2010-03-25,17.200000762939453
2010-03-26,17.100000381469727
2010-03-29,17.709999084472656
2010-03-30,18.040000915527344
2010-03-31,17.989999771118164
2010-04-01,18.110000610351562
2010-04-05,18.68000030517578
2010-04-06,18.549999237060547
2010-04-07,18.100000381469727
2010-04-08,17.549999237060547
2010-04-09,17.110000610351562
2010-04-12,16.989999771118164
2010-04-13,17.1299991607666
2010-04-14,17.40999984741211
