Date,ROG
2010-01-04,31.450000762939453
2010-01-05,30.739999771118164
2010-01-06,29.049999237060547
2010-01-07,29.34000015258789
2010-01-08,26.309999465942383
2010-01-11,26.479999542236328
2010-01-12,25.790000915527344
2010-01-13,26.18000030517578
2010-01-14,26.43000030517578
2010-01-15,26.059999465942383
2010-01-19,26.56999969482422
2010-01-20,26.520000457763672
2010-01-21,26.100000381469727
2010-01-22,25.719999313354492
2010-01-25,25.920000076293945
2010-01-26,25.549999237060547
2010-01-27,25.739999771118164
2010-01-28,24.899999618530273
2010-01-29,23.940000534057617
2010-02-01,24.190000534057617
2010-02-02,24.229999542236328
2010-02-03,23.989999771118164
2010-02-04,23.790000915527344
2010-02-05,24.200000762939453
2010-02-08,23.790000915527344
2010-02-09,24.43000030517578
2010-02-10,24.200000762939453
2010-02-11,24.420000076293945
2010-02-12,24.860000610351562
2010-02-16,24.889999389648438
2010-02-17,25.139999389648438
2010-02-18,25.59000015258789
2010-02-19,26.899999618530273
2010-02-22,27.200000762939453
2010-02-23,26.959999084472656
2010-02-24,27.200000762939453
2010-02-25,27.68000030517578
2010-02-26,27.450000762939453
2010-03-01,27.75
2010-03-02,27.8799991607666
2010-03-03,27.43000030517578
2010-03-04,27.56999969482422
2010-03-05,28.329999923706055
2010-03-08,28.440000534057617
2010-03-09,28.709999084472656
2010-03-10,29.5
2010-03-11,29.260000228881836
2010-03-12,29.360000610351562
2010-03-15,30.0
2010-03-16,29.600000381469727
2010-03-17,29.799999237060547
2010-03-18,28.799999237060547
2010-03-19,28.81999969482422
2010-03-22,29.1299991607666
2010-03-23,29.389999389648438
2010-03-24,28.969999313354492
2010-03-25,28.6299991607666
2010-03-26,28.709999084472656
2010-03-29,28.959999084472656
2010-03-30,28.950000762939453
2010-03-31,29.010000228881836
2010-04-01,29.25
2010-04-05,30.34000015258789
2010-04-06,32.150001525878906
2010-04-07,32.72999954223633
2010-04-08,32.72999954223633
2010-04-09,33.0099983215332
2010-04-12,32.9900016784668
2010-04-13,33.0
2010-04-14,33.4900016784668
2010-04-15,33.630001068115234
2010-04-16,33.709999084472656
2010-04-19,33.630001068115234
2010-04-20,34.189998626708984
2010-04-21,34.099998474121094
2010-04-22,34.16999816894531
2010-04-23,34.290000915527344
2010-04-26,34.06999969482422
2010-04-27,33.630001068115234
