Date,AN
2010-01-04,19.270000457763672
2010-01-05,19.56999969482422
2010-01-06,20.31999969482422
2010-01-07,20.68000030517578
2010-01-08,20.690000534057617
2010-01-11,20.450000762939453
2010-01-12,20.0
2010-01-13,19.90999984741211
2010-01-14,19.530000686645508
2010-01-15,19.18000030517578
2010-01-19,19.34000015258789
2010-01-20,19.190000534057617
2010-01-21,18.670000076293945
2010-01-22,18.360000610351562
2010-01-25,18.610000610351562
2010-01-26,18.549999237060547
2010-01-27,18.34000015258789
2010-01-28,18.030000686645508
2010-01-29,18.0
2010-02-01,18.25
2010-02-02,18.549999237060547
2010-02-03,18.479999542236328
2010-02-04,17.600000381469727
2010-02-05,17.59000015258789
2010-02-08,17.610000610351562
2010-02-09,17.959999084472656
2010-02-10,18.229999542236328
2010-02-11,17.690000534057617
2010-02-12,17.719999313354492
2010-02-16,18.110000610351562
2010-02-17,18.459999084472656
2010-02-18,18.5
2010-02-19,18.420000076293945
2010-02-22,18.360000610351562
2010-02-23,18.020000457763672
2010-02-24,18.1299991607666
2010-02-25,17.969999313354492
2010-02-26,17.75
2010-03-01,18.200000762939453
2010-03-02,18.010000228881836
2010-03-03,18.079999923706055
2010-03-04,18.399999618530273
2010-03-05,18.760000228881836
2010-03-08,18.899999618530273
2010-03-09,18.950000762939453
2010-03-10,19.010000228881836
2010-03-11,18.790000915527344
2010-03-12,18.540000915527344
2010-03-15,18.299999237060547
2010-03-16,18.450000762939453
2010-03-17,18.469999313354492
2010-03-18,18.290000915527344
2010-03-19,18.559999465942383
2010-03-22,18.920000076293945
2010-03-23,19.709999084472656
2010-03-24,19.18000030517578
2010-03-25,19.030000686645508
2010-03-26,19.0
2010-03-29,19.020000457763672
2010-03-30,18.969999313354492
2010-03-31,18.079999923706055
2010-04-01,18.15999984741211
2010-04-05,18.040000915527344
2010-04-06,18.649999618530273
2010-04-07,18.649999618530273
2010-04-08,18.530000686645508
2010-04-09,18.360000610351562
2010-04-12,18.3700008392334
2010-04-13,18.280000686645508
2010-04-14,19.59000015258789
2010-04-15,19.559999465942383
2010-04-16,19.079999923706055
2010-04-19,19.18000030517578
2010-04-20,19.59000015258789
2010-04-21,20.770000457763672
2010-04-22,20.549999237060547
2010-04-23,21.059999465942383
2010-04-26,21.100000381469727
2010-04-27,20.56999969482422
2010-04-28,20.290000915527344
2010-04-29,20.530000686645508
2010-04-30,20.200000762939453
2010-05-03,20.520000457763672
2010-05-04,20.280000686645508
2010-05-05,20.010000228881836
2010-05-06,19.31999969482422
2010-05-07,19.030000686645508
2010-05-10,20.139999389648438
2010-05-11,20.40999984741211
2010-05-12,20.860000610351562
2010-05-13,20.049999237060547
2010-05-14,19.459999084472656
2010-05-17,19.459999084472656
2010-05-18,18.989999771118164
2010-05-19,19.110000610351562
2010-05-20,18.399999618530273
2010-05-21,19.280000686645508
2010-05-24,18.850000381469727
2010-05-25,19.15999984741211
2010-05-26,19.049999237060547
2010-05-27,20.049999237060547
2010-05-28,20.030000686645508
2010-06-01,19.639999389648438
2010-06-02,20.479999542236328
2010-06-03,21.31999969482422
2010-06-04,20.860000610351562
2010-06-07,19.899999618530273
2010-06-08,20.420000076293945
2010-06-09,20.40999984741211
2010-06-10,21.059999465942383
2010-06-11,21.329999923706055
2010-06-14,21.40999984741211
2010-06-15,21.799999237060547
2010-06-16,21.360000610351562
2010-06-17,20.959999084472656
2010-06-18,21.18000030517578
2010-06-21,20.670000076293945
2010-06-22,20.209999084472656
2010-06-23,20.420000076293945
2010-06-24,19.790000915527344
2010-06-25,20.030000686645508
2010-06-28,19.940000534057617
2010-06-29,19.530000686645508
2010-06-30,19.5
2010-07-01,19.459999084472656
2010-07-02,18.899999618530273
2010-07-06,18.299999237060547
2010-07-07,18.950000762939453
2010-07-08,19.219999313354492
2010-07-09,19.3700008392334
2010-07-12,19.299999237060547
2010-07-13,19.729999542236328
2010-07-14,19.81999969482422
2010-07-15,20.0
2010-07-16,19.989999771118164
2010-07-19,20.049999237060547
2010-07-20,21.639999389648438
2010-07-21,21.270000457763672
2010-07-22,22.540000915527344
2010-07-23,23.139999389648438
2010-07-26,24.34000015258789
2010-07-27,24.25
2010-07-28,23.90999984741211
2010-07-29,24.329999923706055
2010-07-30,24.43000030517578
