Date,VECO
2010-01-04,33.9900016784668
2010-01-05,35.130001068115234
2010-01-06,34.720001220703125
2010-01-07,34.5099983215332
2010-01-08,37.11000061035156
2010-01-11,35.810001373291016
2010-01-12,34.709999084472656
2010-01-13,34.0
2010-01-14,33.86000061035156
2010-01-15,32.58000183105469
2010-01-19,33.900001525878906
2010-01-20,36.43000030517578
2010-01-21,35.43000030517578
2010-01-22,35.70000076293945
2010-01-25,35.849998474121094
2010-01-26,34.25
2010-01-27,34.13999938964844
2010-01-28,33.130001068115234
2010-01-29,31.81999969482422
2010-02-01,33.22999954223633
2010-02-02,34.220001220703125
2010-02-03,33.470001220703125
2010-02-04,31.3700008392334
2010-02-05,30.420000076293945
2010-02-08,31.059999465942383
2010-02-09,33.939998626708984
2010-02-10,34.369998931884766
2010-02-11,35.0
2010-02-12,35.11000061035156
2010-02-16,37.189998626708984
2010-02-17,36.810001373291016
2010-02-18,37.90999984741211
2010-02-19,37.619998931884766
2010-02-22,37.279998779296875
2010-02-23,35.15999984741211
2010-02-24,34.79999923706055
2010-02-25,33.70000076293945
2010-02-26,34.099998474121094
2010-03-01,35.5
2010-03-02,35.83000183105469
2010-03-03,35.529998779296875
2010-03-04,35.75
2010-03-05,35.72999954223633
2010-03-08,35.400001525878906
2010-03-09,36.25
2010-03-10,38.0
2010-03-11,39.88999938964844
2010-03-12,39.779998779296875
2010-03-15,39.119998931884766
2010-03-16,39.79999923706055
2010-03-17,40.439998626708984
2010-03-18,39.619998931884766
2010-03-19,39.0099983215332
2010-03-22,39.880001068115234
2010-03-23,43.36000061035156
2010-03-24,43.5
2010-03-25,43.720001220703125
2010-03-26,43.08000183105469
2010-03-29,43.20000076293945
2010-03-30,43.630001068115234
2010-03-31,43.47999954223633
2010-04-01,43.380001068115234
2010-04-05,46.470001220703125
2010-04-06,47.5
2010-04-07,46.33000183105469
2010-04-08,46.599998474121094
2010-04-09,46.689998626708984
2010-04-12,46.7599983215332
2010-04-13,46.119998931884766
2010-04-14,49.810001373291016
2010-04-15,49.25
2010-04-16,47.939998626708984
2010-04-19,47.290000915527344
2010-04-20,48.97999954223633
2010-04-21,48.70000076293945
2010-04-22,51.15999984741211
2010-04-23,51.61000061035156
2010-04-26,51.04999923706055
2010-04-27,51.13999938964844
2010-04-28,49.209999084472656
2010-04-29,47.439998626708984
2010-04-30,43.9900016784668
2010-05-03,48.9900016784668
