Date,A
2010-01-04,19.931621551513672
2010-01-05,19.715110778808594
2010-01-06,19.64506721496582
2010-01-07,19.619598388671875
2010-01-08,19.613216400146484
2010-01-11,19.62595558166504
2010-01-12,19.390344619750977
2010-01-13,19.543180465698242
2010-01-14,19.836105346679688
2010-01-15,19.37761116027832
2010-01-19,19.613216400146484
2010-01-20,19.504966735839844
2010-01-21,19.434925079345703
2010-01-22,18.57525062561035
2010-01-25,18.75354766845703
2010-01-26,18.65165901184082
2010-01-27,18.57525062561035
2010-01-28,18.269596099853516
2010-01-29,17.84931182861328
2010-02-01,18.549781799316406
2010-02-02,18.785388946533203
2010-02-03,18.81086540222168
2010-02-04,18.511566162109375
2010-02-05,18.57525062561035
2010-02-08,18.59435272216797
2010-02-09,18.728078842163086
2010-02-10,18.626192092895508
2010-02-11,18.696237564086914
2010-02-12,19.091054916381836
2010-02-16,19.262985229492188
2010-02-17,19.504966735839844
2010-02-18,19.727840423583984
2010-02-19,19.86794090270996
2010-02-22,19.836105346679688
2010-02-23,19.64506721496582
2010-02-24,19.887042999267578
2010-02-25,19.797901153564453
2010-02-26,20.03350830078125
2010-03-01,20.4346923828125
2010-03-02,20.606616973876953
2010-03-03,20.65755844116211
2010-03-04,20.54294204711914
2010-03-05,21.116056442260742
2010-03-08,21.01416778564453
2010-03-09,21.186098098754883
2010-03-10,21.4344482421875
2010-03-11,21.383512496948242
2010-03-12,21.281620025634766
2010-03-15,21.211576461791992
2010-03-16,21.281620025634766
2010-03-17,21.256149291992188
2010-03-18,21.307098388671875
2010-03-19,21.281620025634766
2010-03-22,21.4726619720459
2010-03-23,21.721010208129883
2010-03-24,21.5872802734375
2010-03-25,22.001195907592773
2010-03-26,21.848363876342773
2010-03-29,21.905681610107422
2010-03-30,22.0457763671875
2010-03-31,21.899311065673828
2010-04-01,22.001195907592773
2010-04-05,22.173131942749023
2010-04-06,22.0075626373291
2010-04-07,21.835628509521484
2010-04-08,21.644594192504883
2010-04-09,21.797428131103516
2010-04-12,21.784687042236328
2010-04-13,21.5872802734375
2010-04-14,21.91204833984375
2010-04-15,22.688934326171875
2010-04-16,22.45969009399414
2010-04-19,22.3896427154541
2010-04-20,23.109214782714844
2010-04-21,23.007335662841797
2010-04-22,23.20473861694336
2010-04-23,23.332090377807617
2010-04-26,23.446714401245117
2010-04-27,23.064647674560547
2010-04-28,23.332090377807617
2010-04-29,23.70779800415039
2010-04-30,23.09010887145996
2010-05-03,23.41488265991211
2010-05-04,22.517005920410156
2010-05-05,22.134931564331055
2010-05-06,21.192474365234375
2010-05-07,20.294588088989258
2010-05-10,21.771957397460938
2010-05-11,21.695539474487305
2010-05-12,22.166763305664062
2010-05-13,22.147653579711914
2010-05-14,21.561811447143555
2010-05-17,21.771957397460938
2010-05-18,20.42194938659668
2010-05-19,20.753087997436523
2010-05-20,19.76605224609375
2010-05-21,19.957088470458984
2010-05-24,19.99530029296875
2010-05-25,19.893417358398438
2010-05-26,20.052610397338867
2010-05-27,20.854961395263672
2010-05-28,20.606616973876953
2010-06-01,20.046241760253906
2010-06-02,20.517473220825195
2010-06-03,20.632099151611328
2010-06-04,19.3203067779541
2010-06-07,19.16746711730957
2010-06-08,19.001901626586914
2010-06-09,18.79813003540039
2010-06-10,19.390344619750977
2010-06-11,19.568653106689453
2010-06-14,20.03350830078125
2010-06-15,20.504728317260742
2010-06-16,20.77855110168457
2010-06-17,20.676668167114258
2010-06-18,20.76582145690918
2010-06-21,20.65119743347168
2010-06-22,20.39011001586914
2010-06-23,20.3582706451416
2010-06-24,19.587751388549805
2010-06-25,19.543180465698242
2010-06-28,19.473134994506836
2010-06-29,18.600723266601562
2010-06-30,18.104028701782227
2010-07-01,18.00851058959961
2010-07-02,17.696474075317383
2010-07-06,17.671001434326172
2010-07-07,18.193174362182617
2010-07-08,18.346004486083984
2010-07-09,18.24411964416504
2010-07-12,17.957561492919922
2010-07-13,18.30779457092285
2010-07-14,18.269596099853516
2010-07-15,18.084915161132812
2010-07-16,17.21251678466797
2010-07-19,17.53727912902832
2010-07-20,17.52454948425293
2010-07-21,17.5627498626709
2010-07-22,18.2886905670166
2010-07-23,18.658029556274414
2010-07-26,18.874547958374023
2010-07-27,18.384214401245117
2010-07-28,18.326906204223633
2010-07-29,17.92572593688965
2010-07-30,17.785627365112305
2010-08-02,18.352375030517578
2010-08-03,17.728315353393555
2010-08-04,18.014877319335938
2010-08-05,18.123125076293945
2010-08-06,18.295055389404297
2010-08-09,18.98917007446289
2010-08-10,18.759923934936523
2010-08-11,17.970308303833008
2010-08-12,17.530906677246094
2010-08-13,17.416290283203125
2010-08-16,17.29529571533203
2010-08-17,18.645301818847656
2010-08-18,18.747188568115234
2010-08-19,18.174072265625
2010-08-20,18.186805725097656
2010-08-23,17.804723739624023
2010-08-24,17.422653198242188
2010-08-25,17.632802963256836
2010-08-26,17.518177032470703
2010-08-27,17.804723739624023
2010-08-30,17.62643051147461
2010-08-31,17.17430877685547
2010-09-01,18.014877319335938
2010-09-02,18.600723266601562
2010-09-03,19.008270263671875
2010-09-07,18.460622787475586
2010-09-08,18.36509895324707
2010-09-09,18.42241859436035
2010-09-10,18.409683227539062
2010-09-13,18.549781799316406
2010-09-14,18.57525062561035
2010-09-15,18.728078842163086
2010-09-16,19.129255294799805
2010-09-17,19.45401954650879
2010-09-20,19.759685516357422
2010-09-21,19.836105346679688
