Date,RL
2010-01-04,63.260372161865234
2010-01-05,65.74237823486328
2010-01-06,65.24597930908203
2010-01-07,66.5024642944336
2010-01-08,66.99113464355469
2010-01-11,66.36286163330078
2010-01-12,65.01325225830078
2010-01-13,66.47145080566406
2010-01-14,66.01385498046875
2010-01-15,65.02102661132812
2010-01-19,65.75011444091797
2010-01-20,67.01438903808594
2010-01-21,65.52519226074219
2010-01-22,63.632659912109375
2010-01-25,64.19884490966797
2010-01-26,64.04373168945312
2010-01-27,64.38500213623047
2010-01-28,63.53959274291992
2010-01-29,63.60162353515625
2010-02-01,64.48583221435547
2010-02-02,66.44818115234375
2010-02-03,60.89464569091797
2010-02-04,59.83205032348633
2010-02-05,59.4520263671875
2010-02-08,60.21213150024414
2010-02-09,60.95673370361328
2010-02-10,60.491355895996094
2010-02-11,61.2979850769043
2010-02-12,61.034324645996094
2010-02-16,61.83320999145508
2010-02-17,62.2830696105957
2010-02-18,62.49248123168945
2010-02-19,62.51572036743164
2010-02-22,63.066410064697266
2010-02-23,62.26755142211914
2010-02-24,62.166725158691406
2010-02-25,61.77116012573242
2010-02-26,61.99610137939453
2010-03-01,62.63985824584961
2010-03-02,62.53900909423828
2010-03-03,62.321834564208984
2010-03-04,62.818267822265625
2010-03-05,64.09030151367188
2010-03-08,64.20661926269531
2010-03-09,64.32295227050781
2010-03-10,63.87312316894531
2010-03-11,64.12130737304688
2010-03-12,63.72574234008789
2010-03-15,62.9190788269043
2010-03-16,63.11299133300781
2010-03-17,63.5938606262207
2010-03-18,64.62545013427734
2010-03-19,64.26868438720703
2010-03-22,65.0443344116211
2010-03-23,65.85095977783203
2010-03-24,65.7113265991211
2010-03-25,65.65702056884766
2010-03-26,66.75846099853516
2010-03-29,66.46369171142578
2010-03-30,66.60344696044922
2010-03-31,66.03660583496094
2010-04-01,67.19364166259766
2010-04-05,68.44386291503906
2010-04-06,68.4050521850586
2010-04-07,69.00296783447266
2010-04-08,68.98743438720703
2010-04-09,69.6785659790039
2010-04-12,69.4766616821289
2010-04-13,70.19108581542969
2010-04-14,70.80455780029297
2010-04-15,70.36969757080078
2010-04-16,69.8959732055664
2010-04-19,70.47840881347656
2010-04-20,70.94430541992188
2010-04-21,72.14016723632812
2010-04-22,73.72431945800781
2010-04-23,73.77090454101562
2010-04-26,73.3748779296875
2010-04-27,71.45684051513672
2010-04-28,71.71307373046875
2010-04-29,72.87787628173828
2010-04-30,69.81056213378906
2010-05-03,71.72862243652344
2010-05-04,70.39298248291016
2010-05-05,69.4300765991211
2010-05-06,66.22296142578125
2010-05-07,64.25054168701172
2010-05-10,69.56982421875
2010-05-11,69.13497161865234
2010-05-12,71.3791732788086
2010-05-13,70.02800750732422
2010-05-14,69.36019134521484
2010-05-17,67.54308319091797
2010-05-18,66.61122131347656
2010-05-19,68.41279602050781
2010-05-20,66.01331329345703
2010-05-21,65.43867492675781
2010-05-24,65.94340515136719
2010-05-25,66.47145080566406
2010-05-26,66.18415069580078
2010-05-27,68.55258178710938
2010-05-28,67.44990539550781
2010-06-01,65.6561279296875
2010-06-02,66.6578369140625
2010-06-03,67.04610443115234
2010-06-04,63.50510787963867
2010-06-07,61.03568649291992
2010-06-08,61.66472625732422
2010-06-09,62.33253479003906
2010-06-10,64.60779571533203
2010-06-11,64.80191040039062
2010-06-14,65.36103057861328
2010-06-15,64.01760864257812
2010-06-16,62.216026306152344
2010-06-17,62.78291320800781
2010-06-18,62.47230529785156
2010-06-21,62.0296745300293
2010-06-22,60.709556579589844
2010-06-23,61.21432876586914
2010-06-24,59.42050552368164
2010-06-25,60.00292205810547
2010-06-28,59.82432174682617
2010-06-29,56.99775314331055
2010-06-30,56.73333740234375
2010-07-01,57.503177642822266
2010-07-02,56.857749938964844
2010-07-06,55.93242645263672
2010-07-07,58.288543701171875
2010-07-08,60.04591751098633
2010-07-09,59.9992561340332
2010-07-12,59.190574645996094
2010-07-13,60.403564453125
2010-07-14,60.0225715637207
2010-07-15,60.01478958129883
2010-07-16,57.46428298950195
2010-07-19,56.686668395996094
2010-07-20,57.845306396484375
2010-07-21,57.005523681640625
2010-07-22,59.46272277832031
2010-07-23,61.60111618041992
2010-07-26,63.739471435546875
2010-07-27,62.3009033203125
2010-07-28,61.064537048339844
2010-07-29,60.885684967041016
2010-07-30,61.43781280517578
2010-08-02,63.482872009277344
2010-08-03,61.67108154296875
2010-08-04,66.4610824584961
2010-08-05,65.54351043701172
2010-08-06,66.70990753173828
2010-08-09,67.30087280273438
2010-08-10,65.95564270019531
2010-08-11,63.58395004272461
2010-08-12,63.2729377746582
2010-08-13,62.487545013427734
2010-08-16,62.036556243896484
2010-08-17,64.12049865722656
2010-08-18,64.6492691040039
2010-08-19,64.32269287109375
2010-08-20,64.5715103149414
2010-08-23,64.47041320800781
2010-08-24,62.63529586791992
2010-08-25,63.25733947753906
2010-08-26,59.983665466308594
2010-08-27,60.8234977722168
2010-08-30,58.67733383178711
2010-08-31,58.89503860473633
2010-09-01,61.30560302734375
2010-09-02,62.13764190673828
2010-09-03,63.055179595947266
2010-09-07,62.35536575317383
2010-09-08,63.28070068359375
2010-09-09,63.342918395996094
2010-09-10,63.405086517333984
2010-09-13,64.79701232910156
2010-09-14,66.17334747314453
2010-09-15,66.74100494384766
2010-09-16,67.17647552490234
2010-09-17,68.1717529296875
2010-09-20,69.84358978271484
2010-09-21,69.35369873046875
2010-09-22,68.29621124267578
2010-09-23,66.90425872802734
2010-09-24,69.40812683105469
2010-09-27,69.20598602294922
2010-09-28,70.83113861083984
