Date,CURB
2024-09-26,19.36383628845215
2024-09-27,19.461389541625977
2024-09-30,23.753625869750977
2024-10-01,22.046485900878906
2024-10-02,21.139265060424805
2024-10-03,22.046485900878906
2024-10-04,22.86591148376465
2024-10-07,23.23660659790039
2024-10-08,23.412195205688477
2024-10-09,23.646318435668945
2024-10-10,23.10978889465332
2024-10-11,23.070768356323242
2024-10-14,22.77811622619629
2024-10-15,22.758607864379883
2024-10-16,22.58301544189453
2024-10-17,22.436689376831055
2024-10-18,22.661054611206055
2024-10-21,22.309873580932617
2024-10-22,22.446443557739258
2024-10-23,22.436689376831055
2024-10-24,22.534238815307617
2024-10-25,22.290363311767578
2024-10-28,22.631792068481445
2024-10-29,22.65130043029785
2024-10-30,22.836647033691406
2024-10-31,22.07575035095215
2024-11-01,21.948936462402344
2024-11-04,22.378158569335938
2024-11-05,23.04150390625
2024-11-06,23.626806259155273
2024-11-07,23.558523178100586
2024-11-08,23.74386978149414
2024-11-11,23.98774528503418
2024-11-12,23.626806259155273
2024-11-13,23.558523178100586
2024-11-14,23.295135498046875
2024-11-15,23.16832160949707
2024-11-18,23.002483367919922
2024-11-19,23.412195205688477
2024-11-20,23.285381317138672
2024-11-21,23.353668212890625
2024-11-22,23.100034713745117
2024-11-25,23.363422393798828
2024-11-26,23.753625869750977
2024-11-27,23.831666946411133
2024-11-29,23.665830612182617
2024-12-02,23.519502639770508
2024-12-03,23.665830612182617
2024-12-04,23.48048210144043
2024-12-05,23.21709442138672
2024-12-06,23.412195205688477
2024-12-09,23.74386978149414
2024-12-10,23.451217651367188
2024-12-11,23.295135498046875
2024-12-12,23.48048210144043
2024-12-13,23.119544982910156
2024-12-16,23.100034713745117
2024-12-17,22.612281799316406
2024-12-18,21.48069190979004
2024-12-19,21.109996795654297
2024-12-20,21.958690643310547
2024-12-23,22.661054611206055
2024-12-24,23.1488094329834
2024-12-26,23.295135498046875
2024-12-27,22.914688110351562
2024-12-30,22.77811622619629
2024-12-31,22.89644432067871
2025-01-02,23.103519439697266
