Date,ETR
2010-01-04,21.059593200683594
2010-01-05,20.723766326904297
2010-01-06,20.828872680664062
2010-01-07,20.58020782470703
2010-01-08,20.382822036743164
2010-01-11,20.777605056762695
2010-01-12,20.94935417175293
2010-01-13,21.24672508239746
2010-01-14,21.226232528686523
2010-01-15,20.982685089111328
2010-01-19,21.062158584594727
2010-01-20,20.780166625976562
2010-01-21,20.4443416595459
2010-01-22,20.1341552734375
2010-01-25,20.182861328125
2010-01-26,20.331546783447266
2010-01-27,20.180294036865234
2010-01-28,19.764997482299805
2010-01-29,19.562477111816406
2010-02-01,19.798322677612305
2010-02-02,20.1956729888916
2010-02-03,20.441776275634766
2010-02-04,19.76756477355957
2010-02-05,19.762439727783203
2010-02-08,19.55734634399414
2010-02-09,19.74376106262207
2010-02-10,19.849910736083984
2010-02-11,20.077743530273438
2010-02-12,19.971580505371094
2010-02-16,20.450557708740234
2010-02-17,20.26155662536621
2010-02-18,20.204599380493164
2010-02-19,20.388423919677734
2010-02-22,20.12175941467285
2010-02-23,20.038908004760742
2010-02-24,19.865440368652344
2010-02-25,19.811063766479492
2010-02-26,19.66867446899414
2010-03-01,20.13469696044922
2010-03-02,20.310745239257812
2010-03-03,20.15023422241211
2010-03-04,20.25638771057129
2010-03-05,20.56964874267578
2010-03-08,20.595552444458008
2010-03-09,20.497156143188477
2010-03-10,20.58777618408203
2010-03-11,20.660266876220703
2010-03-12,20.25896644592285
2010-03-15,20.40395164489746
2010-03-16,20.779359817504883
2010-03-17,20.86220932006836
2010-03-18,20.807842254638672
2010-03-19,20.89069175720215
2010-03-22,20.688749313354492
2010-03-23,20.73016929626465
2010-03-24,20.504924774169922
2010-03-25,20.55411148071289
2010-03-26,20.78453826904297
2010-03-29,21.12887191772461
2010-03-30,21.242799758911133
2010-03-31,21.06155776977539
2010-04-01,21.312686920166016
2010-04-05,21.12887191772461
2010-04-06,21.765771865844727
2010-04-07,21.255739212036133
2010-04-08,21.22208023071289
2010-04-09,21.29715919494629
2010-04-12,21.284217834472656
2010-04-13,21.141817092895508
2010-04-14,21.069326400756836
2010-04-15,20.986480712890625
2010-04-16,20.76124382019043
2010-04-19,20.85444450378418
2010-04-20,21.152183532714844
2010-04-21,21.229841232299805
2010-04-22,21.250560760498047
2010-04-23,21.302335739135742
2010-04-26,21.159944534301758
2010-04-27,20.805252075195312
2010-04-28,20.699098587036133
2010-04-29,20.85444450378418
2010-04-30,21.046024322509766
2010-05-03,21.11852264404297
2010-05-04,20.618844985961914
2010-05-05,20.502334594726562
2010-05-06,19.831785202026367
2010-05-07,19.6220760345459
2010-05-10,20.067089080810547
2010-05-11,20.321001052856445
2010-05-12,20.671754837036133
2010-05-13,20.593231201171875
2010-05-14,20.266019821166992
2010-05-17,20.279115676879883
2010-05-18,20.142988204956055
2010-05-19,20.10373306274414
2010-05-20,19.564489364624023
2010-05-21,19.527835845947266
2010-05-24,19.31842613220215
2010-05-25,19.061893463134766
2010-05-26,19.153512954711914
2010-05-27,19.84719467163086
2010-05-28,19.65087127685547
2010-06-01,19.169219970703125
2010-06-02,19.441463470458984
2010-06-03,19.514747619628906
2010-06-04,18.844627380371094
2010-06-07,18.938865661621094
2010-06-08,19.054035186767578
2010-06-09,18.91530990600586
2010-06-10,19.218952178955078
2010-06-11,19.472867965698242
2010-06-14,19.65872573852539
2010-06-15,20.101110458374023
2010-06-16,20.28173065185547
2010-06-17,20.409992218017578
2010-06-18,20.44402503967285
2010-06-21,20.25554847717285
2010-06-22,19.564489364624023
2010-06-23,19.242517471313477
2010-06-24,19.132572174072266
2010-06-25,19.221574783325195
2010-06-28,19.35245132446289
2010-06-29,18.962425231933594
2010-06-30,18.747777938842773
2010-07-01,18.635211944580078
2010-07-02,18.506948471069336
2010-07-06,18.894359588623047
2010-07-07,19.446693420410156
2010-07-08,19.538314819335938
2010-07-09,19.923107147216797
2010-07-12,19.896930694580078
2010-07-13,20.0408992767334
2010-07-14,19.94143295288086
2010-07-15,20.16655731201172
2010-07-16,19.883848190307617
2010-07-19,20.32362174987793
2010-07-20,20.417848587036133
2010-07-21,20.038284301757812
2010-07-22,20.4885311126709
2010-07-23,20.49376106262207
2010-07-26,20.63249969482422
2010-07-27,20.883792877197266
2010-07-28,20.771230697631836
2010-07-29,20.470197677612305
2010-07-30,20.28959083557129
2010-08-02,20.826204299926758
2010-08-03,20.72673988342285
2010-08-04,20.663911819458008
2010-08-05,20.805265426635742
2010-08-06,20.875934600830078
2010-08-09,20.849767684936523
2010-08-10,21.042869567871094
2010-08-11,20.786272048950195
2010-08-12,20.61168670654297
2010-08-13,20.661951065063477
2010-08-16,20.6751766204834
2010-08-17,20.95821189880371
2010-08-18,20.997892379760742
2010-08-19,20.5958194732666
2010-08-20,20.49001121520996
2010-08-23,20.73601722717285
2010-08-24,20.677820205688477
2010-08-25,20.7148494720459
2010-08-26,20.500595092773438
2010-08-27,21.066659927368164
2010-08-30,20.72543716430664
2010-08-31,20.85505485534668
2010-09-01,21.24920082092285
2010-09-02,21.143386840820312
2010-09-03,21.153966903686523
2010-09-07,21.10104751586914
2010-09-08,21.06138038635254
2010-09-09,21.24654197692871
2010-09-10,21.185710906982422
2010-09-13,21.045509338378906
2010-09-14,20.669879913330078
2010-09-15,20.7307186126709
2010-09-16,20.553497314453125
2010-09-17,20.28367805480957
2010-09-20,20.302196502685547
2010-09-21,20.204322814941406
2010-09-22,20.38155746459961
2010-09-23,20.209613800048828
2010-09-24,20.38155746459961
2010-09-27,20.43446159362793
2010-09-28,20.516464233398438
