Date,CRS
2010-01-04,21.450359344482422
2010-01-05,22.433000564575195
2010-01-06,23.308984756469727
2010-01-07,23.48418426513672
2010-01-08,24.124040603637695
2010-01-11,24.200212478637695
2010-01-12,23.164257049560547
2010-01-13,23.308984756469727
2010-01-14,23.362308502197266
2010-01-15,22.85955810546875
2010-01-19,23.78887367248535
2010-01-20,23.61367416381836
2010-01-21,23.179485321044922
2010-01-22,22.280651092529297
2010-01-25,22.158777236938477
2010-01-26,21.91501808166504
2010-01-27,21.846466064453125
2010-01-28,20.88667869567871
2010-01-29,20.54930305480957
2010-02-01,22.098173141479492
2010-02-02,22.481552124023438
2010-02-03,21.898813247680664
2010-02-04,20.42662239074707
2010-02-05,20.687318801879883
2010-02-08,20.349939346313477
2010-02-09,21.500091552734375
2010-02-10,20.871347427368164
2010-02-11,21.645782470703125
2010-02-12,21.599769592285156
2010-02-16,23.286649703979492
2010-02-17,23.171642303466797
2010-02-18,23.662370681762695
2010-02-19,23.83106231689453
2010-02-22,23.624027252197266
2010-02-23,22.910938262939453
2010-02-24,22.4738826751709
2010-02-25,22.749929428100586
2010-02-26,22.903270721435547
2010-03-01,23.800390243530273
2010-03-02,24.268112182617188
2010-03-03,24.559484481811523
2010-03-04,24.50581169128418
2010-03-05,25.07321548461914
2010-03-08,25.295591354370117
2010-03-09,25.280244827270508
2010-03-10,25.249584197998047
2010-03-11,25.609956741333008
2010-03-12,26.637413024902344
2010-03-15,25.8859806060791
2010-03-16,26.821449279785156
2010-03-17,26.990135192871094
2010-03-18,26.131357192993164
2010-03-19,26.997804641723633
2010-03-22,26.905780792236328
2010-03-23,27.95625114440918
2010-03-24,27.097476959228516
2010-03-25,26.17736053466797
2010-03-26,27.05914306640625
2010-03-29,28.009931564331055
2010-03-30,27.749237060546875
2010-03-31,28.063602447509766
2010-04-01,28.58499526977539
2010-04-05,29.106407165527344
2010-04-06,29.482118606567383
2010-04-07,29.3824405670166
2010-04-08,29.520448684692383
2010-04-09,29.620140075683594
2010-04-12,29.374774932861328
2010-04-13,29.796485900878906
2010-04-14,30.862289428710938
2010-04-15,30.478910446166992
2010-04-16,29.658477783203125
2010-04-19,28.324304580688477
2010-04-20,29.091062545776367
2010-04-21,31.115324020385742
2010-04-22,31.86675453186035
2010-04-23,32.60285568237305
2010-04-26,32.44183349609375
2010-04-27,30.42524528503418
2010-04-28,30.578588485717773
2010-04-29,31.17937469482422
2010-04-30,30.247400283813477
2010-05-03,30.624814987182617
2010-05-04,29.731321334838867
2010-05-05,29.35390853881836
2010-05-06,28.76851463317871
2010-05-07,29.615795135498047
2010-05-10,31.364240646362305
2010-05-11,30.570898056030273
2010-05-12,31.84950828552246
2010-05-13,31.710844039916992
2010-05-14,30.147254943847656
2010-05-17,28.93027687072754
2010-05-18,28.722305297851562
2010-05-19,28.5451602935791
2010-05-20,26.542526245117188
2010-05-21,27.98288345336914
2010-05-24,28.59137535095215
2010-05-25,29.076622009277344
2010-05-26,28.90716552734375
2010-05-27,30.67101287841797
2010-05-28,29.9700984954834
2010-06-01,27.9212589263916
2010-06-02,29.661996841430664
2010-06-03,29.130535125732422
2010-06-04,27.20493507385254
2010-06-07,26.280641555786133
2010-06-08,26.550230026245117
