Date,ACDC
2022-05-13,18.110000610351562
2022-05-16,17.989999771118164
2022-05-17,18.079999923706055
2022-05-18,17.979999542236328
2022-05-19,16.8799991607666
2022-05-20,17.329999923706055
2022-05-23,17.84000015258789
2022-05-24,17.899999618530273
2022-05-25,17.940000534057617
2022-05-26,17.940000534057617
2022-05-27,18.190000534057617
2022-05-31,18.25
2022-06-01,18.559999465942383
2022-06-02,18.5
2022-06-03,19.600000381469727
2022-06-06,20.209999084472656
2022-06-07,22.610000610351562
2022-06-08,22.75
2022-06-09,22.639999389648438
2022-06-10,22.65999984741211
2022-06-13,21.979999542236328
2022-06-14,22.40999984741211
2022-06-15,22.8799991607666
2022-06-16,22.360000610351562
2022-06-17,21.260000228881836
2022-06-21,21.489999771118164
2022-06-22,19.309999465942383
2022-06-23,18.309999465942383
2022-06-24,18.56999969482422
2022-06-27,19.709999084472656
2022-06-28,19.5
2022-06-29,18.799999237060547
2022-06-30,18.309999465942383
2022-07-01,18.229999542236328
2022-07-05,17.040000915527344
2022-07-06,16.610000610351562
2022-07-07,16.770000457763672
2022-07-08,17.15999984741211
2022-07-11,16.43000030517578
2022-07-12,15.649999618530273
2022-07-13,15.329999923706055
2022-07-14,14.25
2022-07-15,14.720000267028809
2022-07-18,15.09000015258789
2022-07-19,16.139999389648438
2022-07-20,16.770000457763672
2022-07-21,16.479999542236328
2022-07-22,15.670000076293945
2022-07-25,16.739999771118164
2022-07-26,17.110000610351562
2022-07-27,18.18000030517578
2022-07-28,18.270000457763672
2022-07-29,18.3799991607666
2022-08-01,17.959999084472656
2022-08-02,18.3700008392334
2022-08-03,18.360000610351562
2022-08-04,17.15999984741211
2022-08-05,17.469999313354492
2022-08-08,17.520000457763672
2022-08-09,17.040000915527344
2022-08-10,17.850000381469727
2022-08-11,18.31999969482422
2022-08-12,20.299999237060547
2022-08-15,19.6200008392334
2022-08-16,19.18000030517578
2022-08-17,19.049999237060547
2022-08-18,19.950000762939453
2022-08-19,19.799999237060547
2022-08-22,19.6299991607666
2022-08-23,20.579999923706055
2022-08-24,21.209999084472656
2022-08-25,21.540000915527344
2022-08-26,20.940000534057617
2022-08-29,21.549999237060547
2022-08-30,19.93000030517578
2022-08-31,19.690000534057617
2022-09-01,19.31999969482422
2022-09-02,19.790000915527344
2022-09-06,18.989999771118164
2022-09-07,18.350000381469727
2022-09-08,18.90999984741211
2022-09-09,19.81999969482422
2022-09-12,20.68000030517578
2022-09-13,20.459999084472656
2022-09-14,20.8700008392334
2022-09-15,19.239999771118164
2022-09-16,18.90999984741211
2022-09-19,18.290000915527344
2022-09-20,17.690000534057617
2022-09-21,17.1200008392334
2022-09-22,16.770000457763672
2022-09-23,16.010000228881836
2022-09-26,15.520000457763672
2022-09-27,14.90999984741211
2022-09-28,15.850000381469727
2022-09-29,15.180000305175781
2022-09-30,15.210000038146973
2022-10-03,16.100000381469727
2022-10-04,17.700000762939453
2022-10-05,18.899999618530273
2022-10-06,19.229999542236328
2022-10-07,19.399999618530273
2022-10-10,18.280000686645508
2022-10-11,17.649999618530273
2022-10-12,17.110000610351562
2022-10-13,18.0
2022-10-14,17.209999084472656
2022-10-17,17.799999237060547
2022-10-18,18.270000457763672
2022-10-19,19.65999984741211
2022-10-20,19.540000915527344
2022-10-21,20.450000762939453
2022-10-24,21.0
2022-10-25,20.520000457763672
2022-10-26,21.43000030517578
2022-10-27,21.260000228881836
2022-10-28,21.5
2022-10-31,21.90999984741211
2022-11-01,22.079999923706055
2022-11-02,21.25
2022-11-03,22.690000534057617
2022-11-04,23.899999618530273
2022-11-07,24.639999389648438
2022-11-08,24.670000076293945
2022-11-09,23.290000915527344
2022-11-10,24.530000686645508
2022-11-11,24.989999771118164
2022-11-14,24.690000534057617
2022-11-15,24.600000381469727
2022-11-16,25.059999465942383
2022-11-17,25.690000534057617
2022-11-18,25.360000610351562
2022-11-21,24.670000076293945
2022-11-22,25.719999313354492
2022-11-23,24.809999465942383
2022-11-25,24.6200008392334
2022-11-28,23.010000228881836
2022-11-29,23.200000762939453
2022-11-30,23.579999923706055
2022-12-01,23.639999389648438
2022-12-02,23.5
2022-12-05,22.8799991607666
2022-12-06,22.440000534057617
2022-12-07,21.709999084472656
2022-12-08,21.690000534057617
2022-12-09,20.520000457763672
2022-12-12,21.5
2022-12-13,22.18000030517578
2022-12-14,21.899999618530273
2022-12-15,21.93000030517578
2022-12-16,21.700000762939453
2022-12-19,21.729999542236328
2022-12-20,23.229999542236328
2022-12-21,23.68000030517578
2022-12-22,23.360000610351562
2022-12-23,25.190000534057617
2022-12-27,25.020000457763672
2022-12-28,24.010000228881836
2022-12-29,24.670000076293945
2022-12-30,25.200000762939453
2023-01-03,21.399999618530273
2023-01-04,21.139999389648438
2023-01-05,21.790000915527344
2023-01-06,22.3799991607666
2023-01-09,22.75
2023-01-10,24.649999618530273
2023-01-11,24.43000030517578
2023-01-12,24.68000030517578
2023-01-13,24.93000030517578
2023-01-17,24.229999542236328
2023-01-18,22.3700008392334
2023-01-19,21.850000381469727
2023-01-20,22.270000457763672
2023-01-23,22.31999969482422
2023-01-24,22.389999389648438
2023-01-25,23.479999542236328
2023-01-26,23.540000915527344
2023-01-27,22.149999618530273
2023-01-30,21.309999465942383
2023-01-31,22.5
2023-02-01,22.1299991607666
2023-02-02,21.360000610351562
2023-02-03,21.020000457763672
2023-02-06,20.889999389648438
2023-02-07,21.0
2023-02-08,21.0
2023-02-09,20.040000915527344
2023-02-10,21.3700008392334
2023-02-13,21.229999542236328
2023-02-14,21.690000534057617
