Date,FIZZ
2010-01-04,3.5274858474731445
2010-01-05,3.4414494037628174
2010-01-06,3.360964298248291
2010-01-07,3.327660083770752
2010-01-08,3.3248841762542725
2010-01-11,3.311007499694824
2010-01-12,3.2777035236358643
2010-01-13,3.28602933883667
2010-01-14,3.3054566383361816
2010-01-15,3.255500078201294
2010-01-19,3.3054566383361816
2010-01-20,3.233297348022461
2010-01-21,3.2083189487457275
2010-01-22,3.199993133544922
2010-01-25,3.2305219173431396
2010-01-26,3.1833407878875732
2010-01-27,3.180565595626831
2010-01-28,3.199993133544922
2010-01-29,3.199993133544922
2010-02-01,3.2055439949035645
2010-02-02,3.2166454792022705
2010-02-03,3.1861159801483154
2010-02-04,3.1111812591552734
2010-02-05,3.1611382961273193
2010-02-08,3.116732358932495
2010-02-09,3.1888911724090576
2010-02-10,3.147260904312134
2010-02-11,3.1888911724090576
2010-02-12,3.1666882038116455
2010-02-16,3.152811288833618
2010-02-17,3.177790641784668
2010-02-18,3.2416234016418457
2010-02-19,3.158362627029419
2010-02-22,3.1750147342681885
2010-02-23,3.158362627029419
2010-02-24,3.1833407878875732
2010-02-25,3.2055439949035645
2010-02-26,3.1639130115509033
2010-03-01,3.2055439949035645
2010-03-02,3.2166454792022705
2010-03-03,3.2110941410064697
2010-03-04,3.191666841506958
2010-03-05,3.233297348022461
2010-03-08,3.244398593902588
2010-03-09,3.2305219173431396
2010-03-10,3.191666841506958
2010-03-11,3.191666841506958
2010-03-12,3.147260904312134
2010-03-15,3.119507312774658
2010-03-16,3.1639130115509033
2010-03-17,3.1888911724090576
2010-03-18,3.1833407878875732
2010-03-19,3.1000800132751465
2010-03-22,3.1611382961273193
2010-03-23,3.1888911724090576
2010-03-24,3.1444857120513916
2010-03-25,3.113956928253174
2010-03-26,3.119507312774658
2010-03-29,3.1666882038116455
2010-03-30,3.1222829818725586
2010-03-31,3.08620285987854
2010-04-01,3.0889780521392822
2010-04-05,3.0695512294769287
2010-04-06,3.064000129699707
2010-04-07,3.105630397796631
2010-04-08,3.0223701000213623
